GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "10000","Delaware",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2441193,2599931,2844088,3124948,3462300,3747067,4029225,4403982,4741121,5201590,5718290,6434021,7083806,7621178,8132038,8954939,9723692,10349456,11139874,12247487,13621036,14370177,15216407,15849784,16458401,17157641,18157065,19406095,20306455,22475726,24116650,26586900,29374785,30360262,31071781,32271293,33073339,35003147,36211444,36462924,36610712,36980808,39760604,40122555,40677771,42422891,44626257,45928401,48077134,51150363,52774385,55069785,60175862,65386878,66943793,71594214
 "10000","Delaware",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",540000,550332,565207,573821,579078,583150,588756,592755,594821,598188,598830,594919,595974,599148,605459,611565,618279,627559,636946,647621,658274,669567,683080,694925,706378,717545,729734,740977,751487,763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899773,908220,916654,925704,935278,944716,953146,961604,971152,981340,991928,1005062,1020625,1036423,1051917
 "10000","Delaware",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4521,4724,5032,5446,5979,6426,6844,7430,7971,8696,9549,10815,11886,12720,13431,14643,15727,16492,17490,18912,20692,21462,22276,22808,23300,23912,24882,26190,27022,29444,31119,33810,36917,37660,37985,38843,39133,40736,41539,41254,41056,41100,43779,43771,43943,45359,47238,48186,49997,52670,53778,55518,59873,64066,64591,68061
 "10001","Kent, DE",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",299381,329298,366988,408579,456659,510034,562531,607527,649026,716082,771112,843044,949366,1025966,1090969,1192633,1286658,1388507,1491993,1637695,1798834,1913241,2034052,2143458,2208424,2312117,2465177,2641639,2696741,2935981,3149408,3449867,3480655,3707342,3963100,4298527,4504720,4862907,5107447,5291088,5545302,5576528,5866771,5944793,6151281,6376046,6519354,6845986,7182594,7543351,7977830,8275818,9169610,9569502,10041990,10689379
 "10001","Kent, DE",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",80668,82633,86628,89512,90286,91026,92521,94465,96264,98251,99166,98280,98317,99225,100953,101261,102818,104713,106263,106965,109052,111638,114288,115682,117987,119039,120715,121447,122419,124056,125611,127229,129228,131824,134605,139342,144585,149704,153969,157925,160081,162937,164988,167056,168691,171009,172578,173906,175745,177806,180204,182317,185069,187819,190123,192690
 "10001","Kent, DE",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3711,3985,4236,4565,5058,5603,6080,6431,6742,7288,7776,8578,9656,10340,10807,11778,12514,13260,14041,15311,16495,17138,17798,18529,18718,19423,20421,21751,22029,23667,25073,27115,26934,28123,29442,30849,31156,32483,33172,33504,34641,34225,35559,35586,36465,37285,37776,39366,40869,42425,44271,45392,49547,50951,52818,55474
 "10003","New Castle, DE",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1852561,1970847,2144881,2334212,2556144,2768293,2931313,3221263,3482374,3810995,4213848,4776868,5223711,5592766,5932589,6529324,7072133,7441994,8036231,8835273,9869994,10473582,11047929,11458071,11936348,12334849,13000039,13791384,14454197,16036708,17141173,18942740,21267450,21898912,21897215,22124946,22466586,23646680,24223545,23859623,23856365,24087342,26114830,25928662,25722462,26686408,27855744,28573059,29825559,31739200,32077056,33337729,35506219,38752046,38503156,40936704
 "10003","New Castle, DE",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",379718,386875,394660,399024,401606,402466,404722,404630,404013,404245,402160,398528,399323,401475,404700,408235,411518,416660,422474,430684,437788,443784,450843,457210,462245,468297,474435,479995,485166,490382,496079,501837,506026,510158,514769,518944,523343,527174,530555,533958,536898,539022,543181,547127,551610,555040,558766,561343,563172,565586,568466,570957,572116,576316,582325,588093
 "10003","New Castle, DE",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4879,5094,5435,5850,6365,6878,7243,7961,8619,9427,10478,11986,13081,13931,14659,15994,17185,17861,19022,20515,22545,23601,24505,25061,25823,26340,27401,28732,29792,32702,34553,37747,42028,42926,42538,42635,42929,44856,45657,44684,44434,44687,48078,47391,46632,48080,49852,50901,52960,56117,56427,58389,62061,67241,66120,69609
 "10005","Sussex, DE",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",289251,299786,332219,382157,449497,468740,535381,575192,609721,674513,733330,814109,910729,1002446,1108480,1232982,1364901,1518955,1611650,1774519,1952208,1983354,2134426,2248255,2313629,2510675,2691849,2973072,3155517,3503037,3826069,4194293,4626680,4754008,5211466,5847820,6102033,6493560,6880452,7312213,7209045,7316938,7779003,8249100,8804028,9360437,10251159,10509356,11068981,11867812,12719499,13456238,15500033,17065330,18398647,19968131
