GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "21000","Kentucky",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",9711706,10534849,11466051,12679771,14252540,16052187,17479191,19544359,21933925,24444005,27454302,29879523,33220541,35387079,36765030,41024190,42799341,44002089,46347070,50536886,54313733,57664576,60894857,65508425,68068630,71532496,74960257,79482505,84466334,89403051,93174966,100475073,103997797,106551862,109765865,116214070,121734486,128584095,134209937,140837674,138999735,144335559,151379896,156564902,157905375,164862106,172269382,175275581,180836063,186931085,195518923,212278196,234113430,237842607,253319530,267297910
 "21000","Kentucky",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",3198000,3230587,3298262,3336106,3371573,3417039,3468755,3530443,3575001,3611382,3643655,3664221,3670395,3683449,3694469,3695459,3694816,3687805,3683330,3680002,3677318,3694048,3722328,3765469,3812206,3849088,3887427,3919535,3952747,3985390,4018053,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4349159,4374302,4394147,4415978,4428854,4443778,4457755,4475829,4487302,4498163,4508318,4507583,4519233,4550595,4588372
 "21000","Kentucky",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3037,3261,3476,3801,4227,4698,5039,5536,6135,6769,7535,8154,9051,9607,9951,11101,11584,11932,12583,13733,14770,15610,16359,17397,17855,18584,19283,20279,21369,22433,23189,24815,25564,26053,26661,28030,29104,30476,31529,32830,32198,33187,34607,35630,35758,37225,38766,39319,40403,41658,43466,47086,51938,52629,55667,58256
 "21001","Adair, KY",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",27842,29876,34180,38349,43361,48545,49938,56744,63059,70530,80199,89298,101418,111006,113722,132768,138327,141846,146755,159340,172704,187409,199276,219614,226328,235989,243658,262792,272674,270685,275445,308873,318146,318446,321197,341983,360006,376792,398808,421908,436501,463337,486263,499442,510138,537745,556618,549698,577775,598093,625084,707876,782146,792625,847207,902535
 "21001","Adair, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",13176,13125,13611,14345,14415,14583,14696,14794,15079,15039,15135,15273,15397,15438,15296,15761,15613,15560,15220,15410,15320,15387,15553,15766,16009,16233,16564,16782,16895,16942,17054,17327,17584,17762,17924,17994,18128,18335,18493,18541,18729,18733,18902,18791,18914,18988,18827,18881,18834,18658,18864,18881,18928,19089,19306,19239
 "21001","Adair, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2113,2276,2511,2673,3008,3329,3398,3836,4182,4690,5299,5847,6587,7190,7435,8424,8860,9116,9642,10340,11273,12180,12813,13930,14138,14538,14710,15659,16139,15977,16151,17826,18093,17928,17920,19005,19859,20550,21565,22755,23306,24734,25725,26579,26971,28320,29565,29114,30677,32056,33136,37491,41322,41523,43883,46912
 "21003","Allen, KY",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",28618,31583,35443,39768,46047,47876,52903,61361,69578,80897,90717,98172,111541,115595,116989,136616,142365,136868,141203,151265,159926,166027,179624,195841,215040,239495,253075,271558,294768,318190,335655,367933,367805,363537,367519,399131,420059,445860,463993,490326,483258,495901,518875,549074,551560,592229,624336,633238,666215,676204,710870,757931,868653,869996,893754,944005
 "21003","Allen, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",12562,12634,12919,12960,13148,13458,13699,13581,13634,13686,13794,14116,14034,13917,14025,14319,14337,14264,14234,14199,14377,14723,14803,15090,15374,15754,16091,16375,16768,17243,17658,17820,17947,18219,18434,18699,18910,19272,19540,19838,19811,20004,20068,20048,20056,20158,20255,20229,20338,20475,20614,20572,20833,21246,21779,22037
 "21003","Allen, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2278,2500,2743,3069,3502,3557,3862,4518,5103,5911,6577,6955,7948,8306,8341,9541,9930,9595,9920,10653,11124,11277,12134,12978,13987,15202,15728,16584,17579,18453,19009,20647,20494,19954,19937,21345,22214,23135,23746,24717,24393,24790,25856,27388,27501,29379,30824,31303,32757,33026,34485,36843,41696,40949,41037,42837
 "21005","Anderson, KY",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",29920,31356,35710,40608,45538,51657,54433,61146,70422,79314,89924,102259,115839,128859,137067,153458,160315,169388,182317,197094,217263,232700,244408,270577,285651,308644,332927,356745,387488,417167,436517,471559,493793,504361,515328,543641,578700,610811,649902,676337,668046,696228,721083,744784,762580,785654,809150,835635,859450,885465,929057,1005450,1098303,1117746,1199765,1265428
