GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "25000","Massachusetts",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",24041879,25961402,27741966,29977946,32574071,35182241,37801838,40688841,44297892,48938719,54486376,61411923,68412222,75002101,81459378,91789284,99275106,107091781,115602354,127633759,135075580,139212594,141495403,148383518,154231900,162007777,171515864,182243752,193168882,205509178,219633348,244147371,254058068,252959517,257917997,270865468,282138090,303265438,319406998,333450507,330773419,346269933,363076328,376591179,379250360,396488668,422547551,438598480,459778749,483954440,507884694,542032569,588651041,600009560,635619806,667993020
 "25000","Massachusetts",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",5650000,5703706,5738589,5762122,5783809,5776992,5762138,5748868,5744097,5742923,5746188,5746075,5768685,5771222,5799405,5840774,5880734,5902677,5935205,5979983,6015478,6022639,6018470,6028709,6060569,6095241,6141445,6179756,6226058,6271838,6317345,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6569724,6630673,6693932,6757991,6820869,6866661,6909664,6959114,6994446,7016781,6994598,7000474,7022468,7066568,7136171
 "25000","Massachusetts",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4255,4552,4834,5203,5632,6090,6560,7078,7712,8522,9482,10688,11859,12996,14046,15715,16881,18143,19477,21343,22455,23115,23510,24613,25448,26579,27928,29490,31026,32767,34767,38381,39711,39419,40158,42242,44061,47311,49662,51546,50751,52707,54757,56259,56119,58129,61536,63476,66069,69191,72381,77493,84087,85441,89947,93607
 "25001","Barnstable, MA",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",417658,467126,537720,614361,686560,756444,852195,966532,1092583,1240807,1423426,1651175,1879199,2104036,2322705,2663707,2947615,3245177,3581189,3924102,4041039,4324096,4398230,4690688,5022671,5340640,5713283,6136634,6495132,7061199,7648222,8069562,8870705,8921528,9176495,9794989,9780709,10163094,10467061,10773876,10744500,11143892,11589425,12063951,12183712,12805698,13416252,13942986,14450339,15199571,16554492,17899744,19700136,19975720,21372636,22505425
 "25001","Barnstable, MA",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",94791,97632,99244,99237,111093,123816,129437,133142,138071,140966,146265,148847,152189,154460,157320,162135,166578,171633,176215,181137,184642,187335,189165,191595,194830,198533,202874,206852,210380,214497,218960,223031,224087,225421,226011,224264,221995,220037,218380,217066,215994,216300,217348,218386,219709,221066,222252,223614,225233,226724,227436,228060,232379,232571,232759,232570
 "25001","Barnstable, MA",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4406,4785,5418,6191,6180,6109,6584,7259,7913,8802,9732,11093,12348,13622,14764,16429,17695,18908,20323,21664,21886,23082,23251,24482,25780,26901,28162,29667,30873,32920,34930,36181,39586,39577,40602,43676,44058,46188,47930,49634,49744,51521,53322,55241,55454,57927,60365,62353,64157,67040,72787,78487,84776,85891,91823,96768
 "25003","Berkshire, MA",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",578436,617044,657388,706423,779029,845894,906579,958249,1018502,1119412,1235703,1378606,1519562,1649138,1757820,1946220,2065312,2206429,2317103,2507654,2694675,2773245,2800241,2826054,2937238,3038487,3163488,3343974,3500975,3666091,3830135,4084396,4194613,4260048,4268474,4559607,4699608,4905537,5113607,5357207,5275171,5393754,5651268,5831873,5807805,6094984,6432625,6584919,6756230,7030940,7255269,7879344,8376553,8462958,8978488,9290365
 "25003","Berkshire, MA",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",148981,149893,150987,148869,149573,149649,148788,146360,144826,146354,145437,145081,144629,142162,141969,141767,140938,140396,140268,139787,139790,139423,138661,137809,137139,137176,136885,136657,136602,135763,135227,134769,133928,133529,133423,133076,132563,131977,131883,131372,131264,131423,131092,131271,130914,130722,130165,129821,129578,129628,129121,129812,130199,129551,128863,128726
 "25003","Berkshire, MA",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3883,4117,4354,4745,5208,5653,6093,6547,7033,7649,8496,9502,10507,11600,12382,13728,14654,15716,16519,17939,19277,19891,20195,20507,21418,22150,23111,24470,25629,27004,28324,30307,31320,31904,31992,34263,35452,37170,38774,40779,40187,41041,43109,44426,44364,46626,49419,50723,52140,54239,56190,60698,64337,65325,69675,72172
 "25005","Bristol, MA",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1596531,1722021,1865575,2048065,2240065,2421969,2627226,2910089,3205390,3560324,3967476,4407777,4822141,5250044,5694731,6328909,6824123,7322178,7816417,8566072,9071378,9373939,9530964,9979711,10382593,11023653,11561191,12090629,12785214,13385535,14205806,15386822,16456075,16946418,17504181,18126807,18808629,20006996,20843136,22061402,21485710,22289810,23102635,23884917,24236199,25114433,26521304,27260865,28583295,29862711,31634945,35108396,37326905,37344206,38901296,40655860
