GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "23000","Maine",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",3235956,3557067,3822683,4187722,4706690,5229257,5652308,6446973,7007608,7740514,8589125,9655334,10638496,11562933,12470517,13760851,14877337,16108071,17414634,19256847,20984163,21860806,22261821,23295062,24056352,25036601,26123764,27577620,29185420,31264394,32675391,35091410,37054994,38290695,40162852,42164527,43103488,45226022,46979294,49175838,49337036,50486968,52539787,53227299,53240177,54984552,57356461,59286784,61740123,64463181,67852844,74137023,81887056,85704240,91602347,96850263
 "23000","Maine",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",992000,996784,1015677,1034817,1046420,1060050,1073280,1089960,1105369,1115457,1124927,1126860,1133033,1136683,1144772,1155634,1162935,1170126,1184577,1203840,1219961,1231719,1237081,1238508,1242302,1242662,1243480,1249060,1254774,1259127,1266808,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327967,1330060,1330954,1332673,1336617,1335768,1340292,1344956,1350606,1357523,1364571,1378931,1390922,1399646,1405012
 "23000","Maine",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3262,3569,3764,4047,4498,4933,5266,5915,6340,6939,7635,8568,9389,10173,10893,11908,12793,13766,14701,15996,17201,17748,17995,18809,19364,20148,21009,22079,23260,24830,25793,27478,28821,29546,30740,32096,32684,34168,35402,36960,37107,38018,39502,39992,39950,41137,42939,44234,45905,47729,49983,54330,59384,61617,65447,68932
 "23001","Androscoggin, ME",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",310572,339559,350474,373641,423220,459977,506117,579076,622266,683401,750788,843623,920210,993450,1075385,1179074,1241551,1335908,1450932,1594504,1731878,1784715,1789029,1859232,1922814,2012204,2066583,2161012,2267249,2375589,2487806,2639007,2724274,2868950,3018729,3099207,3164615,3313151,3466084,3623256,3645144,3682036,3767576,3818287,3754929,3846236,4036729,4069714,4215288,4383681,4613041,5125611,5465802,5768218,6139923,6511386
 "23001","Androscoggin, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",90890,91463,92881,93756,95076,95870,95535,97130,98181,98837,99656,99531,99522,98860,99262,100018,100114,100204,101378,103559,105276,105412,104973,104335,104464,104112,103769,102966,102518,103120,103403,103852,104260,105063,106140,106867,107352,107932,107739,108284,107830,107775,107774,108087,108090,108487,108518,108971,109342,110075,110702,111178,112733,113454,114477,115272
 "23001","Androscoggin, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3417,3713,3773,3985,4451,4798,5298,5962,6338,6914,7534,8476,9246,10049,10834,11789,12401,13332,14312,15397,16451,16931,17043,17820,18406,19327,19915,20988,22116,23037,24059,25411,26130,27307,28441,29001,29479,30697,32171,33461,33805,34164,34958,35326,34739,35453,37199,37347,38551,39824,41671,46103,48484,50842,53635,56487
 "23003","Aroostook, ME",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",248459,295838,309522,324569,406756,501301,433246,513467,567627,574763,633548,687690,800139,808991,862462,944656,984180,1020867,1119704,1156852,1255964,1299866,1319547,1361252,1356265,1324936,1318781,1369721,1410089,1500647,1543016,1636612,1706982,1788602,1866060,1934997,2046478,2104724,2182654,2267531,2334412,2357713,2405554,2427204,2404365,2437868,2520407,2559507,2652867,2748541,2845177,3140185,3369137,3470386,3675626,3885842
 "23003","Aroostook, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",95237,94201,94614,95489,94944,94178,95135,95455,95623,94402,92936,91153,90302,90171,89966,89641,89192,88723,88737,87382,86774,87024,87218,86823,85461,80702,77620,76910,76332,75054,74227,73872,72962,72942,72944,72959,72881,72827,72711,72542,72258,71702,71413,70820,70150,69629,68949,68414,67749,67427,67232,67053,67062,67250,67149,66776
 "23003","Aroostook, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2609,3140,3271,3399,4284,5323,4554,5379,5936,6088,6817,7544,8861,8972,9587,10538,11034,11506,12618,13239,14474,14937,15129,15678,15870,16418,16990,17809,18473,19994,20788,22155,23395,24521,25582,26522,28080,28900,30018,31258,32307,32882,33685,34273,34275,35012,36555,37412,39157,40763,42319,46831,50239,51604,54738,58192
 "23005","Cumberland, ME",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",732141,797762,861974,955512,1042308,1140508,1256075,1402737,1529377,1703563,1885270,2113387,2352554,2589255,2805613,3139241,3452518,3810243,4145969,4632137,5021586,5306543,5369823,5605060,5841527,6147132,6494927,6909843,7406826,7989377,8371612,8933947,9448654,9678097,10265950,10892850,11074861,11834457,12256287,12810042,12556214,12987720,13704266,14064237,14047412,14671239,15492347,16246320,17173925,18072295,19192112,20794535,23221404,24547070,26626353,28287474
