GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "37000","North Carolina",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",15858142,17320423,18856792,21319016,24174505,26653856,28942763,32132322,35208099,39736164,43906810,49256176,55448399,59374707,64651777,73042476,78975578,85149307,91578629,100512038,109591488,116495228,121968505,132578359,141327215,150419510,161278515,172515776,185209372,198232018,207943047,221516240,228090893,231930885,241805079,261603424,280391837,304872655,327886485,351637519,339441454,343104305,355001632,377867242,373140586,393886051,414760405,429054929,449817671,473093266,501618126,541462469,604630712,632926545,677170389,724994573
 "37000","North Carolina",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",5031000,5099150,5200760,5296085,5382441,5461112,5535097,5593463,5668494,5740286,5801563,5898980,5956653,6019108,6077059,6164004,6253957,6321576,6403693,6480591,6565462,6664016,6784280,6897214,7042818,7187398,7344674,7500670,7656825,7809121,7949361,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9571037,9641131,9719755,9800429,9876774,9962464,10072775,10172498,10273864,10369657,10449652,10564320,10710793,10881189,11046024
 "37000","North Carolina",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3152,3397,3626,4025,4491,4881,5229,5745,6211,6922,7568,8350,9309,9864,10639,11850,12628,13470,14301,15510,16692,17481,17978,19222,20067,20928,21959,23000,24189,25385,26158,27410,27782,27856,28709,30586,32209,34189,35960,37772,35921,35848,36822,38876,38074,39880,41632,42596,44219,46048,48374,51816,57233,59092,62233,65634
 "37001","Alamance, NC",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",329879,350273,381007,424017,469926,504551,536960,590057,628721,697983,781923,871973,979181,1049182,1133579,1252503,1333916,1447711,1543043,1681431,1827615,1900981,1983233,2109796,2242999,2376695,2541804,2690364,2888267,3109442,3270188,3438877,3585860,3661043,3791842,3873962,4027474,4376096,4671246,4871361,4754710,4845905,5058491,5219274,5286774,5514086,5701062,5927766,6204277,6562167,6985500,7592247,8448047,8736915,9290991,9924050
 "37001","Alamance, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",96050,96843,98499,99740,99940,99272,98243,98721,98505,98540,99048,99532,100083,101000,101559,101706,102524,103515,105072,106327,107425,108695,110762,112825,114678,116788,118796,121263,123877,126232,128743,131423,133346,135239,136009,137619,139311,141462,144712,147704,149954,151448,152771,153405,154362,155639,157351,160652,163668,166904,169609,171620,173642,176544,179617,183040
 "37001","Alamance, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3434,3617,3868,4251,4702,5083,5466,5977,6383,7083,7894,8761,9784,10388,11162,12315,13011,13986,14686,15814,17013,17489,17905,18700,19559,20351,21396,22186,23316,24633,25401,26166,26891,27071,27879,28150,28910,30935,32280,32981,31708,31997,33112,34023,34249,35429,36231,36898,37908,39317,41186,44239,48652,49489,51727,54218
 "37003","Alexander, NC",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",57882,59796,66867,75107,89470,94742,101401,116936,133293,148161,163244,183742,211633,214101,242821,284612,298005,323868,337733,367094,410866,439149,454846,496784,532526,571962,595982,604536,646057,717803,777862,819068,839545,825919,838459,907193,942860,986076,1024035,1013861,1006158,1032178,1043752,1081135,1093133,1155681,1225944,1236703,1314412,1351957,1426105,1544422,1682652,1778369,1833886,1961567
 "37003","Alexander, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",18795,19593,20347,21184,22069,22673,22894,23080,23588,24058,24719,25066,25260,25572,25865,26097,26348,26557,26796,27078,27423,27652,28095,28453,29208,29949,30496,30967,31668,32492,33274,33774,34187,34665,34998,35343,35786,36243,36609,36840,37053,37206,36898,36690,36676,36548,36410,36465,36346,36408,36449,36410,36292,36237,36427,36693
 "37003","Alexander, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3080,3052,3286,3545,4054,4179,4429,5067,5651,6158,6604,7330,8378,8372,9388,10906,11310,12195,12604,13557,14983,15881,16190,17460,18232,19098,19543,19522,20401,22092,23377,24251,24557,23826,23957,25668,26347,27207,27972,27521,27155,27742,28287,29467,29805,31621,33671,33915,36164,37134,39126,42418,46364,49076,50344,53459
 "37005","Alleghany, NC",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",19145,20531,23339,27217,31140,32791,36987,39826,43735,49993,57109,63088,69953,76372,80373,87260,89641,93913,102942,114395,126729,136163,144655,156932,170855,180592,202031,212025,228986,247186,263828,266448,263769,264228,265396,276481,287154,286055,298638,310875,317674,320532,326932,336517,329150,349297,368505,376635,387290,407474,428517,453648,505125,501634,544667,589536
 "37005","Alleghany, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",8084,8147,8337,8653,8768,9041,9018,9269,9300,9405,9620,9607,9664,9754,9722,9699,9549,9530,9550,9519,9578,9622,9756,9830,9870,10020,10174,10241,10287,10437,10567,10673,10740,10740,10776,10790,10788,10940,11061,11131,11125,11129,10977,10874,10802,10758,10691,10732,10777,10907,10844,10889,11074,11187,11340,11379
 "37005","Alleghany, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2368,2520,2799,3145,3552,3627,4101,4297,4703,5316,5936,6567,7239,7830,8267,8997,9387,9854,10779,12018,13231,14151,14827,15965,17311,18023,19858,20704,22260,23684,24967,24965,24559,24602,24628,25624,26618,26148,26999,27929,28555,28802,29783,30947,30471,32469,34469,35095,35937,37359,39517,41661,45614,44841,48031,51809
