GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "35000","New Mexico",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",3143665,3499776,3872418,4353346,4881806,5487270,6267941,6987390,7819801,8947791,10087343,11324718,12789759,14010585,15086657,16451119,17812041,18512048,19235758,20380071,21827331,23292213,24953527,26778266,28793303,30728194,33016851,34664741,36399458,38233130,38915058,41922251,44958829,46821719,49019748,52099668,55540781,59713746,63243626,67462380,67011812,69499817,73017732,74610808,73079820,77265995,79130787,80782293,82354111,86179472,91208888,98634257,107674285,112280289,117634308,124086235
 "35000","New Mexico",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",1011000,1023206,1053258,1077815,1104225,1129568,1162682,1195162,1225245,1251848,1280539,1309400,1332747,1363822,1394362,1416719,1438360,1462728,1478519,1490336,1503901,1521574,1555305,1595442,1636453,1682398,1720394,1752326,1774839,1793484,1808082,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2064898,2082130,2090282,2096538,2095081,2096056,2099682,2101111,2103161,2110180,2118606,2117333,2113868,2121164,2130256
 "35000","New Mexico",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3109,3420,3677,4039,4421,4858,5391,5846,6382,7148,7877,8649,9597,10273,10820,11612,12384,12656,13010,13675,14514,15308,16044,16784,17595,18265,19191,19782,20509,21318,21523,23019,24545,25237,26108,27366,28744,30433,31780,33552,32901,33658,35069,35694,34857,36880,37752,38474,39196,40976,43223,46556,50854,53116,55457,58249
 "35001","Bernalillo, NM",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1101346,1252045,1412096,1618026,1797768,2010334,2261502,2536990,2815941,3245820,3662930,4108035,4596998,5032216,5500475,6052446,6621461,7025160,7389327,7834735,8259857,8820922,9421722,10056478,10797033,11650945,12486002,13068728,13673776,14249425,14466197,15563792,16333796,16953487,17769691,18832147,19938052,21471931,22302238,23345120,23274309,23579167,24589583,24767516,24340911,25764648,26704864,27714720,28287347,29242032,30927978,33849987,36467541,37893170,39989816,42209676
 "35001","Bernalillo, NM",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",314700,318277,331206,339666,353816,365412,371719,380717,392444,399597,410992,422295,430023,433469,441597,447307,452555,459938,468550,472977,478795,482696,492880,505395,515914,528842,538615,544201,547997,551298,553002,557601,564241,576532,587049,600449,615320,628632,638978,646879,655279,663812,669712,672565,674792,673931,673735,674662,674544,673678,674659,676882,675410,673039,672572,671747
 "35001","Bernalillo, NM",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3500,3934,4263,4764,5081,5502,6084,6664,7175,8123,8912,9728,10690,11609,12456,13531,14631,15274,15771,16565,17251,18274,19116,19898,20928,22031,23182,24015,24952,25847,26159,27912,28948,29406,30270,31363,32403,34157,34903,36089,35518,35521,36717,36825,36072,38230,39637,41079,41936,43407,45842,50009,53993,56302,59458,62836
 "35003","Catron, NM",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",5823,5911,7022,7849,9415,11442,12441,13352,14782,17035,20238,20830,19584,20094,21683,22988,25026,25677,27723,30675,32410,32222,33849,35104,37894,39756,42620,46225,47347,50695,51944,56736,66851,70045,71278,74707,79620,87607,88973,90157,91521,96173,102610,102900,99269,106775,110031,107351,111343,113761,116498,134953,145185,157877,159762,168996
 "35003","Catron, NM",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",2200,2179,2082,2251,2363,2441,2357,2457,2576,2712,2745,2715,2694,2666,2731,2750,2594,2579,2617,2619,2566,2580,2575,2585,2704,2808,2897,2987,3186,3274,3413,3567,3488,3501,3456,3468,3425,3573,3638,3631,3689,3747,3712,3626,3575,3535,3462,3505,3533,3496,3477,3609,3716,3793,3803,3795
 "35003","Catron, NM",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2647,2713,3373,3487,3984,4687,5278,5434,5738,6281,7373,7672,7269,7537,7940,8359,9648,9956,10593,11712,12631,12489,13145,13580,14014,14158,14712,15475,14861,15484,15219,15906,19166,20007,20624,21542,23247,24519,24457,24830,24809,25667,27643,28378,27768,30205,31782,30628,31515,32540,33505,37393,39070,41623,42009,44531
 "35005","Chaves, NM",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",129300,139749,157214,169933,190713,214284,246019,270504,298828,324196,377476,419665,479030,550700,604296,639473,677325,654550,671265,740800,800029,840748,849455,903194,941571,1007785,1045690,1103919,1116144,1215987,1188594,1211151,1338560,1329853,1357424,1469796,1566917,1667027,1818712,2039371,1851396,2084231,2273956,2310534,2257272,2440068,2364042,2353560,2433005,2505750,2590399,2801835,3005005,3371428,3264629,3441914
 "35005","Chaves, NM",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",43300,43771,45341,45906,45199,45571,46705,47497,48421,48597,49397,51184,51468,53647,56263,56455,56517,56419,55667,55922,57105,58033,58818,58655,59505,60596,61365,62088,62338,62395,62052,61317,60928,60768,61248,61478,62172,62486,63587,64378,65110,65731,65769,65867,66159,66004,66060,65926,65372,64808,64945,65153,64660,63907,63668,63697
 "35005","Chaves, NM",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2986,3193,3467,3702,4219,4702,5268,5695,6171,6671,7642,8199,9307,10265,10741,11327,11984,11602,12059,13247,14010,14487,14442,15398,15823,16631,17040,17780,17905,19489,19155,19752,21970,21884,22163,23908,25203,26678,28602,31678,28435,31708,34575,35079,34119,36968,35786,35700,37218,38664,39886,43004,46474,52755,51276,54036
