GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "46000","South Dakota",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2076428,2257360,2473054,2855440,3605287,3612015,3972044,3932814,4462560,5142463,5665386,5716533,6653389,7011777,7277146,8268309,8481217,8847038,9303519,9740433,10481322,11483857,11981980,12935102,13520170,14573911,14864750,16415457,16797726,18102888,18948924,20201161,20892158,20898499,22822717,24553198,26005396,27393137,30342539,32676797,31827060,33682881,36654995,37469645,37840240,39607122,41160093,41551502,42989296,45143987,48013864,52908830,60220975,63454712,68097023,69996252
 "46000","South Dakota",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",668000,666641,671382,677389,678939,679877,681420,686843,688992,689293,689018,690851,689584,690597,693009,697250,698404,696036,696034,698160,696698,697101,703669,712801,722159,730790,737925,742213,744223,746058,750412,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816068,823113,832730,841120,847538,852029,860557,870094,875247,882486,887948,896492,909723,918305,924669
 "46000","South Dakota",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3108,3386,3684,4215,5310,5313,5829,5726,6477,7460,8222,8275,9648,10153,10501,11858,12144,12711,13366,13952,15044,16474,17028,18147,18722,19943,20144,22117,22571,24265,25251,26727,27563,27497,29883,31871,33534,34983,38330,40891,39435,41275,44532,44996,44988,46732,48308,48284,49408,51579,54408,59586,67174,69752,74155,75699
 "46003","Aurora, SD",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",11230,12095,12174,15900,22024,20874,18491,17922,21466,21805,22895,20290,25699,30540,23686,33533,33836,35168,38396,32958,37302,46149,45476,52494,48257,53463,44528,62802,60417,67437,70160,78861,77246,69774,97434,94488,80471,81118,110700,124152,104054,100568,137808,109689,114732,112002,112699,106162,98305,106088,109322,129582,153884,167585,181920,154449
 "46003","Aurora, SD",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",4161,4238,4454,4235,4102,4032,3995,3996,3896,3796,3717,3624,3605,3551,3521,3512,3375,3318,3305,3260,3161,3130,3050,3033,3056,3057,3117,3064,3058,3063,3038,3045,2946,2869,2862,2860,2789,2775,2745,2750,2712,2701,2717,2765,2719,2747,2750,2778,2766,2783,2757,2740,2741,2772,2796,2752
 "46003","Aurora, SD",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2699,2854,2733,3754,5369,5177,4629,4485,5510,5744,6160,5599,7129,8600,6727,9548,10025,10599,11618,10110,11801,14744,14910,17308,15791,17489,14286,20497,19757,22017,23094,25899,26221,24320,34044,33038,28853,29232,40328,45146,38368,37234,50721,39671,42196,40772,40981,38215,35540,38120,39653,47293,56142,60456,65064,56122
 "46005","Beadle, SD",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",71312,77023,83358,92808,111014,113584,121990,124235,137581,155756,174161,179988,204889,213560,207017,235655,242780,250169,264362,273422,292649,307921,313528,332224,355417,378824,369251,420563,423351,432320,456001,480857,472195,445511,476623,526713,535517,562395,641223,760057,702626,676102,852969,767515,794065,832337,879062,885835,855105,858790,908208,995545,1104633,1149365,1276854,1253392
 "46005","Beadle, SD",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",20910,20824,20698,20532,20604,20847,20465,20242,19774,19463,19385,19190,19132,19088,18755,18547,18440,18367,18427,18221,18243,18288,18090,18070,18092,18263,18364,18401,18272,17501,17097,17030,16952,16767,16504,16370,16304,16149,16489,16810,17288,17421,17786,18136,18409,18325,18456,18524,18825,18727,18935,19166,19185,19356,19380,19459
 "46005","Beadle, SD",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3410,3699,4027,4520,5388,5448,5961,6137,6958,8003,8984,9379,10709,11188,11038,12706,13166,13621,14346,15006,16042,16837,17332,18385,19645,20743,20107,22855,23169,24703,26671,28236,27855,26571,28879,32176,32846,34825,38888,45215,40642,38810,47957,42320,43135,45421,47630,47821,45424,45858,47965,51943,57578,59380,65885,64412
 "46007","Bennett, SD",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",7578,9359,9217,11863,18728,14180,15713,13684,15350,17080,18024,18980,21196,20849,25304,30788,26839,32369,30274,30940,35559,41243,41285,41037,51628,45570,53451,54555,54501,59131,66885,72053,73077,65023,79079,75707,88887,78411,83724,88593,88015,89729,91962,99893,100013,113985,109881,104956,111498,121809,120455,140827,156181,167548,172514,164614
