GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "49000","Utah",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",3406875,3791439,4243112,4741413,5282895,5910411,6590527,7463623,8440469,9711665,10970210,12318448,13878413,15058011,16136101,17800948,19059816,20029871,20928144,22309336,23942146,25975922,27877464,30105915,32466503,35131085,38274771,41682790,45000539,48098523,50669999,54230564,56788677,58508581,60770445,64794962,70661847,78561107,85528474,89967770,86594676,88940512,95881711,101928136,105027979,111056448,119661481,126540574,134546734,144645502,155711460,169991561,194799076,206055695,222237811,235907386
 "49000","Utah",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",1047000,1065672,1100733,1134601,1168784,1198793,1233935,1272365,1316421,1364235,1416094,1472595,1515472,1558314,1594943,1622342,1642910,1662833,1678120,1689372,1705865,1731223,1779780,1836799,1898404,1960446,2014177,2067976,2119784,2165960,2203482,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2776212,2818798,2861360,2909190,2951948,3000449,3064277,3126779,3181595,3233028,3284077,3339738,3391011,3443222,3503613
 "49000","Utah",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3254,3558,3855,4179,4520,4930,5341,5866,6412,7119,7747,8365,9158,9663,10117,10972,11601,12046,12471,13206,14035,15004,15663,16390,17102,17920,19003,20156,21229,22207,22995,24162,24867,25167,25749,26980,28751,31107,32924,33784,31796,32037,34015,35622,36102,37621,39881,41295,43030,45463,48163,51762,58328,60765,64544,67333
 "49001","Beaver, UT",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",10127,11093,12429,14095,15720,17245,17918,20569,23046,25295,27065,29649,33240,36393,40472,44959,49238,46709,49365,53315,56338,59644,63368,68324,75103,73049,76934,89010,102658,106053,117708,134023,150434,134950,135722,158451,158364,140745,154954,162945,180327,183535,194018,196880,215627,210546,183454,182154,213623,233702,254666,303402,341399,321592,296624,290867
 "49001","Beaver, UT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",3900,3798,3830,3864,3993,3976,4064,4074,4064,4194,4240,4408,4518,4678,4771,4969,5087,4968,4876,4739,4726,4769,4798,4929,5001,5159,5394,5687,5851,5883,5978,5998,5999,6058,6039,6077,6192,6281,6266,6413,6552,6665,6598,6569,6553,6558,6512,6654,6624,6872,7008,7088,7216,7348,7291,7424
 "49001","Beaver, UT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2597,2921,3245,3648,3937,4337,4409,5049,5671,6031,6383,6726,7357,7780,8483,9048,9679,9402,10124,11250,11921,12507,13207,13862,15018,14160,14263,15651,17545,18027,19690,22345,25077,22276,22474,26074,25576,22408,24729,25409,27522,27537,29406,29971,32905,32105,28172,27375,32250,34008,36339,42805,47311,43766,40684,39179
 "49003","Box Elder, UT",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",93236,100548,109633,121744,133345,146960,153909,170225,186005,212076,241217,275543,310939,335332,364625,399877,428412,457583,498140,516637,542288,538696,557169,599877,624175,649036,694596,761562,803021,829115,856331,877086,940409,949373,1000841,1050223,1099428,1176914,1310589,1404613,1377331,1401809,1474415,1508962,1584031,1650315,1732400,1796585,1903916,2073057,2199954,2429686,2712253,2936430,3165596,3343104
 "49003","Box Elder, UT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",27600,28185,28535,29133,29228,29181,29623,30247,30844,31547,32441,33455,34313,34805,35223,35829,35948,36259,36562,36875,36542,36568,36864,37317,37882,38541,39077,39802,40751,41571,42378,42882,43362,44038,44548,44666,45090,45948,47193,48437,49372,50199,50349,50397,51007,51671,52287,53528,54617,55511,56745,57948,59694,61590,62878,64120
 "49003","Box Elder, UT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3378,3567,3842,4179,4562,5036,5196,5628,6031,6723,7436,8236,9062,9635,10352,11161,11918,12620,13625,14010,14840,14731,15114,16075,16477,16840,17775,19134,19706,19945,20207,20453,21687,21558,22467,23513,24383,25614,27771,28999,27897,27925,29284,29942,31055,31939,33133,33563,34859,37345,38769,41929,45436,47677,50345,52138
 "49005","Cache, UT",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",107608,120485,135287,153870,172994,192108,216122,249496,277834,318568,365283,411810,457888,490258,539540,589702,634831,693099,752446,806272,881914,943401,1010258,1092360,1182255,1260705,1342541,1437447,1553122,1645630,1701871,1767120,1902894,1963808,2100338,2271235,2332726,2473327,2693746,2992990,3019501,3204845,3443027,3582942,3600043,3779899,4080249,4318863,4693106,5086171,5414840,5750364,6787329,6868673,7392851,7838880
