GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "54000","West Virginia",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",4944141,5511837,6051556,6700698,7333218,8128736,9186126,10241128,11457287,12752672,14222751,15637550,17044991,18059962,18554199,19921934,20756668,21253154,21714815,23221484,24579344,26184243,27331646,29388622,30475580,31790532,32855636,34152035,35627801,37130579,38078587,40251566,42750333,44243165,44952808,46551205,48854253,52146960,54184672,57958900,58487453,60532086,64059017,65488403,65152569,67156751,68437802,68067852,70797616,74235000,76725017,80440274,87322546,88990064,93770989,97970676
 "54000","West Virginia",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",1746000,1746629,1770252,1796910,1805293,1814048,1840548,1877440,1905628,1920342,1939062,1951349,1954125,1949605,1945058,1927696,1906831,1882352,1857583,1830213,1806570,1792548,1798735,1806451,1817539,1820421,1823700,1822808,1819113,1815609,1811799,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854404,1857305,1858706,1856588,1852948,1846270,1835935,1822742,1810572,1800441,1791646,1785618,1774122,1770495,1769979
 "54000","West Virginia",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2832,3156,3418,3729,4062,4481,4991,5455,6012,6641,7335,8014,8723,9263,9539,10335,10885,11291,11690,12688,13606,14607,15195,16269,16767,17463,18016,18736,19585,20451,21017,22275,23731,24506,24804,25628,26836,28528,29544,31494,31653,32642,34490,35233,35093,36243,37068,37075,38841,41001,42615,44897,48903,50160,52963,55351
 "54001","Barbour, WV",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",31306,34785,40806,48231,53730,58275,69152,74477,84303,90734,103440,114422,125215,135851,135130,145343,147293,149684,147005,154431,162457,169513,177828,191562,202137,211424,215166,225031,237115,244915,251301,266203,276678,293524,303636,317349,333382,364797,386300,414493,427209,445802,462519,486881,480381,492269,492147,489783,508145,533908,553781,590229,635479,638525,661728,687244
 "54001","Barbour, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",13809,14166,14721,14975,15080,15083,15352,15864,15975,15965,16158,16661,16736,16734,16738,16852,16754,16479,16255,15964,15730,15675,15572,15760,15806,15925,15948,15981,15698,15735,15616,15560,15436,15569,15639,15629,15722,15922,16036,16241,16479,16585,16474,16642,16547,16480,16450,16121,15798,15691,15532,15462,15447,15397,15443,15369
 "54001","Barbour, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2267,2456,2772,3221,3563,3864,4504,4695,5277,5683,6402,6868,7482,8118,8073,8625,8792,9083,9044,9674,10328,10814,11420,12155,12789,13276,13492,14081,15105,15565,16093,17108,17924,18853,19415,20305,21205,22912,24090,25521,25924,26880,28076,29256,29031,29871,29918,30382,32165,34026,35654,38173,41139,41471,42850,44716
 "54003","Berkeley, WV",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",126726,134820,148849,167079,187624,208309,229837,254554,282243,322075,364243,404464,452317,486827,518648,585410,631764,682817,738409,818393,896849,952168,990277,1061305,1115548,1169349,1238801,1320912,1440177,1523448,1613566,1793586,1951916,2102583,2279656,2459499,2713375,2961145,3142292,3338452,3372518,3524958,3700089,3857287,3915509,4047539,4232170,4476299,4658426,4909941,5281057,5765725,6462282,6665383,7187995,7795971
 "54003","Berkeley, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",37570,36437,37181,38572,39750,40917,41549,43008,43776,44038,45311,46995,47829,48528,49664,50337,51160,52227,53472,55546,57276,59839,61582,63010,64396,65800,67117,68667,70061,72285,74366,76357,78428,80875,84524,88258,92114,96318,99132,101629,102830,104650,105840,107137,108749,110529,112087,113935,115597,117885,120086,122699,126194,129538,132851,136287
 "54003","Berkeley, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3373,3700,4003,4332,4720,5091,5532,5919,6447,7314,8039,8607,9457,10032,10443,11630,12349,13074,13809,14734,15658,15912,16081,16843,17323,17771,18457,19236,20556,21076,21698,23489,24888,25998,26971,27867,29457,30743,31698,32849,32797,33683,34959,36003,36005,36620,37758,39288,40299,41650,43977,46991,51209,51455,54106,57203
 "54005","Boone, WV",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",61783,77173,85509,103212,117437,137155,153729,165988,191286,220515,246455,263089,275895,318349,309655,324792,325507,334626,344319,352088,327768,354703,396899,398680,385173,425165,432891,430584,437654,455789,464706,476689,483667,507347,521523,540492,573535,620991,656732,731480,727949,749897,812334,795878,749285,736028,735240,712501,739321,778236,775430,835050,886065,874596,924132,954098
 "54005","Boone, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",25117,25182,25554,26105,27343,27611,28381,29442,30214,30445,30892,30449,30430,30429,30284,29772,29175,28725,27658,27067,26406,25781,25958,26303,26048,25977,25928,26055,25976,25642,25640,25473,25372,25505,25545,25455,25311,25101,25115,24794,24766,24623,24492,24501,24300,23990,23591,23207,22836,22440,21949,21746,21361,20925,20600,20496
 "54005","Boone, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2460,3065,3346,3954,4295,4967,5417,5638,6331,7243,7978,8640,9067,10462,10225,10909,11157,11649,12449,13008,12413,13758,15290,15157,14787,16367,16696,16526,16848,17775,18124,18714,19063,19892,20416,21233,22660,24740,26149,29502,29393,30455,33167,32483,30835,30681,31166,30702,32375,34681,35329,38400,41481,41797,44861,46550
 "54007","Braxton, WV",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",23158,29640,33359,33015,36954,39616,44058,47800,53684,60498,71236,85539,96391,107530,109046,120107,124187,128381,129276,136777,143734,150012,152559,162424,172749,179099,191616,206385,209982,216865,220412,238515,244125,257000,265328,278944,288980,310255,329824,360495,364104,383317,408503,429270,415281,427405,445238,424460,429523,445287,455274,486199,501192,492856,520558,539217
 "54007","Braxton, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",12485,12756,13206,13275,13576,13203,13293,13401,13593,13601,13778,13954,14184,14200,14307,14121,14130,13972,13676,13472,13132,13021,13242,13328,13627,13757,14027,14192,14155,14299,14521,14713,14702,14667,14632,14696,14682,14585,14585,14587,14512,14511,14369,14153,13956,13843,13681,13486,13256,12935,12666,12396,12297,12158,12139,12051
 "54007","Braxton, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1855,2324,2526,2487,2722,3001,3314,3567,3949,4448,5170,6130,6796,7573,7622,8506,8789,9188,9453,10153,10945,11521,11521,12187,12677,13019,13661,14542,14834,15166,15179,16211,16605,17522,18133,18981,19683,21272,22614,24713,25090,26416,28429,30331,29756,30875,32544,31474,32402,34425,35945,39222,40757,40538,42883,44745
 "54009","Brooke, WV",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",94429,100898,113423,123581,130421,146801,159789,180690,199460,218440,247445,264047,288496,283653,281652,293417,301681,320038,325422,339452,364881,401184,399687,425001,441606,460270,475630,496248,510410,530025,539611,586358,610233,617684,606488,617059,626781,662150,687552,738459,725595,747738,793447,812590,817760,859669,882341,853981,885545,927863,946906,1006063,1094167,1105245,1125472,1180011
 "54009","Brooke, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",29023,30354,30131,29952,30331,30332,31020,30791,30715,30152,30527,31082,30917,30484,29673,29165,28733,28436,27871,27463,27198,26973,26776,26582,26697,26622,26645,26380,26061,25892,25776,25366,25237,25156,25094,24867,24703,24399,24235,24168,24153,23993,23913,23854,23853,23719,23628,23168,22979,22782,22656,22484,22080,21739,21438,21285
 "54009","Brooke, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3254,3324,3764,4126,4300,4840,5151,5868,6494,7245,8106,8495,9331,9305,9492,10061,10499,11255,11676,12360,13416,14874,14927,15988,16541,17289,17851,18812,19585,20471,20935,23116,24180,24554,24169,24814,25373,27138,28370,30555,30042,31165,33181,34065,34283,36244,37343,36860,38537,40728,41795,44746,49555,50842,52499,55439
 "54011","Cabell, WV",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",345482,386817,420385,450742,485970,534552,593117,653473,718368,789701,870156,948515,1023873,1070225,1106502,1182475,1246000,1287926,1304221,1404310,1508010,1598521,1664789,1793818,1863554,1911390,1975074,2019592,2099263,2177544,2221723,2321805,2447383,2542623,2579938,2590256,2666098,2834994,2990933,3208367,3235405,3312053,3468260,3547181,3515400,3617837,3695206,3658194,3760631,3963412,4074949,4320229,4624778,4717348,4999066,5200499
 "54011","Cabell, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",106302,107195,108919,107672,106837,105926,105730,107082,107572,106511,107575,106924,107178,105808,106421,105369,104521,102001,100571,98796,97800,96754,97120,97292,97990,98602,98611,98440,98018,97196,96987,96735,96035,95741,95554,95239,94821,94943,95059,95209,96040,96347,96910,97520,97877,97767,97985,97337,96401,95086,94307,94245,93422,92501,92036,91489
 "54011","Cabell, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3250,3609,3860,4186,4549,5046,5610,6103,6678,7414,8089,8871,9553,10115,10397,11222,11921,12627,12968,14214,15419,16521,17142,18437,19018,19385,20029,20516,21417,22404,22907,24002,25484,26557,27000,27197,28117,29860,31464,33698,33688,34376,35788,36374,35917,37005,37712,37583,39010,41682,43209,45840,49504,50998,54316,56843
 "54013","Calhoun, WV",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",12701,14358,15374,16982,18711,20413,23293,25905,28645,33822,37823,43056,48108,51272,55628,60572,63919,65589,65945,75816,77931,80747,83771,92843,95713,97555,97768,100258,104046,107297,110677,118587,127308,130440,135628,138517,141456,151829,155798,177666,183829,192133,205330,225074,216212,222135,212201,199081,209319,216435,221124,241185,258471,251483,266791,270259
