state,state_abbr,year,controls_source,median_hh_income_nominal,median_hh_income_real_2024,poverty_rate,share_white_nh,share_black_nh,share_hispanic,share_bachelors_plus,share_male,share_age_15_24,share_age_25_44
Alabama,AL,2008,acs1,42666,62178.7768603872,0.15695140822184195,0.6839057036830477,0.26094360668397004,0.027920804822068254,0.21993510473773095,0.48455007614920953,0.1408376413050473,0.263030309530449
Alabama,AL,2009,acs1,40489,59195.79056275187,0.17535426253661282,0.6793031124461317,0.25991758248759533,0.031490379101868284,0.22032957828382835,0.48437575657696336,0.13950174867500809,0.26321997456627166
Alabama,AL,2010,acs1,40474,58221.032549025294,0.19033548533631028,0.6700700771404414,0.2625888711633006,0.03819929291759886,0.21910181839690454,0.48528701869768615,0.1436880211012982,0.255521599699747
Alabama,AL,2011,acs1,41415,57761.143024501725,0.19040193814731224,0.6668199819269833,0.26544264315786403,0.03877036858126819,0.2225225941865498,0.48397643844971827,0.14193564506927295,0.25462485997576384
Alabama,AL,2012,acs1,41574,56805.21829393695,0.18962570039630522,0.6662075232739454,0.26285212658670437,0.03845709570443774,0.23278548475439348,0.4845043252593362,0.14027597960441085,0.2540972948490706
Alabama,AL,2013,acs1,42849,57701.44565773815,0.18730944285591605,0.6629516550600137,0.26486008090659746,0.03929352991338766,0.23468158056852276,0.484485661359921,0.141826733105462,0.2526223063717773
Alabama,AL,2014,acs1,42830,56758.93998408776,0.1925257675806216,0.6610199619456273,0.26513323257812293,0.03967788027204319,0.2347135164147501,0.4841795141932665,0.13923438000386443,0.2534721470407436
Alabama,AL,2015,acs1,44765,59251.45460248008,0.18495658983437185,0.6594134282119762,0.2668628532866678,0.03969352409220126,0.24156463306290923,0.4842190097960909,0.1368501489716255,0.25451128724779426
Alabama,AL,2016,acs1,46257,60460.03584849648,0.17088689690169148,0.657402792342648,0.26619209178952563,0.04105977422737647,0.24707449572259085,0.48445541093496186,0.13600004112433944,0.2524693109616927
Alabama,AL,2017,acs1,48123,61586.30584282864,0.16888918814281145,0.6546903870088027,0.2671513003649215,0.041431893798796124,0.255227886573844,0.48410635464773866,0.13590797635241378,0.2512712967462722
Alabama,AL,2018,acs1,49861,62291.26019034951,0.16802075977554184,0.6530796332390932,0.2656786564129863,0.043267303903887805,0.25529473875972897,0.4847245354879456,0.13298612013287583,0.2515320064707109
Alabama,AL,2019,acs1,51734,63480.13676503041,0.1545705198666245,0.651200189264733,0.26774861646052517,0.044725214324974484,0.26349455872487915,0.4832799496653706,0.1314268174666059,0.25353764950741203
Alabama,AL,2020,acs5,52035,63059.383855680244,0.15982893838437057,0.6523657592415248,0.2642347950803423,0.043519907070771476,0.26227345285863723,0.4834751836533498,0.13187072798785904,0.25282566409697077
Alabama,AL,2021,acs1,53913,62413.536602760236,0.16142826107235014,0.6415329183628886,0.2575991437886282,0.047111070369376076,0.2743288726729887,0.4853086692393485,0.1314135245760958,0.2522329413991651
Alabama,AL,2022,acs1,59674,63971.06799482959,0.16237844110448055,0.6405188030024264,0.25550342352909644,0.04857363464803788,0.288003708858093,0.4850422600494729,0.13503213056550112,0.2531519643316038
Alabama,AL,2023,acs1,62212,64048.56645542271,0.155853878749139,0.6333767775387846,0.2532806312968976,0.056945839731207086,0.28889669436722326,0.48386345965169986,0.13399105172039838,0.2532596856826743
Alabama,AL,2024,acs1,66659,66659.0,0.1518803892564703,0.6280081485949451,0.2508343352335993,0.05951607490084241,0.29853581619073793,0.48288025338430957,0.13379415898446187,0.2547128089483314
Alaska,AK,2008,acs1,68460,99769.3494553534,0.08420040520586518,0.655751989310688,0.03371883437540526,0.062055128057549765,0.273084789162652,0.5210005056149487,0.16382652890237842,0.28457233280829036
Alaska,AK,2009,acs1,66953,97886.72887816261,0.09034571490536508,0.6501668640019013,0.03810168753838731,0.06209688849819535,0.26563275491792254,0.5163950503455395,0.1651402416414092,0.27628698603954627
Alaska,AK,2010,acs1,64576,92891.27335785584,0.09942137303357242,0.6404392249136887,0.03181019209087026,0.05701100163168694,0.2792486078960977,0.5216300062326239,0.15068103671645763,0.2761262491508925
Alaska,AK,2011,acs1,67825,94594.94206535867,0.10455394278923691,0.6362592325083919,0.030179129342288415,0.05759784590946953,0.2636704300204438,0.5159910227779023,0.14985097922011076,0.27622807236017366
Alaska,AK,2012,acs1,67712,92519.24137968583,0.10117270908094934,0.6295080039756702,0.03365238041203146,0.05972528501645364,0.280081103070638,0.521012401411445,0.1501184634882268,0.28042009764180414
Alaska,AK,2013,acs1,72237,97276.00013951388,0.09329040215268411,0.6246061931734709,0.033403524809149925,0.06597590636783598,0.27971573015979373,0.5256253298727304,0.15469330678027893,0.2774386096646589
Alaska,AK,2014,acs1,71583,94862.83448239444,0.11233721087383294,0.6176045020441626,0.03204421689298144,0.06688456589370355,0.28004789863033136,0.5233680632848852,0.15559117833893465,0.28077645602471457
Alaska,AK,2015,acs1,73355,97093.49832156654,0.1034067969449127,0.6127470098803952,0.03350206924943665,0.070182494799792,0.2969311407534881,0.5263788676547062,0.1531569596117178,0.28497410729762523
Alaska,AK,2016,acs1,76440,99910.61115634543,0.09885243546676097,0.6102718178068565,0.029341118812121408,0.06915273610515787,0.2955980883221874,0.5264539139014468,0.14249879362820025,0.28845360657991576
Alaska,AK,2017,acs1,73181,93654.74820530812,0.11105497507189731,0.6056826553301928,0.028645773491305024,0.06990044539365635,0.2879884376018822,0.5214633783683318,0.13798146783906354,0.29099007157388196
Alaska,AK,2018,acs1,74346,92880.32791383495,0.10906281168977998,0.6011407060661371,0.032560025385184925,0.07196401595795172,0.3016938187257522,0.5193006056102344,0.13237858640319594,0.29115396819800443
Alaska,AK,2019,acs1,75463,92596.77505507963,0.10079232197274861,0.598341865503831,0.029763035766767594,0.07183153462876515,0.30194108970412636,0.5200404623092223,0.1287234551531348,0.2884484208080159
Alaska,AK,2020,acs5,77790,94270.96127862719,0.10336995878767662,0.5969945318118292,0.03082809807460074,0.07199419259420073,0.29986802803266616,0.5219243137627376,0.1343736007272826,0.28887773239799724
