state_fips,state_abbr,state,year,freq_mental_distress_pct
01,AL,Alabama,1999,0.0
01,AL,Alabama,2000,0.0
01,AL,Alabama,2001,0.0
01,AL,Alabama,2002,0.0
01,AL,Alabama,2003,0.0
01,AL,Alabama,2004,0.0
01,AL,Alabama,2005,0.0
01,AL,Alabama,2006,0.0
01,AL,Alabama,2007,0.0
01,AL,Alabama,2008,0.0
01,AL,Alabama,2009,0.0
01,AL,Alabama,2010,0.0
01,AL,Alabama,2011,0.0
01,AL,Alabama,2012,0.0
01,AL,Alabama,2013,0.0
01,AL,Alabama,2014,0.0
01,AL,Alabama,2015,0.0
01,AL,Alabama,2016,0.0
01,AL,Alabama,2017,0.0
01,AL,Alabama,2018,0.0
01,AL,Alabama,2019,17.5
01,AL,Alabama,2020,15.8
01,AL,Alabama,2021,18.4
01,AL,Alabama,2022,18.1
01,AL,Alabama,2023,15.9
01,AL,Alabama,2024,17.99
02,AK,Alaska,1999,0.0
02,AK,Alaska,2000,0.0
02,AK,Alaska,2001,0.0
02,AK,Alaska,2002,0.0
02,AK,Alaska,2003,0.0
02,AK,Alaska,2004,0.0
02,AK,Alaska,2005,0.0
02,AK,Alaska,2006,0.0
02,AK,Alaska,2007,0.0
02,AK,Alaska,2008,0.0
02,AK,Alaska,2009,0.0
02,AK,Alaska,2010,0.0
02,AK,Alaska,2011,0.0
02,AK,Alaska,2012,0.0
02,AK,Alaska,2013,0.0
02,AK,Alaska,2014,0.0
02,AK,Alaska,2015,0.0
02,AK,Alaska,2016,0.0
02,AK,Alaska,2017,0.0
02,AK,Alaska,2018,0.0
02,AK,Alaska,2019,12.0
02,AK,Alaska,2020,9.9
02,AK,Alaska,2021,14.0
02,AK,Alaska,2022,15.2
02,AK,Alaska,2023,14.9
02,AK,Alaska,2024,15.69
04,AZ,Arizona,1999,0.0
04,AZ,Arizona,2000,0.0
04,AZ,Arizona,2001,0.0
04,AZ,Arizona,2002,0.0
04,AZ,Arizona,2003,0.0
04,AZ,Arizona,2004,0.0
04,AZ,Arizona,2005,0.0
04,AZ,Arizona,2006,0.0
04,AZ,Arizona,2007,0.0
04,AZ,Arizona,2008,0.0
04,AZ,Arizona,2009,0.0
04,AZ,Arizona,2010,0.0
04,AZ,Arizona,2011,0.0
04,AZ,Arizona,2012,0.0
04,AZ,Arizona,2013,0.0
04,AZ,Arizona,2014,0.0
04,AZ,Arizona,2015,0.0
04,AZ,Arizona,2016,0.0
04,AZ,Arizona,2017,0.0
04,AZ,Arizona,2018,0.0
04,AZ,Arizona,2019,14.4
04,AZ,Arizona,2020,13.5
04,AZ,Arizona,2021,15.4
04,AZ,Arizona,2022,16.8
04,AZ,Arizona,2023,14.7
04,AZ,Arizona,2024,14.2
05,AR,Arkansas,1999,0.0
05,AR,Arkansas,2000,0.0
05,AR,Arkansas,2001,0.0
05,AR,Arkansas,2002,0.0
05,AR,Arkansas,2003,0.0
05,AR,Arkansas,2004,0.0
05,AR,Arkansas,2005,0.0
05,AR,Arkansas,2006,0.0
05,AR,Arkansas,2007,0.0
05,AR,Arkansas,2008,0.0
05,AR,Arkansas,2009,0.0
05,AR,Arkansas,2010,0.0
05,AR,Arkansas,2011,0.0
05,AR,Arkansas,2012,0.0
05,AR,Arkansas,2013,0.0
05,AR,Arkansas,2014,0.0
05,AR,Arkansas,2015,0.0
05,AR,Arkansas,2016,0.0
05,AR,Arkansas,2017,0.0
05,AR,Arkansas,2018,0.0
05,AR,Arkansas,2019,17.8
05,AR,Arkansas,2020,17.8
05,AR,Arkansas,2021,18.4
05,AR,Arkansas,2022,20.4
05,AR,Arkansas,2023,18.9
05,AR,Arkansas,2024,19.91
06,CA,California,1999,0.0
06,CA,California,2000,0.0
06,CA,California,2001,0.0
06,CA,California,2002,0.0
06,CA,California,2003,0.0
06,CA,California,2004,0.0
06,CA,California,2005,0.0
06,CA,California,2006,0.0
06,CA,California,2007,0.0
06,CA,California,2008,0.0
06,CA,California,2009,0.0
06,CA,California,2010,0.0
06,CA,California,2011,0.0
06,CA,California,2012,0.0
06,CA,California,2013,0.0
06,CA,California,2014,0.0
06,CA,California,2015,0.0
06,CA,California,2016,0.0
06,CA,California,2017,0.0
06,CA,California,2018,0.0
06,CA,California,2019,11.9
06,CA,California,2020,12.7
06,CA,California,2021,14.4
06,CA,California,2022,14.3
06,CA,California,2023,14.7
06,CA,California,2024,14.85
08,CO,Colorado,1999,0.0
08,CO,Colorado,2000,0.0
08,CO,Colorado,2001,0.0
08,CO,Colorado,2002,0.0
08,CO,Colorado,2003,0.0
08,CO,Colorado,2004,0.0
08,CO,Colorado,2005,0.0
08,CO,Colorado,2006,0.0
08,CO,Colorado,2007,0.0
08,CO,Colorado,2008,0.0
08,CO,Colorado,2009,0.0
08,CO,Colorado,2010,0.0
08,CO,Colorado,2011,0.0
08,CO,Colorado,2012,0.0
08,CO,Colorado,2013,0.0
08,CO,Colorado,2014,0.0
08,CO,Colorado,2015,0.0
