year,unemployment_rate,state_abbr,pcpi_nominal,pcpi_real_2024
1950,,AK,2899.0,37793.70327965368
1951,,AK,3401.0,41076.26276309035
1952,,AK,3255.0,38434.91339397742
1953,,AK,3169.0,37137.51908972044
1954,,AK,2927.0,34178.09543395993
1955,,AK,2886.0,33786.33154408335
1956,,AK,3022.0,34864.53864966748
1957,,AK,2897.0,32325.71456604221
1958,,AK,3001.0,32596.29621144358
1959,,AK,3126.0,33640.49636363636
1960,,AK,3521.0,37334.164097797315
1961,,AK,3347.0,35113.35256117273
1962,,AK,3378.0,35026.633109299255
1963,,AK,3518.0,36025.793808487484
1964,,AK,3835.0,38759.570504215226
1965,,AK,4016.0,39958.08544695248
1966,,AK,4276.0,41310.099648402414
1967,,AK,4545.0,42719.34584269663
1968,,AK,4790.0,43188.91166467066
1969,,AK,5322.0,45511.17609268515
1970,,AK,5911.0,47739.194074233
1971,,AK,6269.0,48577.368633182385
1972,,AK,6636.0,49791.53360175404
1973,,AK,7525.0,53136.26796098292
1974,,AK,8827.0,56147.625221358576
1975,,AK,11205.0,65304.00292614957
1976,7.591666666666666,AK,12447.0,68581.98619145199
1977,9.825000000000001,AK,12789.0,66184.53428924938
1978,10.608333333333333,AK,13018.0,62593.78311917232
1979,9.049999999999999,AK,13744.0,59400.24251664754
1980,9.541666666666666,AK,15507.0,59047.34942949626
1981,9.216666666666667,AK,17086.0,58942.59760630498
1982,10.016666666666667,AK,19417.0,63098.17647272099
1983,10.125,AK,19479.0,61360.93645355649
1984,9.9,AK,19690.0,59429.60457023734
1985,9.8,AK,20586.0,60016.639953531594
1986,11.025,AK,20322.0,58117.21470485452
1987,10.15,AK,19642.0,54232.00284289277
1988,8.783333333333333,AK,20406.0,54122.38248995985
1989,7.133333333333333,AK,22117.0,55978.44969138708
1990,7.25,AK,23207.0,55717.78828114038
1991,8.308333333333334,AK,23518.0,54180.319341493276
1992,8.85,AK,24227.0,54166.1731935618
1993,7.816666666666666,AK,25020.0,54325.85658418413
1994,7.55,AK,25691.0,54371.52706920785
1995,7.316666666666666,AK,26369.0,54283.54122388713
1996,7.458333333333333,AK,26910.0,53816.826212612235
1997,6.983333333333333,AK,28219.0,55145.60700929243
1998,6.316666666666666,AK,29287.0,56360.788551710044
1999,6.3500000000000005,AK,29941.0,56382.81225512757
2000,6.291666666666667,AK,31996.0,58290.19914242849
2001,6.283333333333334,AK,33591.0,59519.520545069434
2002,7.166666666666667,AK,34766.0,60633.97217753892
2003,7.675,AK,36045.0,61452.44792119566
2004,7.416666666666667,AK,37054.0,61531.28166747541
2005,6.925,AK,39013.0,62674.83736514169
2006,6.616666666666667,AK,41013.0,63831.16339934676
2007,6.25,AK,43747.0,66186.35053875802
2008,6.508333333333333,AK,47800.0,69660.74940061192
2009,7.833333333333333,AK,47211.0,69023.49942596948
2010,7.991666666666667,AK,49543.0,71266.60610704057
2011,7.608333333333333,AK,52415.0,73102.74807749024
2012,7.133333333333333,AK,53340.0,72881.85750225134
2013,6.925000000000001,AK,52252.0,70363.7410093149
2014,6.741666666666667,AK,55098.0,73016.67231480895
2015,6.283333333333334,AK,56714.0,75067.28462694192
2016,6.625,AK,55536.0,72588.11749318158
2017,6.608333333333333,AK,56500.0,72306.92766701615
2018,6.091666666666666,AK,58997.0,73704.84902930247
2019,5.6000000000000005,AK,60504.0,74241.35374862565
2020,8.283333333333333,AK,61853.0,74957.47227107505
2021,6.408333333333334,AK,65608.0,75952.503281841
2022,4.366666666666666,AK,68905.0,73866.78352689165
2023,4.25,AK,71309.0,73414.11987027805
2024,4.541666666666667,AK,75247.0,75247.0
2025,4.636363636363637,AK,,
2026,4.8,AK,,
1929,,AL,319.0,
1930,,AL,263.0,
1931,,AL,220.0,
1932,,AL,159.0,
1933,,AL,164.0,
1934,,AL,207.0,
1935,,AL,216.0,
1936,,AL,249.0,
1937,,AL,266.0,
1938,,AL,242.0,
1939,,AL,251.0,
1940,,AL,281.0,
1941,,AL,379.0,
1942,,AL,532.0,
1943,,AL,676.0,
1944,,AL,753.0,
1945,,AL,799.0,
1946,,AL,763.0,
1947,,AL,809.0,11364.213008433466
1948,,AL,881.0,11493.786019269424
1949,,AL,838.0,11041.086290294355
1950,,AL,919.0,11980.825565367966
1951,,AL,1071.0,12935.21829440452
1952,,AL,1137.0,13425.65177540778
1953,,AL,1193.0,13980.770045451716
1954,,AL,1167.0,13626.866201377257
1955,,AL,1305.0,15277.603141035608
1956,,AL,1390.0,16036.30334978087
1957,,AL,1460.0,16291.178207256344
1958,,AL,1496.0,16249.269954121824
1959,,AL,1553.0,16712.63303030303
1960,,AL,1585.0,16806.2056503859
1961,,AL,1616.0,16953.44420043476
1962,,AL,1695.0,17575.5308230498
1963,,AL,1782.0,18248.426539717086
1964,,AL,1914.0,19344.411458948616
1965,,AL,2048.0,20377.031622350267
1966,,AL,2184.0,21099.452205825743
1967,,AL,2311.0,21721.541967540576
1968,,AL,2536.0,22865.77870179641
1969,,AL,2831.0,24209.346019990917
1970,,AL,3081.0,24883.176610169492
1971,,AL,3345.0,25919.811465623716
1972,,AL,3672.0,27551.915519234604
1973,,AL,4088.0,28866.586501594444
1974,,AL,4477.0,28477.72947955391
1975,,AL,4918.0,28662.65831243227
1976,6.691666666666666,AL,5438.0,29962.95018149883
1977,7.125,AL,5920.0,30636.675501787187
1978,6.45,AL,6609.0,31777.716441435696
1979,7.233333333333333,AL,7275.0,31441.848392652126
1980,8.683333333333334,AL,7959.0,30306.17489581226
1981,10.758333333333333,AL,8793.0,30333.73877749267
1982,13.799999999999999,AL,9269.0,30120.87334426795
1983,13.866666666666667,AL,9908.0,31211.261275313813
1984,11.383333333333333,AL,10840.0,32717.974278383583
1985,9.575000000000001,AL,11601.0,33821.67687267657
1986,9.533333333333333,AL,12220.0,34946.97193648865
1987,8.200000000000001,AL,12830.0,35423.91795511222
1988,7.266666666666667,AL,13800.0,36601.43479179878
1989,6.983333333333333,AL,14975.0,37901.94348820009
1990,6.825,AL,15860.0,38078.343695388736
1991,7.266666666666667,AL,16585.0,38208.20632190943
1992,7.533333333333334,AL,17574.0,39291.54776504128
1993,7.25,AL,18116.0,39335.220538732196
1994,6.166666666666667,AL,18963.0,40132.62495867769
1995,5.8500000000000005,AL,19874.0,40912.85594006344
1996,5.191666666666666,AL,20599.0,41195.57053710886
1997,4.95,AL,21487.0,41989.92373254426
1998,4.458333333333333,AL,22651.0,43590.26945350443
1999,4.733333333333333,AL,23296.0,43869.40964882441
