county_fips,state_fips,lat,lon,nearest_other_state_fips,distance_to_nearest_other_state_km,nearest_other_state_county_fips
01001,01,32.500194,-86.487813,13,146.19670648795713,13215
01003,01,30.537396,-87.761478,12,46.75672232170835,12033
01005,01,31.843981,-85.301306,13,21.15173650204182,13239
01007,01,33.032236,-87.136826,28,128.46733087413006,28087
01009,01,33.954604,-86.592667,47,127.95468688765779,47103
01011,01,32.115838,-85.702354,13,65.40675320034975,13239
01013,01,31.776019,-86.6524,12,133.9537773813277,12059
01015,01,33.727215,-85.817974,13,58.66977593706786,13143
01017,01,32.85644,-85.25964,13,29.468834848704137,13285
01019,01,34.180501,-85.629887,13,41.912556101485535,13115
01021,01,32.879146,-86.688861,13,154.0179004525921,13149
01023,01,32.016121,-88.262482,28,44.58999167580379,28023
01025,01,31.683493,-87.815868,28,80.21141827490837,28153
01027,01,33.274342,-85.817245,13,65.21619274906362,13149
01029,01,33.625217,-85.495748,13,32.48102708934915,13143
01031,01,31.353217,-85.899556,12,57.95062838210353,12059
01033,01,34.724339,-87.681892,28,49.93929839039934,28141
01035,01,31.41643,-86.997537,12,96.7197608067116,12113
01037,01,32.976884,-86.156212,13,103.54426079334112,13149
01039,01,31.284146,-86.409203,12,79.05039155046379,12059
01041,01,31.747324,-86.296787,12,112.58145600024855,12059
01043,01,34.162652,-86.83269,47,107.4911947650474,47103
01045,01,31.383858,-85.63771,12,60.72120290112442,12059
01047,01,32.411818,-87.035342,28,155.6091350839396,28075
01049,01,34.452725,-85.817465,13,43.6631533700925,13055
01051,01,32.558527,-86.225332,13,121.74164667937204,13215
01053,01,31.085439,-87.280078,12,64.2333359217905,12113
01055,01,34.012182,-86.025892,13,78.46311391562548,13233
01057,01,33.726912,-87.76749,28,62.000960843332244,28087
01059,01,34.463509,-87.793592,28,49.64986346604706,28141
01061,01,31.094511,-85.781426,12,27.63589292501735,12059
01063,01,32.833838,-87.924522,28,67.12263656773834,28103
01065,01,32.783251,-87.627964,28,94.372843719708,28103
01067,01,31.469275,-85.271132,13,30.50102868935289,13061
01069,01,31.204793,-85.39632,13,47.55874950929073,13099
01071,01,34.727289,-85.943552,13,44.13952235339941,13083
01073,01,33.517206,-86.811606,28,146.2687132825588,28087
01075,01,33.761275,-88.108771,28,37.32605075145493,28087
