county_fips,state_fips,year,county_sworn_officers_per_100k,county_sworn_officers,population,has_county_sworn_officers
01001,01,2009,193.9595455804932,105.0,54135,1
01001,01,2010,197.17744144012562,108.0,54773,1
01001,01,2011,182.88156155503648,101.0,55227,1
01001,01,2012,181.9703752229137,100.0,54954,1
01001,01,2013,190.03416960549637,104.0,54727,1
01001,01,2014,187.6377680214235,103.0,54893,1
01001,01,2015,191.38232720909886,105.0,54864,1
01001,01,2016,217.2220914867042,120.0,55243,1
01001,01,2017,196.7864235421556,109.0,55390,1
01001,01,2018,207.0840761349108,115.0,55533,1
01001,01,2019,202.2588555370599,113.0,55869,1
01001,01,2020,188.42621670712455,111.0,58909,1
01001,01,2021,219.62798398405164,130.0,59191,1
01001,01,2022,190.83969465648855,114.0,59736,1
01001,01,2023,201.8664372228473,122.0,60436,1
01001,01,2024,206.62501626968634,127.0,61464,1
01003,01,2009,214.59705918419675,385.0,179406,1
01003,01,2010,201.51601205819387,369.0,183112,1
01003,01,2011,216.01861083416418,403.0,186558,1
01003,01,2012,189.32919613978805,360.0,190145,1
01003,01,2013,198.57864894681478,387.0,194885,1
01003,01,2014,212.86957220244702,424.0,199183,1
01003,01,2015,209.9152947437407,426.0,202939,1
01003,01,2016,214.8351886551606,446.0,207601,1
01003,01,2017,205.62673806353254,437.0,212521,1
01003,01,2018,221.24807784994607,482.0,217855,1
01003,01,2019,234.73126853436307,524.0,223234,1
01003,01,2020,223.37123355799076,521.0,233244,1
01003,01,2021,224.71816249044528,538.0,239411,1
01003,01,2022,223.86516179530125,552.0,246577,1
01003,01,2023,219.59253385384898,558.0,254107,1
01003,01,2024,222.4702608482921,582.0,261608,1
01005,01,2009,213.3275481794844,59.0,27657,1
01005,01,2010,215.90368500018297,59.0,27327,1
01005,01,2011,230.4231739877839,63.0,27341,1
01005,01,2012,228.2012587875888,62.0,27169,1
01005,01,2013,222.74195344693175,60.0,26937,1
01005,01,2014,220.5195290599888,59.0,26755,1
01005,01,2015,216.87022029448696,57.0,26283,1
01005,01,2016,209.25366193908394,54.0,25806,1
01005,01,2017,250.4273164526772,63.0,25157,1
01005,01,2018,225.1527822450949,56.0,24872,1
01005,01,2019,315.96856517864376,78.0,24686,1
01005,01,2020,232.23223223223223,58.0,24975,1
