year,source_file,rows_no_county_fips,note
2024,offenses_known_yearly_1960_2024.csv,3088,"agencies with missing county FIPS (federal, tribal, college, transit, etc.)"
2023,offenses_known_yearly_1960_2024.csv,2752,"agencies with missing county FIPS (federal, tribal, college, transit, etc.)"
2022,offenses_known_yearly_1960_2024.csv,2752,"agencies with missing county FIPS (federal, tribal, college, transit, etc.)"
2021,offenses_known_yearly_1960_2024.csv,2752,"agencies with missing county FIPS (federal, tribal, college, transit, etc.)"
2020,offenses_known_yearly_1960_2024.csv,2752,"agencies with missing county FIPS (federal, tribal, college, transit, etc.)"
2019,offenses_known_yearly_1960_2024.csv,1930,"agencies with missing county FIPS (federal, tribal, college, transit, etc.)"
2018,offenses_known_yearly_1960_2024.csv,1894,"agencies with missing county FIPS (federal, tribal, college, transit, etc.)"
2017,offenses_known_yearly_1960_2024.csv,2418,"agencies with missing county FIPS (federal, tribal, college, transit, etc.)"
2016,offenses_known_yearly_1960_2024.csv,422,"agencies with missing county FIPS (federal, tribal, college, transit, etc.)"
2015,offenses_known_yearly_1960_2024.csv,331,"agencies with missing county FIPS (federal, tribal, college, transit, etc.)"
2014,offenses_known_yearly_1960_2024.csv,218,"agencies with missing county FIPS (federal, tribal, college, transit, etc.)"
2013,offenses_known_yearly_1960_2024.csv,115,"agencies with missing county FIPS (federal, tribal, college, transit, etc.)"
2012,offenses_known_yearly_1960_2024.csv,16,"agencies with missing county FIPS (federal, tribal, college, transit, etc.)"
2011,offenses_known_yearly_1960_2024.csv,10,"agencies with missing county FIPS (federal, tribal, college, transit, etc.)"
2010,offenses_known_yearly_1960_2024.csv,9,"agencies with missing county FIPS (federal, tribal, college, transit, etc.)"
2009,offenses_known_yearly_1960_2024.csv,9,"agencies with missing county FIPS (federal, tribal, college, transit, etc.)"
