year,complete_states,panel_name,required_var_count,expected_states,chosen_start_year,chosen_end_year,is_in_balanced_span
1979,50,panel_core,83,50,1979,2024,True
1980,50,panel_core,83,50,1979,2024,True
1981,50,panel_core,83,50,1979,2024,True
1982,50,panel_core,83,50,1979,2024,True
1983,50,panel_core,83,50,1979,2024,True
1984,50,panel_core,83,50,1979,2024,True
1985,50,panel_core,83,50,1979,2024,True
1986,50,panel_core,83,50,1979,2024,True
1987,50,panel_core,83,50,1979,2024,True
1988,50,panel_core,83,50,1979,2024,True
1989,50,panel_core,83,50,1979,2024,True
1990,50,panel_core,83,50,1979,2024,True
1991,50,panel_core,83,50,1979,2024,True
1992,50,panel_core,83,50,1979,2024,True
1993,50,panel_core,83,50,1979,2024,True
1994,50,panel_core,83,50,1979,2024,True
1995,50,panel_core,83,50,1979,2024,True
1996,50,panel_core,83,50,1979,2024,True
1997,50,panel_core,83,50,1979,2024,True
1998,50,panel_core,83,50,1979,2024,True
1999,50,panel_core,83,50,1979,2024,True
2000,50,panel_core,83,50,1979,2024,True
2001,50,panel_core,83,50,1979,2024,True
2002,50,panel_core,83,50,1979,2024,True
2003,50,panel_core,83,50,1979,2024,True
2004,50,panel_core,83,50,1979,2024,True
2005,50,panel_core,83,50,1979,2024,True
2006,50,panel_core,83,50,1979,2024,True
2007,50,panel_core,83,50,1979,2024,True
2008,50,panel_core,83,50,1979,2024,True
2009,50,panel_core,83,50,1979,2024,True
2010,50,panel_core,83,50,1979,2024,True
2011,50,panel_core,83,50,1979,2024,True
2012,50,panel_core,83,50,1979,2024,True
2013,50,panel_core,83,50,1979,2024,True
2014,50,panel_core,83,50,1979,2024,True
2015,50,panel_core,83,50,1979,2024,True
2016,50,panel_core,83,50,1979,2024,True
2017,50,panel_core,83,50,1979,2024,True
2018,50,panel_core,83,50,1979,2024,True
2019,50,panel_core,83,50,1979,2024,True
2020,50,panel_core,83,50,1979,2024,True
2021,50,panel_core,83,50,1979,2024,True
2022,50,panel_core,83,50,1979,2024,True
2023,50,panel_core,83,50,1979,2024,True
2024,50,panel_core,83,50,1979,2024,True
1979,0,panel_demographic,93,50,1990,2024,False
1980,0,panel_demographic,93,50,1990,2024,False
1981,0,panel_demographic,93,50,1990,2024,False
1982,0,panel_demographic,93,50,1990,2024,False
1983,0,panel_demographic,93,50,1990,2024,False
1984,0,panel_demographic,93,50,1990,2024,False
1985,0,panel_demographic,93,50,1990,2024,False
1986,0,panel_demographic,93,50,1990,2024,False
1987,0,panel_demographic,93,50,1990,2024,False
1988,0,panel_demographic,93,50,1990,2024,False
1989,0,panel_demographic,93,50,1990,2024,False
1990,50,panel_demographic,93,50,1990,2024,True
1991,50,panel_demographic,93,50,1990,2024,True
1992,50,panel_demographic,93,50,1990,2024,True
1993,50,panel_demographic,93,50,1990,2024,True
1994,50,panel_demographic,93,50,1990,2024,True
1995,50,panel_demographic,93,50,1990,2024,True
1996,50,panel_demographic,93,50,1990,2024,True
1997,50,panel_demographic,93,50,1990,2024,True
1998,50,panel_demographic,93,50,1990,2024,True
1999,50,panel_demographic,93,50,1990,2024,True
2000,50,panel_demographic,93,50,1990,2024,True
2001,50,panel_demographic,93,50,1990,2024,True
2002,50,panel_demographic,93,50,1990,2024,True
2003,50,panel_demographic,93,50,1990,2024,True
2004,50,panel_demographic,93,50,1990,2024,True
2005,50,panel_demographic,93,50,1990,2024,True
2006,50,panel_demographic,93,50,1990,2024,True
2007,50,panel_demographic,93,50,1990,2024,True
2008,50,panel_demographic,93,50,1990,2024,True
2009,50,panel_demographic,93,50,1990,2024,True
2010,50,panel_demographic,93,50,1990,2024,True
2011,50,panel_demographic,93,50,1990,2024,True
2012,50,panel_demographic,93,50,1990,2024,True
2013,50,panel_demographic,93,50,1990,2024,True
2014,50,panel_demographic,93,50,1990,2024,True
2015,50,panel_demographic,93,50,1990,2024,True
2016,50,panel_demographic,93,50,1990,2024,True
2017,50,panel_demographic,93,50,1990,2024,True
2018,50,panel_demographic,93,50,1990,2024,True
2019,50,panel_demographic,93,50,1990,2024,True
2020,50,panel_demographic,93,50,1990,2024,True
2021,50,panel_demographic,93,50,1990,2024,True
2022,50,panel_demographic,93,50,1990,2024,True
2023,50,panel_demographic,93,50,1990,2024,True
2024,50,panel_demographic,93,50,1990,2024,True
1979,0,panel_market,91,50,1999,2024,False
1980,0,panel_market,91,50,1999,2024,False
1981,0,panel_market,91,50,1999,2024,False
1982,0,panel_market,91,50,1999,2024,False
1983,0,panel_market,91,50,1999,2024,False
1984,0,panel_market,91,50,1999,2024,False
1985,0,panel_market,91,50,1999,2024,False
1986,0,panel_market,91,50,1999,2024,False
1987,0,panel_market,91,50,1999,2024,False
1988,0,panel_market,91,50,1999,2024,False
1989,0,panel_market,91,50,1999,2024,False
1990,0,panel_market,91,50,1999,2024,False
1991,0,panel_market,91,50,1999,2024,False
1992,0,panel_market,91,50,1999,2024,False
1993,0,panel_market,91,50,1999,2024,False
1994,0,panel_market,91,50,1999,2024,False
1995,0,panel_market,91,50,1999,2024,False
1996,0,panel_market,91,50,1999,2024,False
1997,0,panel_market,91,50,1999,2024,False
1998,0,panel_market,91,50,1999,2024,False
1999,50,panel_market,91,50,1999,2024,True
2000,50,panel_market,91,50,1999,2024,True
2001,50,panel_market,91,50,1999,2024,True
2002,50,panel_market,91,50,1999,2024,True
2003,50,panel_market,91,50,1999,2024,True
2004,50,panel_market,91,50,1999,2024,True
2005,50,panel_market,91,50,1999,2024,True
2006,50,panel_market,91,50,1999,2024,True
2007,50,panel_market,91,50,1999,2024,True
2008,50,panel_market,91,50,1999,2024,True
2009,50,panel_market,91,50,1999,2024,True
2010,50,panel_market,91,50,1999,2024,True
2011,50,panel_market,91,50,1999,2024,True
2012,50,panel_market,91,50,1999,2024,True
2013,50,panel_market,91,50,1999,2024,True
2014,50,panel_market,91,50,1999,2024,True
2015,50,panel_market,91,50,1999,2024,True
2016,50,panel_market,91,50,1999,2024,True
2017,50,panel_market,91,50,1999,2024,True
2018,50,panel_market,91,50,1999,2024,True
2019,50,panel_market,91,50,1999,2024,True
2020,50,panel_market,91,50,1999,2024,True
