state,state_abbr,nics_latest_month,nics_latest_month_total,nics_2025_total,nics_2026_ytd_total,latest_unemployment_month,latest_unemployment_rate
Alabama,AL,2026-03,44148,535889,126732,2026-01,2.7
Alaska,AK,2026-03,6336,76590,16219,2026-01,4.8
Arizona,AZ,2026-03,44498,485112,126400,2026-01,
Arkansas,AR,2026-03,21682,231203,59824,2026-01,4.4
California,CA,2026-03,136781,1455424,361491,2026-01,5.4
Colorado,CO,2026-03,40708,468031,107753,2026-01,3.9
Connecticut,CT,2026-03,22055,192358,57883,2026-01,4.5
Delaware,DE,2026-03,3995,51705,10685,2026-01,
Florida,FL,2026-03,108196,1258156,313446,2026-01,
Georgia,GA,2026-03,58921,580394,167444,2026-01,
Hawaii,HI,2026-03,1786,15844,4532,2026-01,
Idaho,ID,2026-03,26584,228863,67747,2026-01,
Illinois,IL,2026-03,240594,2546739,658241,2026-01,
Indiana,IN,2026-03,64792,719422,179081,2026-01,
Iowa,IA,2026-03,22314,185566,63634,2026-01,
Kansas,KS,2026-03,17703,179606,49940,2026-01,
Kentucky,KY,2026-03,31106,2522704,354186,2026-01,
Louisiana,LA,2026-03,23505,266525,66377,2026-01,
Maine,ME,2026-03,8873,97173,24224,2026-01,
Maryland,MD,2026-03,34445,377381,92521,2026-01,
Massachusetts,MA,2026-03,28698,261773,71960,2026-01,
Michigan,MI,2026-03,67758,763177,178770,2026-01,
Minnesota,MN,2026-03,87398,820140,221287,2026-01,
Mississippi,MS,2026-03,22719,241223,64152,2026-01,
Missouri,MO,2026-03,47060,475729,130360,2026-01,
Montana,MT,2026-03,12092,133144,31661,2026-01,
Nebraska,NE,2026-03,8178,74452,22117,2026-01,
Nevada,NV,2026-03,14914,143098,40961,2026-01,
New Hampshire,NH,2026-03,12426,133973,34023,2026-01,
New Jersey,NJ,2026-03,13258,140492,34331,2026-01,
New Mexico,NM,2026-03,11978,126146,36070,2026-01,
New York,NY,2026-03,32167,362451,84665,2026-01,
North Carolina,NC,2026-03,70087,681093,194161,2026-01,
North Dakota,ND,2026-03,6647,90491,24149,2026-01,
Ohio,OH,2026-03,63605,621569,172222,2026-01,
Oklahoma,OK,2026-03,32430,346651,92872,2026-01,
Oregon,OR,2026-03,38914,417592,109542,2026-01,
Pennsylvania,PA,2026-03,113864,1083778,299762,2026-01,
Rhode Island,RI,2026-03,4013,31153,10203,2026-01,
South Carolina,SC,2026-03,35717,350316,96938,2026-01,
South Dakota,SD,2026-03,6759,69679,19086,2026-01,
Tennessee,TN,2026-03,66628,750392,192334,2026-01,
Texas,TX,2026-03,160827,1739790,449611,2026-01,
Utah,UT,2026-03,75176,886098,212299,2026-01,
Vermont,VT,2026-03,3544,35179,9474,2026-01,
Virginia,VA,2026-03,79846,521283,199780,2026-01,
Washington,WA,2026-03,41290,426468,119246,2026-01,
West Virginia,WV,2026-03,17515,177103,47579,2026-01,
Wisconsin,WI,2026-03,58808,608028,159779,2026-01,
Wyoming,WY,2026-03,6155,65538,16809,2026-01,
