year,mean_violent_rate,mean_property_rate,mean_lawtotal,states_with_magazine_ban,states_with_gvro
1979,421.29356819570813,4659.836017195924,6.32,0,0
1980,451.6073852138918,5013.935831013743,6.34,0,0
1981,452.7301854400008,4956.396156142687,6.48,0,0
1982,436.5599859623027,4700.449107171502,6.52,0,0
1983,410.48271825481834,4347.061532615698,6.54,0,0
1984,413.6499566862323,4194.405345312075,6.54,0,0
1985,428.4739554330227,4342.402601477964,6.58,0,0
1986,460.5611924368519,4520.582900808427,6.62,0,0
1987,447.44317455871015,4588.6482237129285,6.74,0,0
1988,469.12382454226616,4589.048005791058,6.82,0,0
1989,486.3008689750621,4623.805041942932,6.94,0,0
1990,532.4715274777863,4649.244219595819,7.34,1,0
1991,558.1832209020617,4707.238353685968,7.8,1,0
1992,562.4814424727105,4524.7416243471225,8.02,1,0
1993,568.1695190568053,4403.553777411322,8.38,1,0
1994,552.8140661608979,4408.660406553467,9.42,2,0
1995,539.2187672672488,4450.864070292071,9.7,2,0
1996,505.8179305578859,4313.978897768232,10.04,2,0
1997,495.2450823464103,4239.8033954346165,10.16,2,0
1998,468.6689123080155,3989.1448128801344,10.42,3,0
1999,434.9959451557463,3672.541559657098,10.68,3,0
2000,420.9581016693534,3557.1295948954207,11.26,5,0
2001,420.6536875797325,3588.239909623993,11.4,5,0
2002,413.9049149334218,3567.232436290678,11.44,5,0
2003,404.3581382969273,3515.328101626997,11.52,5,0
2004,397.66808758739376,3434.7499866336525,11.54,5,0
2005,401.63875761321833,3358.1136511395543,11.58,5,0
2006,421.58860950972013,3266.3814335008547,11.46,5,0
2007,417.2718198299029,3177.9862179914753,11.34,5,0
2008,406.0631486666655,3092.4493641661884,11.34,5,0
2009,386.77712341053484,2944.2242118960594,11.44,5,0
2010,366.4410586877587,2860.876197347317,11.64,5,0
2011,354.2309020101804,2847.189501325248,11.5,5,0
2012,355.3340931423804,2828.347699247409,11.44,5,0
2013,352.08543667457707,2713.7839054513856,12.14,7,0
2014,346.9446123238456,2560.3036388376822,12.44,7,0
2015,364.2315608831699,2481.186263866465,12.64,7,0
2016,377.9405295584853,2458.2564716620354,12.66,7,2
2017,377.91572286063143,2377.7126208081872,12.94,7,2
2018,369.5417173593307,2216.89824598092,13.68,8,6
2019,366.96968548889595,2112.970326384766,14.14,8,10
2020,382.13141256522465,1941.333104228108,14.5,8,12
2021,371.23296854614745,1846.5822082179416,14.48,8,12
2022,366.9298192776781,1911.4961001071915,14.82,11,12
2023,355.3465600871683,1853.265729241501,15.56,12,13
2024,337.20765770529806,1674.4929948974636,16.02,12,15
