state_fips,state_abbr,state,year,synthetic_opioid_death_rate
01,AL,Alabama,1999,0.0
01,AL,Alabama,2000,0.0
01,AL,Alabama,2001,0.0
01,AL,Alabama,2002,0.0
01,AL,Alabama,2003,0.0
01,AL,Alabama,2004,0.0
01,AL,Alabama,2005,0.0
01,AL,Alabama,2006,0.0
01,AL,Alabama,2007,0.0
01,AL,Alabama,2008,0.0
01,AL,Alabama,2009,0.0
01,AL,Alabama,2010,0.0
01,AL,Alabama,2011,0.0
01,AL,Alabama,2012,0.0
01,AL,Alabama,2013,0.0
01,AL,Alabama,2014,0.0
01,AL,Alabama,2015,
01,AL,Alabama,2016,
01,AL,Alabama,2017,
01,AL,Alabama,2018,
01,AL,Alabama,2019,
01,AL,Alabama,2020,
01,AL,Alabama,2021,
01,AL,Alabama,2022,19.460817180986385
01,AL,Alabama,2023,21.80603182977227
01,AL,Alabama,2024,13.90649528234737
02,AK,Alaska,1999,0.0
02,AK,Alaska,2000,0.0
02,AK,Alaska,2001,0.0
02,AK,Alaska,2002,0.0
02,AK,Alaska,2003,0.0
02,AK,Alaska,2004,0.0
02,AK,Alaska,2005,0.0
02,AK,Alaska,2006,0.0
02,AK,Alaska,2007,0.0
02,AK,Alaska,2008,0.0
02,AK,Alaska,2009,0.0
02,AK,Alaska,2010,0.0
02,AK,Alaska,2011,0.0
02,AK,Alaska,2012,0.0
02,AK,Alaska,2013,0.0
02,AK,Alaska,2014,0.0
02,AK,Alaska,2015,
02,AK,Alaska,2016,
02,AK,Alaska,2017,4.993366919349027
02,AK,Alaska,2018,2.172071504593931
02,AK,Alaska,2019,3.135210733871044
02,AK,Alaska,2020,8.323031875847652
02,AK,Alaska,2021,20.419553764685062
02,AK,Alaska,2022,21.26328444140943
02,AK,Alaska,2023,36.75199481660754
02,AK,Alaska,2024,34.62147862225523
04,AZ,Arizona,1999,0.0
04,AZ,Arizona,2000,0.0
04,AZ,Arizona,2001,0.0
04,AZ,Arizona,2002,0.0
04,AZ,Arizona,2003,0.0
04,AZ,Arizona,2004,0.0
04,AZ,Arizona,2005,0.0
04,AZ,Arizona,2006,0.0
04,AZ,Arizona,2007,0.0
04,AZ,Arizona,2008,0.0
04,AZ,Arizona,2009,0.0
04,AZ,Arizona,2010,0.0
04,AZ,Arizona,2011,0.0
04,AZ,Arizona,2012,0.0
04,AZ,Arizona,2013,0.0
04,AZ,Arizona,2014,0.0
04,AZ,Arizona,2015,
04,AZ,Arizona,2016,
04,AZ,Arizona,2017,3.8024496856452417
04,AZ,Arizona,2018,7.397866176230014
04,AZ,Arizona,2019,11.300298155075472
04,AZ,Arizona,2020,21.17816556177032
04,AZ,Arizona,2021,24.635614244774075
04,AZ,Arizona,2022,24.097480822760723
04,AZ,Arizona,2023,24.63743981037223
04,AZ,Arizona,2024,20.181503843617033
05,AR,Arkansas,1999,0.0
05,AR,Arkansas,2000,0.0
05,AR,Arkansas,2001,0.0
05,AR,Arkansas,2002,0.0
05,AR,Arkansas,2003,0.0
05,AR,Arkansas,2004,0.0
05,AR,Arkansas,2005,0.0
05,AR,Arkansas,2006,0.0
05,AR,Arkansas,2007,0.0
05,AR,Arkansas,2008,0.0
05,AR,Arkansas,2009,0.0
05,AR,Arkansas,2010,0.0
05,AR,Arkansas,2011,0.0
05,AR,Arkansas,2012,0.0
05,AR,Arkansas,2013,0.0
05,AR,Arkansas,2014,0.0
05,AR,Arkansas,2015,
05,AR,Arkansas,2016,
05,AR,Arkansas,2017,
05,AR,Arkansas,2018,
05,AR,Arkansas,2019,
05,AR,Arkansas,2020,
05,AR,Arkansas,2021,
05,AR,Arkansas,2022,9.581847518022569
05,AR,Arkansas,2023,8.762625999395413
05,AR,Arkansas,2024,4.069662282628356
06,CA,California,1999,0.0
06,CA,California,2000,0.0
06,CA,California,2001,0.0
06,CA,California,2002,0.0
06,CA,California,2003,0.0
06,CA,California,2004,0.0
06,CA,California,2005,0.0
06,CA,California,2006,0.0
06,CA,California,2007,0.0
06,CA,California,2008,0.0
06,CA,California,2009,0.0
06,CA,California,2010,0.0
06,CA,California,2011,0.0
06,CA,California,2012,0.0
06,CA,California,2013,0.0
06,CA,California,2014,0.0
06,CA,California,2015,
06,CA,California,2016,
06,CA,California,2017,
06,CA,California,2018,
06,CA,California,2019,4.465280730754222
06,CA,California,2020,10.936604427951078
06,CA,California,2021,16.97446528071835
06,CA,California,2022,18.537854756917557
06,CA,California,2023,20.72908230270039
06,CA,California,2024,13.585750549463334
08,CO,Colorado,1999,0.0
08,CO,Colorado,2000,0.0
08,CO,Colorado,2001,0.0
08,CO,Colorado,2002,0.0
08,CO,Colorado,2003,0.0
08,CO,Colorado,2004,0.0
08,CO,Colorado,2005,0.0
08,CO,Colorado,2006,0.0
08,CO,Colorado,2007,0.0
08,CO,Colorado,2008,0.0
08,CO,Colorado,2009,0.0
08,CO,Colorado,2010,0.0
08,CO,Colorado,2011,0.0
08,CO,Colorado,2012,0.0
