year,paper_killed_target,paper_wounded_target,paper_victims_target,raw_killed_total,raw_wounded_total,raw_victims_total,calibrated_killed_total,calibrated_wounded_total,calibrated_victims_total
1990,1,0,1,1,0,1,1,0,1
1991,8,2,10,8,2,10,8,2,10
1992,6,22,28,6,22,28,6,22,28
1993,10,10,20,9,10,19,10,10,20
1994,11,3,14,11,4,15,11,3,14
1995,9,6,15,9,4,13,9,6,15
1996,13,5,18,13,6,19,13,5,18
1997,11,14,25,10,16,26,11,14,25
1998,13,36,49,11,36,47,13,36,49
1999,18,34,52,18,34,52,18,34,52
2000,10,0,10,9,0,9,10,0,10
2001,8,19,27,8,19,27,8,19,27
2002,7,5,12,7,5,12,7,5,12
2003,6,5,11,5,5,10,6,5,11
2004,2,0,2,2,0,2,2,0,2
2005,12,2,14,12,2,14,12,2,14
2006,29,15,44,29,18,47,29,15,44
2007,47,45,92,51,49,100,47,45,92
2008,16,22,38,16,22,38,16,22,38
2009,12,13,25,12,19,31,12,13,25
2010,16,11,27,16,12,28,16,11,27
2011,10,24,34,9,24,33,10,24,34
2012,43,19,62,45,16,61,43,19,62
2013,19,35,54,22,35,57,19,35,54
2014,17,35,52,17,35,52,17,35,52
