state,state_abbr,year,school_shooting_victims_gius_2018,killed_gius_2018,wounded_gius_2018,incident_count_raw,victims_raw,killed_raw,wounded_raw,gius_assault_ban,gius_state_private_sale_bg,gius_restrictive_ccw,gius_federal_bg,population,land_area_sq_mi,population_density,share_bachelors_plus,pcpi_nominal,unemployment_rate,age_5_18_population,share_age_5_18,per_capita_alcohol_ethanol_14plus,firearm_suicides,total_suicides,firearm_suicide_ratio,firearm_suicide_share_proxy_fss
Alaska,AK,1990,0,0,0,0,0,0,0,0,0,1,0,553120.0,570641.0,0.9692959321184422,23.0,23207.0,7.25,127534,0.23057202776974256,3.3273,48,70,0.6857142857142857,0.685714286
Alaska,AK,1991,0,0,0,0,0,0,0,0,0,1,0,569273.0,570641.0,0.9976026959156458,23.17,23518.0,8.308333333333334,132835,0.23334147236914451,3.1126,52,73,0.7123287671232876,0.712328767
Alaska,AK,1992,0,0,0,0,0,0,0,0,0,1,0,587073.0,570641.0,1.0287956876565125,23.34,24227.0,8.85,136453,0.23242935716682595,3.0244,59,90,0.6555555555555556,0.655555556
Alaska,AK,1993,0,0,0,0,0,0,0,0,0,1,0,596993.0,570641.0,1.0461796470986138,23.509999999999998,25020.0,7.816666666666666,140045,0.23458399009703632,2.5505,68,97,0.7010309278350515,0.701030928
Alaska,AK,1994,0,0,0,0,0,0,0,1,0,0,1,600624.0,570641.0,1.0525426669306972,23.68,25691.0,7.55,142472,0.2372066384293668,3.0251,89,121,0.7355371900826446,0.73553719
Alaska,AK,1995,0,0,0,0,0,0,0,1,0,0,1,601345.0,570641.0,1.053806158337729,23.85,26369.0,7.316666666666666,143886,0.239273628283265,2.8616,75,103,0.7281553398058253,0.72815534
Alaska,AK,1996,0,0,0,0,0,0,0,1,0,0,1,604918.0,570641.0,1.0600675380843647,24.02,26910.0,7.458333333333333,146165,0.241627790874135,2.6306,85,120,0.7083333333333334,0.708333333
Alaska,AK,1997,4,2,2,1,4,2,2,1,0,0,1,608846.0,570641.0,1.0669510252505516,24.189999999999998,28219.0,6.983333333333333,150035,0.24642520440308388,2.5568,85,128,0.6640625,0.6640625
Alaska,AK,1998,0,0,0,0,0,0,0,1,0,0,1,615205.0,570641.0,1.078094633929213,24.36,29287.0,6.316666666666666,154657,0.25139099974805146,2.712,83,129,0.6434108527131783,0.643410853
Alaska,AK,1999,0,0,0,0,0,0,0,1,0,0,1,619500.0,570641.0,1.0856212574981468,24.53,29941.0,6.3500000000000005,157899,0.2548813559322034,2.7351,55,96,0.5729166666666666,0.572916667
Alaska,AK,2000,0,0,0,0,0,0,0,1,0,0,1,627963.0,570641.0,1.1004519478971893,24.7,31996.0,6.291666666666667,152229,0.24241714878105874,2.6815,96,137,0.7007299270072993,0.700729927
Alaska,AK,2001,0,0,0,0,0,0,0,1,0,0,1,633714.0,570641.0,1.1105300880939155,25.025,33591.0,6.283333333333334,151826,0.23958126220976655,2.6666,65,102,0.6372549019607843,0.637254902
Alaska,AK,2002,0,0,0,0,0,0,0,1,0,0,1,642337.0,570641.0,1.1256411649355724,25.35,34766.0,7.166666666666667,151101,0.23523633233022542,2.9874,92,132,0.696969696969697,0.696969697
Alaska,AK,2003,0,0,0,0,0,0,0,1,0,0,1,648414.0,570641.0,1.1362905925091258,25.675,36045.0,7.675,149938,0.23123806703741745,2.4261,79,124,0.6370967741935484,0.637096774
Alaska,AK,2004,0,0,0,0,0,0,0,1,0,0,1,659286.0,570641.0,1.1553428512847832,26.0,37054.0,7.416666666666667,148758,0.22563500514192628,2.7095,94,155,0.6064516129032258,0.606451613
Alaska,AK,2005,0,0,0,0,0,0,0,0,0,0,1,666946.0,570641.0,1.168766352224954,26.325,39013.0,6.925,146818,0.2201347635340792,2.6376,87,131,0.6641221374045801,0.664122137
Alaska,AK,2006,0,0,0,0,0,0,0,0,0,0,1,675302.0,570641.0,1.183409534190498,26.65,41013.0,6.616666666666667,146664,0.21718283079274162,2.7499,79,135,0.5851851851851851,0.585185185
Alaska,AK,2007,0,0,0,0,0,0,0,0,0,0,1,680300.0,570641.0,1.1921681056916695,26.975,43747.0,6.25,144710,0.21271497868587388,2.5269,94,149,0.6308724832214765,0.630872483
Alaska,AK,2008,0,0,0,0,0,0,0,0,0,0,1,687455.0,570641.0,1.2047066369223383,0.273084789162652,47800.0,6.508333333333333,143086,0.20813871453404223,2.778,116,169,0.6863905325443787,0.686390533
Alaska,AK,2009,0,0,0,0,0,0,0,0,0,0,1,698895.0,570641.0,1.2247542675692773,0.2656327549179225,47211.0,7.833333333333333,144078,0.20615113858304895,3.0202,79,143,0.5524475524475524,0.552447552
Alaska,AK,2010,0,0,0,0,0,0,0,0,0,0,1,713982.0,570641.0,1.2511929566925615,0.2792486078960977,49543.0,7.991666666666667,144426,0.20228241048093648,3.031,107,164,0.6524390243902439,0.652439024
Alaska,AK,2011,0,0,0,0,0,0,0,0,0,0,1,722349.0,570641.0,1.2658554152260353,0.2636704300204438,52415.0,7.608333333333333,143388,0.19850238596578662,2.8594,99,143,0.6923076923076923,0.692307692
Alaska,AK,2012,0,0,0,0,0,0,0,0,0,0,1,730810.0,570641.0,1.280682600794545,0.280081103070638,53340.0,7.133333333333333,142976,0.19564045374310696,2.8324,98,168,0.5833333333333334,0.583333333
Alaska,AK,2013,0,0,0,0,0,0,0,0,0,0,1,737626.0,570641.0,1.2926270632499242,0.2797157301597937,52252.0,6.925000000000001,142716,0.19348016474473514,2.7527,120,171,0.7017543859649122,0.701754386
Alaska,AK,2014,0,0,0,0,0,0,0,0,0,0,1,737075.0,570641.0,1.2916614824381705,0.2800478986303313,55098.0,6.741666666666667,141360,0.191785096496286,2.794,115,167,0.688622754491018,0.688622754
Alabama,AL,1990,0,0,0,0,0,0,0,0,0,1,0,4048508.0,50645.0,79.93894757626617,15.7,15860.0,6.825,828403,0.20461933136849428,1.9193,433,514,0.8424124513618677,0.842412451
Alabama,AL,1991,0,0,0,0,0,0,0,0,0,1,0,4091025.0,50645.0,80.778457893178,16.03,16585.0,7.266666666666667,826271,0.20197163302595314,1.7605,424,539,0.7866419294990723,0.786641929
