state_abbr,year,population,male_population,white_nh_population,black_nh_population,hispanic_population,age_15_24_population,age_25_44_population,state,share_male,share_white_nh,share_black_nh,share_hispanic,share_age_15_24,share_age_25_44
AK,1990,553120,291563,408774,21978,17995,78982,214418,Alaska,0.52712431298814,0.7390331212033555,0.03973459647092855,0.03253362742262077,0.14279360717385015,0.38765186577957766
AK,1991,569273,299939,421330,22015,18648,79776,218424,Alaska,0.5268807760072935,0.7401194154649878,0.0386721309459609,0.032757569742460996,0.14013663040404165,0.38368937223441124
AK,1992,587073,309873,433617,23361,19521,83111,221047,Alaska,0.527827033435365,0.7386083161719241,0.03979232565626421,0.033251401444113426,0.14156842505105838,0.37652387352169153
AK,1993,596993,315197,439203,24793,20026,86079,218616,Alaska,0.5279743648585494,0.7356920432902898,0.04152980018191168,0.033544781932116456,0.14418762029035517,0.3661952485205019
AK,1994,600624,316583,440803,23851,20798,88356,213400,Alaska,0.5270901595673833,0.7339084019286609,0.03971036788406724,0.03462732091957697,0.14710700871094062,0.355297157622739
AK,1995,601345,315927,441038,22308,21431,90620,207042,Alaska,0.5253673016321745,0.7334192518437835,0.037096841247536774,0.03563844382176621,0.15069552419991852,0.3442981982056889
AK,1996,604918,317554,441897,21591,22080,94179,200642,Alaska,0.5249537953904496,0.7305072753662479,0.03569244095893989,0.03650081498649404,0.15568887022703903,0.3316846250235569
AK,1997,608846,319361,441955,21985,23122,97794,192824,Alaska,0.5245349398698521,0.7258896338318721,0.03610929528977771,0.037976762596781455,0.16062189781980993,0.3167040598115123
AK,1998,615205,322846,444769,22404,23736,101608,186040,Alaska,0.5247779195552702,0.722960639136548,0.03641712924959973,0.03858226119748702,0.16516120642712592,0.3024032639526662
AK,1999,619500,325077,445701,22454,24795,104654,178632,Alaska,0.5247409200968522,0.7194527845036319,0.036245359160613395,0.04002421307506053,0.16893301049233253,0.2883486682808717
AK,2000,627963,324750,426371,21214,25963,90457,202899,Alaska,0.5171483033236035,0.6789747166632429,0.0337822451322769,0.04134479260720775,0.14404829583908607,0.3231066161541365
AK,2001,633714,328135,427257,21525,27989,94980,198158,Alaska,0.5177966716847032,0.6742110794459331,0.03396642649523286,0.04416661143670489,0.14987833628419128,0.31269310761636954
AK,2002,642337,332704,430259,22014,29943,98937,194428,Alaska,0.5179586416476086,0.6698337477056436,0.03427172963724649,0.04661571729481565,0.15402662465341402,0.30268846415510864
AK,2003,648414,335380,431601,21786,31417,101809,190773,Alaska,0.517231275080427,0.6656256650843443,0.03359890440366803,0.048452069202700745,0.15701234088098037,0.29421480720650695
AK,2004,659286,341479,436721,21895,32879,105512,189864,Alaska,0.517952754950052,0.6624150975449198,0.033210169789742235,0.049870617607532995,0.1600398006328058,0.287984273896306
AK,2005,666946,346026,439277,21579,34422,107881,188753,Alaska,0.5188216137438413,0.6586395300369146,0.032354943278766195,0.051611374833944575,0.16175372518914574,0.28301091842517984
AK,2006,675302,350181,443017,21508,35505,109201,188470,Alaska,0.5185546614699793,0.6560279697083675,0.03184945402205236,0.05257647689478189,0.16170691038972193,0.27908994790478925
AK,2007,680300,353162,444259,21667,36229,108803,188612,Alaska,0.5191268557989123,0.6530339556078201,0.03184918418344848,0.053254446567690725,0.1599338527120388,0.2772482728208143
AK,2008,687455,358043,446429,21775,37256,108196,189673,Alaska,0.5208239084740092,0.6493937785018655,0.03167480053239848,0.054194092704249734,0.1573863016488352,0.2759060593057
AK,2009,698895,361893,450661,21723,38232,105561,191023,Alaska,0.5178073959607666,0.6448193219296174,0.031081922177151073,0.054703496233339775,0.15103985577232631,0.27332145744353586
AK,2010,714015,371621,457813,22239,39919,106999,197382,Alaska,0.520466656862951,0.6411812076777098,0.03114640448730069,0.055907789052050724,0.14985539519477883,0.2764395705972564
AK,2011,722513,375864,459175,22577,41610,107322,199715,Alaska,0.5202176293021717,0.6355248971298786,0.031247880660970805,0.05759065926841455,0.1485398878636094,0.27641717173255015
AK,2012,731106,380917,459640,23268,44279,108674,202722,Alaska,0.5210147365771858,0.6286913251977142,0.03182575440497001,0.06056440516149505,0.14864328838773036,0.27728126974747846
AK,2013,738054,385772,459101,23562,46324,110299,205782,Alaska,0.5226880417963997,0.6220425605714487,0.03192449332975636,0.06276505513146735,0.1494457045148458,0.2788169971302913
AK,2014,737634,385775,454959,23020,47513,109040,206432,Alaska,0.5229897211896415,0.6167814932608855,0.031207889007285456,0.06441270331899018,0.14782398859054763,0.27985694802571465
AK,2015,739120,386445,452369,22637,48415,107533,207511,Alaska,0.5228447342786016,0.6120372875852365,0.030626961792401774,0.06550357181513151,0.1454878774759173,0.2807541400584479
AK,2016,743397,388310,450784,22850,49496,105323,210594,Alaska,0.5223453955289031,0.6063839375192528,0.03073727765917807,0.06658084442094869,0.14167799977670073,0.28328605038761256
AK,2017,741937,386613,444797,22756,50292,102281,211069,Alaska,0.5210860221285635,0.5995077749188947,0.030671067759122404,0.06778473104859307,0.13785671829279306,0.2844837230115225
AK,2018,737710,383880,439187,22370,50280,99727,210430,Alaska,0.520367081915658,0.5953382765585392,0.030323568882081035,0.06815686380827155,0.13518455761749196,0.28524759051659865
AK,2019,734820,382337,434863,21708,50160,97913,210629,Alaska,0.5203138183500722,0.5917952695898315,0.029541928635584226,0.06826161508940966,0.13324759805122344,0.2866402656432868
AK,2020,733017,385216,438581,24064,50522,95865,214355,Alaska,0.5255212362059816,0.5983230948259044,0.032828706564786356,0.06892336739802761,0.13078141434646126,0.29242841571205036
AK,2021,734420,385954,437058,24051,52160,96278,215908,Alaska,0.5255221807684975,0.5951063424198687,0.03274829116854116,0.07102203099044144,0.13109392445739496,0.2939843686174124
AK,2022,734442,385737,435225,24052,53509,96298,217452,Alaska,0.5252109764964422,0.5925927438790265,0.03274867178075328,0.07285667214020984,0.13111722913449939,0.2960778386856961
AK,2023,736510,386970,434090,23944,55195,97050,219319,Alaska,0.525410381393328,0.5893877883531792,0.03251008132951352,0.07494127710418053,0.13177010495444733,0.29778142862961804
AK,2024,740133,388755,432819,24078,57226,97668,221499,Alaska,0.5252501915196323,0.5847854372119605,0.03253199087191086,0.07731853599285533,0.13196006663667206,0.29926918540316405
AL,1990,4048508,1939552,2966064,1019884,24795,628726,1242205,Alabama,0.4790782184449185,0.7326313792636695,0.2519160144922524,0.006124478449838805,0.15529819874383352,0.3068303187248241
AL,1991,4091025,1959761,2993899,1033240,25322,628360,1261735,Alabama,0.47903911611393235,0.7318212428425639,0.2525626218368257,0.006189646848894837,0.15359475925959876,0.30841537267555197
AL,1992,4139269,1984063,3023386,1050520,26463,632962,1266222,Alabama,0.4793269053062268,0.7304154429199938,0.25379360461955963,0.006393157825693377,0.1529163724319439,0.30590473825209236
AL,1993,4193114,2010696,3056573,1068400,28289,637789,1278016,Alabama,0.4795233327784553,0.7289506080683712,0.25479870091774276,0.006746537299009757,0.15210390177801034,0.3047892330139367
AL,1994,4232965,2029950,3078356,1083627,30673,637928,1286422,Alabama,0.4795574733077169,0.727233983744255,0.25599715565803166,0.0072462210294675245,0.15070476604460467,0.30390565478334924
AL,1995,4262731,2044662,3093363,1095251,33042,635374,1291242,Alabama,0.47966010522362307,0.7256763328485893,0.2569364569333603,0.007751368782125825,0.1490532712479394,0.302914258488279
AL,1996,4290403,2057919,3109442,1103666,35889,629541,1303479,Alabama,0.4796563399755221,0.7247435730396422,0.257240636835281,0.00836494846754489,0.1467323698962545,0.3038127187585875
AL,1997,4320281,2072561,3123138,1116323,39340,626778,1305990,Alabama,0.47972828619249536,0.7229015890401573,0.25839129445515235,0.009105889177116026,0.1450780632093144,0.30229283697055814
