state,state_abbr,year,nics_total,nics_handgun,nics_long_gun,nics_multiple,nics_permit,nics_permit_recheck,nics_other
Alabama,AL,1999,246756,94544.0,149017.0,3195,0.0,0.0,0.0
Alabama,AL,2000,221911,81983.0,136767.0,3149,12.0,0.0,0.0
Alabama,AL,2001,230187,83885.0,134914.0,3490,0.0,0.0,0.0
Alabama,AL,2002,221008,65294.0,111339.0,3548,0.0,0.0,0.0
Alabama,AL,2003,225479,67985.0,114104.0,3620,0.0,0.0,0.0
Alabama,AL,2004,229997,69932.0,117692.0,3632,0.0,0.0,0.0
Alabama,AL,2005,235873,77044.0,119189.0,3976,0.0,0.0,0.0
Alabama,AL,2006,243176,83100.0,121077.0,3865,0.0,0.0,0.0
Alabama,AL,2007,245355,91446.0,114695.0,4253,0.0,0.0,0.0
Alabama,AL,2008,299432,112649.0,143499.0,5673,117.0,0.0,0.0
Alabama,AL,2009,317868,119867.0,146978.0,6787,2619.0,0.0,819.0
Alabama,AL,2010,308607,116963.0,136519.0,5465,4621.0,0.0,1771.0
Alabama,AL,2011,336102,130490.0,146290.0,6262,5036.0,0.0,2121.0
Alabama,AL,2012,431356,177239.0,184072.0,9227,6135.0,0.0,4348.0
Alabama,AL,2013,563880,195052.0,203530.0,9270,100231.0,0.0,5955.0
Alabama,AL,2014,621305,178355.0,170815.0,9254,204273.0,0.0,6715.0
Alabama,AL,2015,737509,243734.0,176075.0,10781,246203.0,0.0,9442.0
Alabama,AL,2016,616947,153123.0,121963.0,6545,291039.0,0.0,6104.0
Alabama,AL,2017,477345,97751.0,86210.0,4293,253338.0,1401.0,3293.0
Alabama,AL,2018,474294,84187.0,81930.0,4794,271958.0,263.0,3701.0
Alabama,AL,2019,690084,160667.0,120258.0,7868,348147.0,6973.0,8515.0
Alabama,AL,2020,1085475,358234.0,213863.0,15228,425306.0,7334.0,21206.0
Alabama,AL,2021,946271,289613.0,209890.0,13442,369697.0,4831.0,19404.0
Alabama,AL,2022,739113,249523.0,177186.0,14062,235684.0,4064.0,16493.0
Alabama,AL,2023,609252,230077.0,171451.0,13714,134985.0,1925.0,15681.0
