panel,variable,status,recommendation
panel_core,firearm_suicides,missing,Firearm suicides (count) - integrate from firearm_suicide_homicide_dataset_v2.tab (1979-2023)
panel_demographic,firearm_suicides,missing,Firearm suicides (count) - integrate from firearm_suicide_homicide_dataset_v2.tab (1979-2023)
panel_market,firearm_suicides,missing,Firearm suicides (count) - integrate from firearm_suicide_homicide_dataset_v2.tab (1979-2023)
panel_modern,firearm_suicides,missing,Firearm suicides (count) - integrate from firearm_suicide_homicide_dataset_v2.tab (1979-2023)
panel_core,total_suicides,missing,"Total suicides (count) - same source, 1979-2023"
panel_demographic,total_suicides,missing,"Total suicides (count) - same source, 1979-2023"
panel_market,total_suicides,missing,"Total suicides (count) - same source, 1979-2023"
panel_modern,total_suicides,missing,"Total suicides (count) - same source, 1979-2023"
panel_core,firearm_suicide_rate,missing,Firearm suicides per 100k - derive from counts and population
panel_demographic,firearm_suicide_rate,missing,Firearm suicides per 100k - derive from counts and population
panel_market,firearm_suicide_rate,missing,Firearm suicides per 100k - derive from counts and population
panel_modern,firearm_suicide_rate,missing,Firearm suicides per 100k - derive from counts and population
panel_core,total_suicide_rate,missing,Total suicides per 100k - derive from counts and population
panel_demographic,total_suicide_rate,missing,Total suicides per 100k - derive from counts and population
panel_market,total_suicide_rate,missing,Total suicides per 100k - derive from counts and population
panel_modern,total_suicide_rate,missing,Total suicides per 100k - derive from counts and population
panel_core,firearm_homicides,missing,Firearm homicides (count) - same source
panel_demographic,firearm_homicides,missing,Firearm homicides (count) - same source
panel_market,firearm_homicides,missing,Firearm homicides (count) - same source
panel_modern,firearm_homicides,missing,Firearm homicides (count) - same source
panel_core,nonfirearm_homicides,missing,Nonfirearm homicides (count) - same source
panel_demographic,nonfirearm_homicides,missing,Nonfirearm homicides (count) - same source
panel_market,nonfirearm_homicides,missing,Nonfirearm homicides (count) - same source
panel_modern,nonfirearm_homicides,missing,Nonfirearm homicides (count) - same source
panel_core,firearm_homicide_rate,missing,Firearm homicide per 100k - derive
panel_demographic,firearm_homicide_rate,missing,Firearm homicide per 100k - derive
panel_market,firearm_homicide_rate,missing,Firearm homicide per 100k - derive
panel_modern,firearm_homicide_rate,missing,Firearm homicide per 100k - derive
panel_core,nonfirearm_homicide_rate,missing,Nonfirearm homicide per 100k - derive
panel_demographic,nonfirearm_homicide_rate,missing,Nonfirearm homicide per 100k - derive
