state,state_abbr,year,relinquishment,violent,violenth,violentpartial,dealer,dealerh,residential,theft,ammlicense,ammrecords,permit,permith,registration,registrationh,defactoreg,defactoregh,ammpermit,age21handgunsale,age18longgunsale,age21longgunsale,age21handgunpossess,age18longgunpossess,age21longgunpossess,loststolen,amm18,amm21h,universal,universalh,gunshow,gunshowh,universalpermit,universalpermith,ammbackground,statechecks,statechecksh,waiting,waitingh,assault,onefeature,assaultlist,assaultregister,assaulttransfer,magazine,tenroundlimit,magazinepreowned,onepermonth,gvro,gvrolawenforcement,college,collegeconcealed,elementary,opencarryh,opencarryl,opencarrypermith,opencarrypermitl,permitconcealed,mayissue,nosyg,locked,liability,mcdv,mcdvsurrender,mcdvremovalallowed,mcdvremovalrequired,incidentremoval,incidentall,dvro,exparte,dvrosurrender,expartesurrender,dvroremoval,stalking,lawtotal,population,violent_crime,violent_rate,property_crime,property_rate,unemployment_rate,pcpi_nominal,pcpi_real_2024,ln_population,ln_pcpi_real_2024,homicide,homicide_rate,robbery,robbery_rate,rape,rape_rate,aggravated_assault,aggravated_assault_rate,burglary,burglary_rate,larceny,larceny_rate,motor_vehicle_theft,motor_vehicle_theft_rate,ownership_fss,firearm_suicide_rate,total_suicide_rate,firearm_homicide_rate,nonfirearm_homicide_rate,homicide_rate_kalesan,firearm_suicides,total_suicides,ownership_rand,ownership_rand_se
Alabama,AL,1979,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3866248.0,15578.0,402.9229371731974,144372.0,3734.162940401133,7.233333333333333,7275.0,31441.84839265213,15.16779508568416,10.355895035929905,496,13.159989387105334,4127,109.49854072698328,1037,27.513929424250463,9918,263.14672326877155,48517,1287.2645263995755,83791,2223.162642610772,12064,320.08490315733616,0.803827751,8.72973133706202,10.860201484797393,9.794966411,3.871220146,13.66618656,336.0,418.0,,
Alabama,AL,1980,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3900368.0,17320.0,444.0606629938508,173191.0,4440.375882480833,8.683333333333334,7959.0,30306.17489581226,15.176581465622704,10.319106762675702,509,13.181522250875705,5102,132.12598531231401,1158,29.988610543249635,10551,273.2381950274844,58952,1526.6740662743114,102029,2642.23484034302,12210,316.2011526192384,0.691954023,7.730063114296045,11.171353670162059,11.73634167,4.109003649,15.84534532,301.0,435.0,0.608,0.031
Alabama,AL,1981,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3918531.0,18423.0,470.1506763631575,173411.0,4425.408399218993,10.758333333333333,8793.0,30333.73877749267,15.18122739663427,10.320015863032516,465,11.874361593462716,4952,126.45556690500511,1021,26.072522982635345,11985,306.05209397344225,56811,1450.7405515832481,105471,2693.335035750766,11129,284.19305413687437,0.798982188,8.033653537536185,10.054859363858982,9.824595409,4.272675608,14.09727102,314.0,393.0,0.597,0.047
Alabama,AL,1982,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3925266.0,17653.0,449.7274834367913,165048.0,4204.759626481365,13.8,9269.0,30120.87334426795,15.182944677602952,10.312973676987092,417,10.575703778848592,4417,112.0213035759574,1026,26.020796347958406,11793,299.086989601826,49531,1256.1755008876492,104740,2656.353030687294,10777,273.31980725336035,0.810747664,8.84475788023321,10.909384359480732,9.176117686,3.772403937,12.94852162,347.0,428.0,0.661,0.036
Alabama,AL,1983,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3934102.0,16471.0,418.6724187629096,145890.0,3708.343098374165,13.866666666666667,9908.0,31211.261275313813,15.185193205403868,10.34853424698635,364,9.194240969941903,3895,98.3834301591311,931,23.516039403889874,11281,284.9456933569083,42485,1073.1245263955543,94279,2381.384187926244,9126,230.51275574640061,0.790588235,8.532471526621933,10.79256071075691,6.805661813,3.834533335,10.64019515,336.0,425.0,0.586,0.038
Alabama,AL,1984,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3951820.0,17204.0,435.3437150477502,138487.0,3504.3853211937794,11.383333333333333,10840.0,32717.974278383583,15.189686790253916,10.395679877992782,374,9.373433583959901,3833,96.06516290726817,1002,25.11278195488722,11995,300.6265664160401,39970,1001.7543859649123,89198,2235.5388471177944,9319,233.55889724310774,0.761802575,8.981503567453217,11.78980468291042,7.337002914,3.390201347,10.72720426,355.0,466.0,0.624,0.036
Alabama,AL,1985,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3972523.0,18398.0,463.1313651299187,140115.0,3527.1035561027597,9.575,11601.0,33821.67687267657,15.194911967181156,10.428857203502432,396,9.84829644367073,4237,105.37179806018405,1079,26.834120865456352,12686,315.49365829395674,41612,1034.8669485202686,88108,2191.1962198458095,10395,258.51778164635664,0.818604651,8.872672735121101,10.838776352562709,7.536730534,3.856587865,11.3933184,352.0,430.0,0.644,0.031
Alabama,AL,1986,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3991569.0,22616.0,566.5942390072676,151191.0,3787.758648290935,9.533333333333331,12220.0,34946.97193648865,15.199694944652888,10.461587104036935,409,10.09129040217123,4523,111.59634838391315,1150,28.374043918085366,16534,407.94473229706387,46974,1158.9933382679496,93396,2304.3671354552184,10821,266.98741672834933,0.759920635,9.618505945165877,12.657250643247002,8.036349615,3.490789364,11.52713898,383.0,504.0,0.567,0.038
Alabama,AL,1987,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4015264.0,22833.0,568.6550124724054,158918.0,3957.8468563959927,8.200000000000001,12830.0,35423.91795511222,15.205613656625996,10.47514251942371,380,9.306882194464855,4581,112.19691403379866,1137,27.847171197648787,16735,409.8701934851825,48927,1198.3100661278472,99260,2431.055596375214,10731,262.8214548126378,0.777282851,8.732472158113895,11.234613177630768,7.65655152,3.728190119,11.38474164,349.0,449.0,0.609,0.036
Alabama,AL,1988,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4023844.0,23052.0,572.8850323223267,165209.0,4105.750620550896,7.266666666666667,13800.0,36601.43479179878,15.207748222614612,10.507842720582795,408,9.886115822631451,4860,117.7610855342864,1228,29.7552701720378,16556,401.16307244972137,50920,1233.8260237460627,103282,2502.5926823358373,11007,266.7070511267264,0.769076305,9.548152504787039,12.415091246433278,8.476166714,3.240887273,11.71705399,383.0,498.0,0.606,0.031
