state,state_abbr,year,relinquishment,violent,violenth,violentpartial,dealer,dealerh,residential,theft,ammlicense,ammrecords,permit,permith,registration,registrationh,defactoreg,defactoregh,ammpermit,age21handgunsale,age18longgunsale,age21longgunsale,age21handgunpossess,age18longgunpossess,age21longgunpossess,loststolen,amm18,amm21h,universal,universalh,gunshow,gunshowh,universalpermit,universalpermith,ammbackground,statechecks,statechecksh,waiting,waitingh,assault,onefeature,assaultlist,assaultregister,assaulttransfer,magazine,tenroundlimit,magazinepreowned,onepermonth,gvro,gvrolawenforcement,college,collegeconcealed,elementary,opencarryh,opencarryl,opencarrypermith,opencarrypermitl,permitconcealed,mayissue,nosyg,locked,liability,mcdv,mcdvsurrender,mcdvremovalallowed,mcdvremovalrequired,incidentremoval,incidentall,dvro,exparte,dvrosurrender,expartesurrender,dvroremoval,stalking,lawtotal,population,violent_crime,violent_rate,property_crime,property_rate,unemployment_rate,pcpi_nominal,pcpi_real_2024,ln_population,ln_pcpi_real_2024,nics_total,nics_handgun,nics_long_gun,nics_multiple,nics_permit,nics_permit_recheck,nics_other,nics_total_per_100k
Alabama,AL,1999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4369862.0,21421.0,490.1985463156502,171398.0,3922.274891060633,4.733333333333333,23296.0,43869.40964882441,15.290241987625778,10.688972537238724,246756.0,94544.0,149017.0,3195.0,0.0,0.0,0.0,5646.768708027851
Alabama,AL,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4452173.0,21620.0,485.60556833707943,180539.0,4055.076026919888,4.641666666666667,24258.0,44193.13822968591,15.308902849562386,10.69632481234198,221911.0,81983.0,136767.0,3149.0,12.0,0.0,0.0,4984.330123739576
Alabama,AL,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4467634.0,19582.0,438.3080619406156,173253.0,3877.9586689509483,5.1499999999999995,25046.0,44378.729766062606,15.312369519969925,10.700515574311824,230187.0,83885.0,134914.0,3490.0,0.0,0.0,0.0,5152.324474207153
Alabama,AL,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4480089.0,19931.0,444.8795548481291,180400.0,4026.7057194622694,5.891666666666667,25671.0,44771.7511295404,15.315153470265269,10.709332664375385,221008.0,65294.0,111339.0,3548.0,0.0,0.0,0.0,4933.116284073821
Alabama,AL,2003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4503491.0,19331.0,429.2447792168343,182241.0,4046.660690562055,5.95,26700.0,45520.33179347827,15.320363431758285,10.725914357734068,225479.0,67985.0,114104.0,3620.0,0.0,0.0,0.0,5006.760311056467
Alabama,AL,2004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4530729.0,19324.0,426.5097294497199,182340.0,4024.517908707407,5.575,28385.0,47135.67847280427,15.32639341166415,10.760785497973059,229997.0,69932.0,117692.0,3632.0,0.0,0.0,0.0,5076.3795406876025
Alabama,AL,2005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4569805.0,19678.0,430.6091835428427,177393.0,3881.8505384803075,4.458333333333333,29780.0,47841.91568794811,15.33498109237577,10.775657431467188,235873.0,77044.0,119189.0,3976.0,0.0,0.0,0.0,5161.555033529877
Alabama,AL,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4628981.0,19553.0,422.4039804872822,181249.0,3915.5269809921447,4.008333333333333,31264.0,48658.16917848431,15.347847315446764,10.79257499085542,243176.0,83100.0,121077.0,3865.0,0.0,0.0,0.0,5253.337613613017
Alabama,AL,2007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4672840.0,20775.0,444.5904417870075,184082.0,3939.4030182929437,4.066666666666666,32516.0,49194.58189403287,15.357277581849651,10.803538772311272,245355.0,91446.0,114695.0,4253.0,0.0,0.0,0.0,5250.6612680939215
Alabama,AL,2008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4718206.0,21110.0,447.41581863954224,190416.0,4035.7712232149256,5.916666666666667,33441.0,48734.83516121053,15.36693920056546,10.794149354416366,299432.0,112649.0,143499.0,5673.0,117.0,0.0,0.0,6346.310440875197
