state,state_abbr,year,relinquishment,violent,violenth,violentpartial,dealer,dealerh,residential,theft,ammlicense,ammrecords,permit,permith,registration,registrationh,defactoreg,defactoregh,ammpermit,age21handgunsale,age18longgunsale,age21longgunsale,age21handgunpossess,age18longgunpossess,age21longgunpossess,loststolen,amm18,amm21h,universal,universalh,gunshow,gunshowh,universalpermit,universalpermith,ammbackground,statechecks,statechecksh,waiting,waitingh,assault,onefeature,assaultlist,assaultregister,assaulttransfer,magazine,tenroundlimit,magazinepreowned,onepermonth,gvro,gvrolawenforcement,college,collegeconcealed,elementary,opencarryh,opencarryl,opencarrypermith,opencarrypermitl,permitconcealed,mayissue,nosyg,locked,liability,mcdv,mcdvsurrender,mcdvremovalallowed,mcdvremovalrequired,incidentremoval,incidentall,dvro,exparte,dvrosurrender,expartesurrender,dvroremoval,stalking,lawtotal,population,violent_crime,violent_rate,property_crime,property_rate,unemployment_rate,pcpi_nominal,pcpi_real_2024,ln_population,ln_pcpi_real_2024,nics_total,nics_handgun,nics_long_gun,nics_multiple,nics_permit,nics_permit_recheck,nics_other,nics_total_per_100k,controls_source,median_hh_income_nominal,median_hh_income_real_2024,poverty_rate,share_white_nh,share_black_nh,share_hispanic,share_bachelors_plus,share_male,share_age_15_24,share_age_25_44
Alabama,AL,2008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4718206.0,21110.0,447.41581863954224,190416.0,4035.7712232149256,5.916666666666667,33441.0,48734.83516121053,15.36693920056546,10.794149354416366,299432.0,112649.0,143499.0,5673.0,117.0,0.0,0.0,6346.310440875197,acs1,42666.0,62178.7768603872,0.15695140822184195,0.6839057036830477,0.26094360668397004,0.027920804822068254,0.21993510473773095,0.48455007614920953,0.1408376413050473,0.263030309530449
Alabama,AL,2009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4757938.0,21194.0,445.44506464775293,178007.0,3741.2635473602218,9.733333333333333,32717.0,47832.959071391066,15.375324939074979,10.775470201191617,317868.0,119867.0,146978.0,6787.0,2619.0,0.0,819.0,6680.793234380103,acs1,40489.0,59195.79056275187,0.17535426253661282,0.6793031124461317,0.25991758248759533,0.031490379101868284,0.22032957828382835,0.48437575657696336,0.13950174867500809,0.26321997456627166
Alabama,AL,2010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4785514.0,18363.0,383.7205366027558,168828.0,3527.8968988493193,10.375,33848.0,48689.66521024382,15.381103996117947,10.793222073208227,308607.0,116963.0,136519.0,5465.0,4621.0,0.0,1771.0,6448.774363631576,acs1,40474.0,58221.032549025294,0.19033548533631028,0.6700700771404414,0.2625888711633006,0.03819929291759886,0.21910181839690454,0.48528701869768615,0.1436880211012982,0.255521599699747
Alabama,AL,2011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4799642.0,20166.0,420.1563366601093,173192.0,3608.4357958364394,9.558333333333334,34884.0,48652.41369713191,15.384051889763311,10.792456699890778,336102.0,130490.0,146290.0,6262.0,5036.0,0.0,2121.0,7002.6472807763585,acs1,41415.0,57761.143024501725,0.19040193814731224,0.6668199819269833,0.26544264315786403,0.03877036858126819,0.2225225941865498,0.48397643844971827,0.14193564506927295,0.25462485997576384
Alabama,AL,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4816632.0,21693.0,450.3769438894231,168878.0,3506.142881581985,8.174999999999999,35559.0,48586.53863746823,15.38758548659687,10.79110178875363,431356.0,177239.0,184072.0,9227.0,6135.0,0.0,4348.0,8955.55234445978,acs1,41574.0,56805.21829393695,0.18962570039630522,0.6662075232739454,0.26285212658670437,0.03845709570443774,0.23278548475439348,0.4845043252593362,0.14027597960441085,0.2540972948490706
Alabama,AL,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4831586.0,20834.0,431.2041636017655,161835.0,3349.5212545114587,7.358333333333333,35706.0,48082.518113729566,15.390685336118203,10.780673941251326,563880.0,195052.0,203530.0,9270.0,100231.0,0.0,5955.0,11670.701918583256,acs1,42849.0,57701.44565773815,0.18730944285591605,0.6629516550600137,0.26486008090659746,0.03929352991338766,0.23468158056852276,0.484485661359921,0.141826733105462,0.2526223063717773
Alabama,AL,2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4843737.0,20727.0,427.9134065288846,154087.0,3181.1595055635767,6.766666666666667,36722.0,48664.529397517406,15.393197088209225,10.792705694568639,621305.0,178355.0,170815.0,9254.0,204273.0,0.0,6715.0,12826.976361433331,acs1,42830.0,56758.93998408776,0.1925257675806216,0.6610199619456273,0.26513323257812293,0.03967788027204319,0.2347135164147501,0.4841795141932665,0.13923438000386443,0.2534721470407436
Alabama,AL,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,4854803.0,22957.0,472.87191673894904,144785.0,2982.304328311571,6.083333333333333,38189.0,50547.38746373532,15.395479082159278,10.830666540892182,737509.0,243734.0,176075.0,10781.0,246203.0,0.0,9442.0,15191.327021920353,acs1,44765.0,59251.45460248008,0.18495658983437185,0.6594134282119762,0.2668628532866678,0.03969352409220126,0.24156463306290923,0.4842190097960909,0.1368501489716255,0.25451128724779426
Alabama,AL,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,4866824.0,25878.0,531.7225360933537,143259.0,2943.582919785059,5.8,38704.0,50587.91593661949,15.397952126255015,10.83146801127277,616947.0,153123.0,121963.0,6545.0,291039.0,0.0,6104.0,12676.583332374461,acs1,46257.0,60460.03584849648,0.17088689690169148,0.657402792342648,0.26619209178952563,0.04105977422737647,0.24707449572259085,0.48445541093496186,0.13600004112433944,0.2524693109616927
Alabama,AL,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,4877989.0,25469.0,522.1208985916123,143774.0,2947.403120425241,4.508333333333334,39968.0,51149.7926547841,15.40024360273291,10.842513717701646,477345.0,97751.0,86210.0,4293.0,253338.0,1401.0,3293.0,9785.692423660652,acs1,48123.0,61586.30584282864,0.16888918814281145,0.6546903870088027,0.2671513003649215,0.041431893798796124,0.255227886573844,0.48410635464773866,0.13590797635241378,0.2512712967462722
