state_abbr,year,alcohol_per_capita_ethanol_gallons
AK,1977,3.3
AK,1978,3.51
AK,1979,3.58
AK,1980,3.72
AK,1981,4.02
AK,1982,3.92
AK,1983,3.95
AK,1984,3.72
AK,1985,3.68
AK,1986,3.45
AK,1987,3.38
AK,1988,3.21
AK,1989,3.15
AK,1990,3.33
AK,1991,3.11
AK,1992,3.02
AK,1993,2.55
AK,1994,3.03
AK,1995,2.86
AK,1996,2.63
AK,1997,2.56
AK,1998,2.71
AK,1999,2.74
AK,2000,2.68
AK,2001,2.67
AK,2002,2.99
AK,2003,2.43
AK,2004,2.71
AK,2005,2.64
AK,2006,2.75
AK,2007,2.53
AK,2008,2.78
AK,2009,3.02
AK,2010,3.03
AK,2011,2.86
AK,2012,2.83
AK,2013,2.75
AK,2014,2.8
AK,2015,2.84
AK,2016,2.94
AK,2017,2.81
AK,2018,2.85
AL,1977,1.92
AL,1978,1.92
AL,1979,1.9
AL,1980,1.86
AL,1981,1.91
AL,1982,1.9
AL,1983,1.9
AL,1984,1.91
AL,1985,1.92
AL,1986,1.92
AL,1987,1.91
AL,1988,1.92
AL,1989,1.9
AL,1990,1.92
AL,1991,1.76
AL,1992,1.79
AL,1993,1.86
AL,1994,1.87
AL,1995,1.82
AL,1996,1.88
AL,1997,1.82
AL,1998,1.85
AL,1999,1.87
AL,2000,1.88
AL,2001,1.86
AL,2002,1.92
AL,2003,1.9
AL,2004,1.91
AL,2005,1.91
AL,2006,1.95
AL,2007,2.0
AL,2008,2.01
AL,2009,1.98
AL,2010,1.98
AL,2011,1.98
AL,2012,2.0
AL,2013,1.99
AL,2014,2.0
AL,2015,2.01
AL,2016,2.01
AL,2017,1.99
AL,2018,1.99
AR,1977,1.61
AR,1978,1.76
AR,1979,1.54
AR,1980,1.81
AR,1981,1.86
AR,1982,1.78
AR,1983,1.79
AR,1984,1.8
AR,1985,1.77
AR,1986,1.65
AR,1987,1.74
AR,1988,1.78
AR,1989,1.82
AR,1990,1.86
AR,1991,1.81
AR,1992,1.9
AR,1993,1.79
AR,1994,1.65
AR,1995,1.6800000000000002
AR,1996,1.72
AR,1997,1.71
AR,1998,1.73
AR,1999,1.75
AR,2000,1.74
AR,2001,1.74
AR,2002,1.75
AR,2003,1.77
AR,2004,1.81
AR,2005,1.78
AR,2006,1.8
AR,2007,1.81
AR,2008,1.86
AR,2009,1.82
AR,2010,1.8
AR,2011,1.72
AR,2012,1.8
AR,2013,1.8
AR,2014,1.79
AR,2015,1.83
AR,2016,1.8
AR,2017,1.82
AR,2018,1.78
AZ,1977,2.92
AZ,1978,3.04
AZ,1979,3.15
AZ,1980,3.01
AZ,1981,3.18
AZ,1982,3.07
AZ,1983,3.02
AZ,1984,3.04
AZ,1985,3.11
AZ,1986,3.09
AZ,1987,2.93
AZ,1988,2.87
AZ,1989,2.81
