state_fips,state_abbr,year,imprisonment_rate,police_expenditure_per_capita_real_2024,has_death_penalty,executions_count,prisoners_total,police_expend_per_capita_nominal,population,has_imprisonment_rate,has_police_expenditure,police_expenditure_imputed_flag,sworn_officers_per_100k,has_sworn_officers
2,AK,1979,,,0,0,,,402753.0,0,0,0,,0
2,AK,1980,,,0,0,,,405315.0,0,0,0,,0
2,AK,1981,,,0,0,,,418491.0,0,0,0,,0
2,AK,1982,290.47655057984105,,0,0,1306.0,,449606.0,1,0,0,,0
2,AK,1983,334.5501896944619,,0,0,1634.0,,488417.0,1,0,0,,0
2,AK,1984,,,0,0,,,513702.0,0,0,0,,0
2,AK,1985,437.37499882628,,0,0,2329.0,,532495.0,1,0,0,,0
2,AK,1986,451.9832141518516,,0,0,2460.0,,544268.0,1,0,0,,0
2,AK,1987,468.7479719418738,,0,0,2528.0,,539309.0,1,0,0,,0
2,AK,1988,477.5057520254325,,0,0,2588.0,,541983.0,1,0,0,,0
2,AK,1989,501.4995641120772,,0,0,2744.0,,547159.0,1,0,0,,0
2,AK,1990,474.0381833960081,,0,0,2622.0,,553120.0,1,0,0,,0
2,AK,1991,475.3431130582339,,0,0,2706.0,,569273.0,1,0,0,,0
2,AK,1992,488.0142673909377,,0,0,2865.0,,587073.0,1,0,0,,0
2,AK,1993,,,0,0,,,596993.0,0,0,0,,0
2,AK,1994,,,0,0,,,600624.0,0,0,0,,0
2,AK,1995,,,0,0,,,601345.0,0,0,0,,0
2,AK,1996,614.2981362763218,,0,0,3716.0,,604918.0,1,0,0,,0
2,AK,1997,693.1145150005092,,0,0,4220.0,,608846.0,1,0,0,,0
2,AK,1998,665.9568761632302,,0,0,4097.0,,615205.0,1,0,0,,0
2,AK,1999,637.449556093624,,0,0,3949.0,,619500.0,1,0,0,,0
2,AK,2000,664.5295980814157,,0,0,4173.0,,627963.0,1,0,0,,0
2,AK,2001,721.3033008581158,,0,0,4571.0,,633714.0,1,0,0,,0
2,AK,2002,684.6873214527577,717.3916852774807,0,0,4398.0,411.4226644269285,642337.0,1,1,0,,0
2,AK,2003,698.165061210893,705.285845749246,0,0,4527.0,,648414.0,1,1,1,,0
2,AK,2004,690.7472629480984,693.1800062210115,0,0,4554.0,,659286.0,1,1,1,,0
2,AK,2005,721.4976924668564,681.0741666927768,0,0,4812.0,,666946.0,1,1,1,,0
2,AK,2006,750.62712682622,668.9683271645422,0,0,5069.0,,675302.0,1,1,1,,0
2,AK,2007,759.5178597677495,656.8624876363075,0,0,5167.0,,680300.0,1,1,1,,0
2,AK,2008,729.3568306289139,644.7566481080728,0,0,5014.0,,687455.0,1,1,1,,0
2,AK,2009,756.1937057784073,632.6508085798382,0,0,5285.0,432.6801593944727,698895.0,1,1,0,,0
2,AK,2010,755.0610519592931,665.9562076776078,0,0,5391.0,462.9290374267138,713982.0,1,1,0,,0
2,AK,2011,749.222328818895,629.3685742202692,0,0,5412.0,451.30539393008087,722349.0,1,1,0,,0
2,AK,2012,770.7885770583325,629.6256002893468,0,0,5633.0,,730810.0,1,1,1,,0
2,AK,2013,688.8314674374276,629.8826263584244,0,0,5081.0,,737626.0,1,1,1,,0
2,AK,2014,786.0801139639792,630.1396524275021,0,0,5794.0,,737075.0,1,1,1,,0
2,AK,2015,722.8850398819116,630.3966784965797,0,0,5338.0,,738430.0,1,1,1,,0
2,AK,2016,597.1114028885971,630.6537045656573,0,0,4434.0,,742575.0,1,1,1,,0
2,AK,2017,593.6708399517937,630.9107306347349,0,0,4399.0,493.0005141818368,740983.0,1,1,0,,0
2,AK,2018,594.6045743825887,754.4265901954767,0,0,4380.0,603.9159734138448,736624.0,1,1,0,,0
2,AK,2019,610.0029580031706,651.2412098568917,0,0,4475.0,530.7625514072325,733603.0,1,1,0,,0
2,AK,2020,624.6367201250911,665.8866370759869,0,0,4578.0,549.3937831045182,732906.0,1,1,0,,0
2,AK,2021,631.5087327624934,639.0465476316494,0,0,4639.0,552.0194938673274,734590.0,1,1,0,,0
2,AK,2022,651.2562375708607,646.2439182545426,0,0,4778.0,602.9108891187868,733659.0,1,1,0,,0
2,AK,2023,609.5386399584022,,0,0,4478.0,,734654.0,1,0,0,,0
2,AK,2024,,,0,0,,,736537.0,0,0,0,,0
1,AL,1979,138.19599777355202,,1,0,5343.0,,3866248.0,1,0,0,,0
1,AL,1980,152.83173280059728,,1,0,5961.0,,3900368.0,1,0,0,,0
1,AL,1981,,,1,0,,,3918531.0,0,0,0,,0
1,AL,1982,235.21972778405333,,1,0,9233.0,,3925266.0,1,0,0,,0
1,AL,1983,250.52731220491995,,1,1,9856.0,,3934102.0,1,0,0,,0
1,AL,1984,,,1,0,,,3951820.0,0,0,0,,0
1,AL,1985,277.27970360398166,,1,0,11015.0,,3972523.0,1,0,0,,0
1,AL,1986,293.368347133671,,1,1,11710.0,,3991569.0,1,0,0,,0
1,AL,1987,319.4559560716307,,1,1,12827.0,,4015264.0,1,0,0,,0
1,AL,1988,313.3819303134018,,1,0,12610.0,,4023844.0,1,0,0,,0
1,AL,1989,345.06783993536834,,1,4,13907.0,,4030222.0,1,0,0,,0
1,AL,1990,386.9326675407335,,1,1,15665.0,,4048508.0,1,0,0,,0
1,AL,1991,409.6772813659169,,1,0,16760.0,,4091025.0,1,0,0,,0
1,AL,1992,421.6444980985773,,1,2,17453.0,,4139269.0,1,0,0,,0
1,AL,1993,,,1,0,,,4193114.0,0,0,0,,0
1,AL,1994,,,1,0,,,4232965.0,0,0,0,,0
1,AL,1995,,,1,2,,,4262731.0,0,0,0,,0
1,AL,1996,507.17846318865617,,1,1,21760.0,,4290403.0,1,0,0,,0
1,AL,1997,515.938662323122,,1,3,22290.0,,4320281.0,1,0,0,,0
1,AL,1998,536.1020832504987,,1,1,23326.0,,4351037.0,1,0,0,,0
1,AL,1999,564.2741120886654,,1,2,24658.0,,4369862.0,1,0,0,,0
1,AL,2000,591.4415275417196,,1,4,26332.0,,4452173.0,1,0,0,,0
1,AL,2001,598.5494783144725,,1,0,26741.0,,4467634.0,1,0,0,,0
1,AL,2002,623.8045717395346,276.5091464918564,1,2,27947.0,158.5774300465906,4480089.0,1,1,0,,0
1,AL,2003,619.8080555728877,288.48083194259374,1,3,27913.0,,4503491.0,1,1,1,,0
1,AL,2004,571.365005499115,300.4525173933312,1,2,25887.0,,4530729.0,1,1,1,,0
1,AL,2005,610.2667400468948,312.42420284406853,1,4,27888.0,,4569805.0,1,1,1,,0
1,AL,2006,610.0910762001399,324.395888294806,1,1,28241.0,,4628981.0,1,1,1,,0
1,AL,2007,629.4245041559309,336.3675737455433,1,3,29412.0,,4672840.0,1,1,1,,0
1,AL,2008,646.6016956444886,348.33925919628075,1,0,30508.0,,4718206.0,1,1,1,,0
1,AL,2009,669.9120501360043,360.3109446470181,1,6,31874.0,246.422504875011,4757938.0,1,1,0,,0
1,AL,2010,663.7531516990651,348.0666866962926,1,5,31764.0,241.95311099288395,4785514.0,1,1,0,,0
1,AL,2011,672.3418121601569,337.1977559365318,1,6,32270.0,241.7965756612681,4799642.0,1,1,0,,0
1,AL,2012,673.3128044658591,337.1163703597297,1,0,32431.0,,4816632.0,1,1,1,,0
1,AL,2013,670.1940108279146,337.0349847829275,1,1,32381.0,,4831586.0,1,1,1,,0
1,AL,2014,655.9191797572824,336.9535992061253,1,0,31771.0,,4843737.0,1,1,1,,0
1,AL,2015,634.6292527214802,336.8722136293232,1,0,30810.0,,4854803.0,1,1,1,,0
1,AL,2016,593.4671153096969,336.7908280525211,1,2,28883.0,,4866824.0,1,1,1,,0
1,AL,2017,565.9709359738204,336.7094424757189,1,3,27608.0,263.10842439374096,4877989.0,1,1,0,,0
1,AL,2018,548.7130256021103,332.92243303973174,1,2,26841.0,266.50329910614624,4891628.0,1,1,0,,0
1,AL,2019,576.695229081707,339.6723561161415,1,3,28304.0,276.83347375134093,4907965.0,1,1,0,,0
1,AL,2020,503.2424246398046,353.6425329198222,1,1,25328.0,291.77490312861494,5032962.0,1,1,0,,0
1,AL,2021,495.6774753874114,334.64588124974,1,1,25032.0,289.0729175783724,5050058.0,1,1,0,,0
1,AL,2022,520.4192821243333,325.7685641594322,1,2,26421.0,303.9245850000433,5076868.0,1,1,0,,0
1,AL,2023,531.1019275672402,,1,2,27181.0,,5117850.0,1,0,0,,0
1,AL,2024,,,1,6,,,5163055.0,0,0,0,,0
