variable,year,n_states,n_with_value,coverage_pct
imprisonment_rate,1979,51,37,72.5
imprisonment_rate,1980,51,37,72.5
imprisonment_rate,1981,51,0,0.0
imprisonment_rate,1982,51,39,76.5
imprisonment_rate,1983,51,39,76.5
imprisonment_rate,1984,51,0,0.0
imprisonment_rate,1985,51,43,84.3
imprisonment_rate,1986,51,45,88.2
imprisonment_rate,1987,51,45,88.2
imprisonment_rate,1988,51,48,94.1
imprisonment_rate,1989,51,49,96.1
imprisonment_rate,1990,51,47,92.2
imprisonment_rate,1991,51,49,96.1
imprisonment_rate,1992,51,47,92.2
imprisonment_rate,1993,51,0,0.0
imprisonment_rate,1994,51,0,0.0
imprisonment_rate,1995,51,0,0.0
imprisonment_rate,1996,51,49,96.1
imprisonment_rate,1997,51,50,98.0
imprisonment_rate,1998,51,46,90.2
imprisonment_rate,1999,51,51,100.0
imprisonment_rate,2000,51,51,100.0
imprisonment_rate,2001,51,51,100.0
imprisonment_rate,2002,51,50,98.0
imprisonment_rate,2003,51,50,98.0
imprisonment_rate,2004,51,50,98.0
imprisonment_rate,2005,51,50,98.0
imprisonment_rate,2006,51,50,98.0
imprisonment_rate,2007,51,50,98.0
imprisonment_rate,2008,51,50,98.0
imprisonment_rate,2009,51,50,98.0
imprisonment_rate,2010,51,50,98.0
imprisonment_rate,2011,51,50,98.0
imprisonment_rate,2012,51,49,96.1
imprisonment_rate,2013,51,49,96.1
imprisonment_rate,2014,51,50,98.0
imprisonment_rate,2015,51,50,98.0
imprisonment_rate,2016,51,50,98.0
imprisonment_rate,2017,51,50,98.0
imprisonment_rate,2018,51,50,98.0
imprisonment_rate,2019,51,50,98.0
imprisonment_rate,2020,51,50,98.0
imprisonment_rate,2021,51,50,98.0
imprisonment_rate,2022,51,50,98.0
imprisonment_rate,2023,51,50,98.0
imprisonment_rate,2024,51,0,0.0
police_expenditure_per_capita_real_2024,1979,51,0,0.0
police_expenditure_per_capita_real_2024,1980,51,0,0.0
police_expenditure_per_capita_real_2024,1981,51,0,0.0
police_expenditure_per_capita_real_2024,1982,51,0,0.0
police_expenditure_per_capita_real_2024,1983,51,0,0.0
police_expenditure_per_capita_real_2024,1984,51,0,0.0
police_expenditure_per_capita_real_2024,1985,51,0,0.0
police_expenditure_per_capita_real_2024,1986,51,0,0.0
police_expenditure_per_capita_real_2024,1987,51,0,0.0
police_expenditure_per_capita_real_2024,1988,51,0,0.0
police_expenditure_per_capita_real_2024,1989,51,0,0.0
police_expenditure_per_capita_real_2024,1990,51,0,0.0
police_expenditure_per_capita_real_2024,1991,51,0,0.0
police_expenditure_per_capita_real_2024,1992,51,0,0.0
police_expenditure_per_capita_real_2024,1993,51,0,0.0
police_expenditure_per_capita_real_2024,1994,51,0,0.0
police_expenditure_per_capita_real_2024,1995,51,0,0.0
police_expenditure_per_capita_real_2024,1996,51,0,0.0
police_expenditure_per_capita_real_2024,1997,51,0,0.0
police_expenditure_per_capita_real_2024,1998,51,0,0.0
police_expenditure_per_capita_real_2024,1999,51,0,0.0
police_expenditure_per_capita_real_2024,2000,51,0,0.0
police_expenditure_per_capita_real_2024,2001,51,0,0.0
police_expenditure_per_capita_real_2024,2002,51,51,100.0
police_expenditure_per_capita_real_2024,2003,51,51,100.0
police_expenditure_per_capita_real_2024,2004,51,51,100.0
police_expenditure_per_capita_real_2024,2005,51,51,100.0
police_expenditure_per_capita_real_2024,2006,51,51,100.0
police_expenditure_per_capita_real_2024,2007,51,51,100.0
police_expenditure_per_capita_real_2024,2008,51,51,100.0
police_expenditure_per_capita_real_2024,2009,51,51,100.0
police_expenditure_per_capita_real_2024,2010,51,51,100.0
police_expenditure_per_capita_real_2024,2011,51,51,100.0
police_expenditure_per_capita_real_2024,2012,51,51,100.0
police_expenditure_per_capita_real_2024,2013,51,51,100.0
police_expenditure_per_capita_real_2024,2014,51,51,100.0
police_expenditure_per_capita_real_2024,2015,51,51,100.0
police_expenditure_per_capita_real_2024,2016,51,51,100.0
police_expenditure_per_capita_real_2024,2017,51,51,100.0
police_expenditure_per_capita_real_2024,2018,51,51,100.0
police_expenditure_per_capita_real_2024,2019,51,51,100.0
police_expenditure_per_capita_real_2024,2020,51,51,100.0
police_expenditure_per_capita_real_2024,2021,51,51,100.0
police_expenditure_per_capita_real_2024,2022,51,51,100.0
police_expenditure_per_capita_real_2024,2023,51,0,0.0
police_expenditure_per_capita_real_2024,2024,51,0,0.0
