year,population,state_abbr
1950,135000.0,AK
1951,158000.0,AK
1952,189000.0,AK
1953,205000.0,AK
1954,215000.0,AK
1955,222000.0,AK
1956,224000.0,AK
1957,231000.0,AK
1958,224000.0,AK
1959,224000.0,AK
1960,229000.0,AK
1961,238000.0,AK
1962,246000.0,AK
1963,256000.0,AK
1964,263000.0,AK
1965,271000.0,AK
1966,271000.0,AK
1967,278000.0,AK
1968,285000.0,AK
1969,296000.0,AK
1970,302583.0,AK
1971,315510.0,AK
1972,324464.0,AK
1973,330543.0,AK
1974,341063.0,AK
1975,376170.0,AK
1976,400969.0,AK
1977,403436.0,AK
1978,404766.0,AK
1979,402753.0,AK
1980,405315.0,AK
1981,418491.0,AK
1982,449606.0,AK
1983,488417.0,AK
1984,513702.0,AK
1985,532495.0,AK
1986,544268.0,AK
1987,539309.0,AK
1988,541983.0,AK
1989,547159.0,AK
1990,553120.0,AK
1991,569273.0,AK
1992,587073.0,AK
1993,596993.0,AK
1994,600624.0,AK
1995,601345.0,AK
1996,604918.0,AK
1997,608846.0,AK
1998,615205.0,AK
1999,619500.0,AK
2000,627963.0,AK
2001,633714.0,AK
2002,642337.0,AK
2003,648414.0,AK
2004,659286.0,AK
2005,666946.0,AK
2006,675302.0,AK
2007,680300.0,AK
2008,687455.0,AK
2009,698895.0,AK
2010,713982.0,AK
2011,722349.0,AK
2012,730810.0,AK
2013,737626.0,AK
2014,737075.0,AK
2015,738430.0,AK
2016,742575.0,AK
2017,740983.0,AK
2018,736624.0,AK
2019,733603.0,AK
2020,732906.0,AK
2021,734590.0,AK
2022,733659.0,AK
2023,734654.0,AK
2024,736537.0,AK
2025,737270.0,AK
1900,1830000.0,AL
1901,1907000.0,AL
1902,1935000.0,AL
1903,1957000.0,AL
1904,1978000.0,AL
1905,2012000.0,AL
1906,2045000.0,AL
1907,2058000.0,AL
1908,2070000.0,AL
1909,2108000.0,AL
1910,2150000.0,AL
1911,2185000.0,AL
1912,2217000.0,AL
1913,2279000.0,AL
1914,2336000.0,AL
1915,2345000.0,AL
1916,2359000.0,AL
1917,2361000.0,AL
1918,2343000.0,AL
1919,2337000.0,AL
1920,2359000.0,AL
1921,2402000.0,AL
1922,2434000.0,AL
1923,2464000.0,AL
1924,2501000.0,AL
1925,2534000.0,AL
1926,2567000.0,AL
1927,2609000.0,AL
1928,2640000.0,AL
1929,2644000.0,AL
1930,2647000.0,AL
1931,2649000.0,AL
1932,2653000.0,AL
1933,2661000.0,AL
1934,2685000.0,AL
1935,2719000.0,AL
1936,2743000.0,AL
1937,2762000.0,AL
1938,2787000.0,AL
1939,2814000.0,AL
1940,2845000.0,AL
1941,2902000.0,AL
1942,2941000.0,AL
1943,2902000.0,AL
1944,2802000.0,AL
1945,2775000.0,AL
1946,2911000.0,AL
1947,2942000.0,AL
1948,2969000.0,AL
1949,3000000.0,AL
1950,3058000.0,AL
1951,3059000.0,AL
1952,3068000.0,AL
1953,3053000.0,AL
1954,3014000.0,AL
1955,3050000.0,AL
1956,3071000.0,AL
1957,3109000.0,AL
1958,3163000.0,AL
1959,3204000.0,AL
1960,3274000.0,AL
1961,3316000.0,AL
1962,3323000.0,AL
1963,3358000.0,AL
1964,3395000.0,AL
1965,3443000.0,AL
1966,3464000.0,AL
1967,3458000.0,AL
1968,3446000.0,AL
1969,3440000.0,AL
1970,3444354.0,AL
1971,3497076.0,AL
1972,3539400.0,AL
1973,3579780.0,AL
1974,3626499.0,AL
1975,3678814.0,AL
1976,3735139.0,AL
1977,3780403.0,AL
1978,3831836.0,AL
1979,3866248.0,AL
1980,3900368.0,AL
1981,3918531.0,AL
1982,3925266.0,AL
1983,3934102.0,AL
1984,3951820.0,AL
1985,3972523.0,AL
1986,3991569.0,AL
1987,4015264.0,AL
1988,4023844.0,AL
1989,4030222.0,AL
1990,4048508.0,AL
1991,4091025.0,AL
1992,4139269.0,AL
1993,4193114.0,AL
1994,4232965.0,AL
1995,4262731.0,AL
1996,4290403.0,AL
1997,4320281.0,AL
1998,4351037.0,AL
1999,4369862.0,AL
2000,4452173.0,AL
2001,4467634.0,AL
2002,4480089.0,AL
2003,4503491.0,AL
2004,4530729.0,AL
2005,4569805.0,AL
2006,4628981.0,AL
2007,4672840.0,AL
2008,4718206.0,AL
2009,4757938.0,AL
2010,4785514.0,AL
2011,4799642.0,AL
2012,4816632.0,AL
2013,4831586.0,AL
2014,4843737.0,AL
2015,4854803.0,AL
2016,4866824.0,AL
2017,4877989.0,AL
2018,4891628.0,AL
2019,4907965.0,AL
2020,5032962.0,AL
2021,5050058.0,AL
2022,5076868.0,AL
2023,5117850.0,AL
2024,5163055.0,AL
2025,5193088.0,AL
1900,1314000.0,AR
1901,1341000.0,AR
1902,1360000.0,AR
1903,1384000.0,AR
1904,1419000.0,AR
1905,1447000.0,AR
1906,1465000.0,AR
1907,1484000.0,AR
1908,1513000.0,AR
1909,1545000.0,AR
1910,1583000.0,AR
1911,1610000.0,AR
