category,source,provider,url,coverage,geography,frequency,key_variables,current_status,notes
firearm_laws,Tufts State Firearm Laws,Tufts CTSI,https://www.tuftsctsi.org/state-firearm-laws/,"1976-2024","50 states",annual,"72 firearm law provisions in 11 categories","downloadable and current through 2024","Best broad historical state-law panel; includes concealed carry, assault weapons/large-capacity magazines, child access prevention, domestic violence, stand-your-ground"
firearm_laws,Tufts historical report,Tufts CTSI,https://www.tuftsctsi.org/wp-content/uploads/2025/05/The-Changing-Landscape-of-U.S.-Gun-Policy-STATE-FIREARM-LAWS-1976%E2%80%932024.pdf,"1976-2024","50 states",annual,"methodology, definitions, state summaries","current report","Useful for law definitions and Bruen-era coding caveats"
firearm_laws,Everytown Gun Law Navigator,Everytown,https://maps.everytownresearch.org/navigator/,"1991-present","50 states",annual / interactive,"state-by-year gun law comparisons","current public tracker","Best current tracker for law status; manual export or scraping may be required"
firearm_laws,Everytown 2026 Gun Law Rankings,Everytown,https://everytownsupportfund.org/press/everytown-releases-2026-state-gun-law-rankings-providing-roadmap-for-saving-262000-lives-from-gun-violence-over-the-next-decade/,"2026","50 states",annual cross-section,"rankings plus 50 tracked gun laws","last updated 2026-01-15","Best verified current 2026 law cross-section"
firearm_laws,RAND State Firearm Law Database,RAND,https://www.rand.org/content/dam/rand/pubs/tools/TLA200/TLA243-2-v3/RAND_TLA243-2-v3.pdf,"1979-2024 (methods doc current through 2024-01-01)","50 states",annual,"harmonized law classes with citations","public documentation","Strong cross-check against Tufts and Everytown; detailed law citations"
firearm_laws,ICPSR State Firearm Law Database,NIJ / ICPSR,https://catalog.data.gov/dataset/state-firearm-law-database-state-firearm-laws-1991-2019-e2e9d,"1991-2019","50 states",annual,"134 firearm law provisions","downloadable","Best older high-dimensional law panel"
firearm_laws,ATF State Laws and Published Ordinances,ATF,https://www.atf.gov/node/65211,"annual editions; archive reaches back to the 1970s","states and some local ordinances",annual,"statutory summaries and citations","36th edition published/revised 2026-01-15","Best official legal backfill and current compliance cross-check"
firearm_laws,Alcohol-related firearm law data,OpenICPSR,https://www.openicpsr.org/openicpsr/project/239498/view,"2010-2023","50 states",annual,"alcohol-related firearm statutes with enactment/amendment/repeal","downloadable","Useful specialized add-on for mechanism-specific studies"
crime,FBI UCR / Crime Data Explorer,FBI,https://www.fbi.gov/services/cjis/ucr/,"annual state/national estimates back to 1960; latest full annual release 2024","national,state,county,city,agency",annual,"violent crime, property crime, component offenses, rates","official primary source","Core official source for long-run violent/property crime outcomes"
crime,FBI 2024 release FAQ,FBI,https://cde.ucr.cjis.gov/LATEST/resources/reports/Reported%20Crimes%20in%20the%20Nation%202024%20FAQs.pdf,"2024 release note","national/state",release documentation,"release timing and download guidance","released 2025-08-05","Useful citation for latest annual FBI crime release"
crime,FBI legacy UCR tool archive note,FBI,https://archives.fbi.gov/archives/news/stories/2010/november/ucrtool_112910/ucrtool_112910,"1960-2009","national/state",annual,"state and national estimates back to 1960","archival note","Useful documentation for historical coverage statements"
crime,FBI monthly crime release,FBI,https://www.fbi.gov/news/press-releases/fbi-releases-monthly-crime-and-law-enforcement-data,"preliminary monthly / rolling","national and state-facing public release",monthly,"preliminary violent and property crime trends","preliminary","Useful for recent trends, not a substitute for final annual data"
crime,NACJD criminal justice archive,BJS / ICPSR,https://bjs.ojp.gov/data/national-archive-criminal-justice-data,"series vary; historical UCR files reach back to the 1960s","county,agency,state,national",varies,"archived UCR, arrests, corrections, other justice datasets","ongoing archive","Best source for historical county or agency panels"
crime,NCVS API,BJS,https://bjs.ojp.gov/national-crime-victimization-survey-ncvs-api,"long-run victimization series; API outputs vary","national,region,some state outputs",annual / survey tables,"violent and property victimization including unreported crime","official survey source","Best complement to police-reported crime"
crime,National Prisoner Statistics,BJS,https://bjs.ojp.gov/data-collection/national-prisoner-statistics-nps,"1978-forward","state and national",annual,"prison population, admissions, releases, imprisonment rates","official primary source","Common criminal-justice control in guns/crime work"
firearm_prevalence,RAND household firearm ownership,RAND,https://www.rand.org/pubs/tools/TL354.html,"1980-2016","50 states",annual,"estimated household firearm ownership rate","downloadable zip available","Most widely used modeled ownership series in modern gun-policy research"
firearm_prevalence,Firearm-suicide-share proxy dataset,Data in Brief / PubMed,https://pubmed.ncbi.nlm.nih.gov/37743886/,"1949-2020","50 states",annual,"firearm suicides / all suicides ownership proxy","derived dataset","Best long-run ownership proxy when pre-1980 coverage matters"
gun_market,FBI NICS Year by State/Type,FBI,https://www.fbi.gov/file-repository/cjis/nics_firearm_checks_-_year_by_state_type.pdf/view,"1998-11 to 2026-03","states / territories",monthly and annualized table,"background checks by state and transaction type","official current file","High-frequency legal market proxy; background checks are not gun sales"
gun_market,FBI NICS main page,FBI,https://www.fbi.gov/services/cjis/nics/,"1998-present","states / territories",monthly / annual,"current and archived NICS downloads","official hub","Use this as the canonical source for current files"
gun_market,Data Liberation Project NICS extraction,Data Liberation Project,https://www.data-liberation-project.org/datasets/nics-firearm-background-checks/,"1998-present","states / territories",monthly,"CSV-friendly extraction of official NICS PDFs","derived convenience dataset","Very useful for dashboards and website builds"
gun_market,ATF Firearms Commerce report,ATF,https://www.atf.gov/resource-center/data-statistics,"comparative data as far back as 1975; current page offers 2024 report","national and state",annual,"manufacturing, imports, FFLs, commerce context","official primary source","Useful market and industry context series"
gun_market,ATF AFMER,ATF,https://www.atf.gov/explosives/2023-annual-firearms-manufacturers-and-export-report-afmer,"annual with publication lag; latest confirmed page here is 2023 final report","manufacturer / national totals",annual,"manufacturing and export counts","official primary source","Best direct manufacturing source"
gun_market,ATF NFCTA volumes,ATF,https://www.atf.gov/firearms/national-firearms-commerce-and-trafficking-assessment-nfcta-crime-guns-volume-one,"select series 2000-2024","national,state,trafficking / crime-gun contexts",report-based,"crime-gun, trafficking, commerce, industry datasets","official report series","Strong supplement if studying diversion or trafficking channels"
injury_mortality,CDC WONDER Multiple Cause of Death,CDC,https://wonder.cdc.gov/mcd.html,"county-level mortality files; commonly used for modern post-1999 firearm analyses","county,state,national",annual / monthly,"firearm homicide, suicide, accident, legal intervention, broader mortality categories","official primary source","Standard mortality source in gun-policy papers"
injury_mortality,CDC WISQARS,CDC,https://wisqars.cdc.gov/,"2001-present","national and state for fatal injuries",annual,"fatal and nonfatal injury reports","official query system","Easy way to pull firearm injury outcome tables"
injury_mortality,CDC WISQARS injury reports help,CDC,https://wisqars.cdc.gov/help/injury-reports,"2001-present","documentation",documentation,"coverage and filters","current help page","Useful methods citation"
injury_mortality,CDC NVDRS in WISQARS,CDC,https://wisqars.cdc.gov/about/nvdrs-data,"2003-present","participating areas; now all states funded",annual,"violent death circumstances and mechanisms","official surveillance source","Best circumstances data for firearm homicides and suicides"
demographics,ACS API,U.S. Census Bureau,https://www.census.gov/programs-surveys/acs/data/data-via-api.html,"modern ACS era","national,state,county,tract and many other geographies",annual,"population, race/ethnicity, age, education, income, poverty, housing, insurance, migration, family structure","official primary source","Main all-purpose demographic and socioeconomic control source"
demographics,SAIPE,U.S. Census Bureau,https://www.census.gov/programs-surveys/saipe.html,"annual; latest verified release is 2024","state and county",annual,"single-year income and poverty estimates","official primary source","Often better than raw ACS for county poverty and income controls"
demographics,Census population estimates,U.S. Census Bureau,https://www2.census.gov/programs-surveys/popest/technical-documentation/file-layouts/2020-2025/CO-EST2025-ALLDATA.pdf,"current vintage releases through 2025 as of 2026-03","state and county",annual,"resident population estimates and components of change","official primary source","Best newest denominator for rates"
demographics,SEER population data,NCI / SEER,https://seer.cancer.gov/popdata/download.html,"1969-2024","state and county with age/sex/race detail",annual,"population denominators","official program source","Best long-run denominator source with demographic detail"
economics,BLS Local Area Unemployment Statistics,BLS,https://www.bls.gov/opub/hom/lau/pdf/lau.pdf,"historical monthly and annual series","state,county,metro",monthly / annual,"labor force, employment, unemployment, unemployment rate","official primary source","Standard labor-market control"
economics,BEA regional accounts,BEA,https://www.bea.gov/data/economic-accounts/regional,"state data through 2025; county personal income and GDP through 2024","state and county",annual / quarterly,"personal income, GDP, earnings, employment context","official primary source","Standard macroeconomic control stack"
policing,BJS LEMAS,BJS,https://bjs.ojp.gov/data-collection/law-enforcement-management-and-administrative-statistics-lemas,"periodic since 1987","agency-level",periodic,"sworn officers, civilians, policies, equipment, administration","official survey source","Best police-capacity and policing-style supplement"
policing,Census ASPEP,U.S. Census Bureau,https://www.census.gov/aspep,"annual","state and local government",annual,"public employment and payroll including police protection","official primary source","Good broad public-safety staffing control"
