outcome,spec,control_rule,g_cohort,t_year,event_time,n_treated,n_control,att,se
firearm_suicide_rate,or,broad,2010,1999,-11,2,42,-1.0621103775249254,0.6436006469754831
firearm_suicide_rate,or,broad,2010,2000,-10,2,42,-2.3686133440742547,1.6819906769477442
firearm_suicide_rate,or,broad,2010,2001,-9,2,42,-0.6566799358539377,1.3353728846275499
firearm_suicide_rate,or,broad,2010,2002,-8,2,42,1.1169840786947758,0.2827295666667586
firearm_suicide_rate,or,broad,2010,2003,-7,2,42,0.6162087833077228,0.3540109103525318
firearm_suicide_rate,or,broad,2010,2004,-6,2,42,-2.053216290434503,2.290616410566093
firearm_suicide_rate,or,broad,2010,2005,-5,2,42,-1.6040601539831718,1.643337738412106
firearm_suicide_rate,or,broad,2010,2006,-4,2,42,-0.049649663242718856,0.4295806454225626
firearm_suicide_rate,or,broad,2010,2007,-3,2,42,0.02609416191308611,1.3595972662797442
firearm_suicide_rate,or,broad,2010,2008,-2,2,42,0.43780145005276727,0.570970496801444
firearm_suicide_rate,or,broad,2010,2010,0,2,42,0.2868424470313379,0.6826243245735988
firearm_suicide_rate,or,broad,2010,2011,1,2,42,-0.01827038454006502,0.4780926375964161
firearm_suicide_rate,or,broad,2010,2012,2,2,42,1.0659710717756012,0.6313256752393237
firearm_suicide_rate,or,broad,2010,2013,3,2,42,0.32559908424628325,0.7763140701027023
firearm_suicide_rate,or,broad,2010,2014,4,2,42,-0.842042336895248,1.2967667525291475
firearm_suicide_rate,or,broad,2010,2015,5,2,42,0.2928341587125085,0.3146644586875423
firearm_suicide_rate,or,broad,2010,2016,6,2,42,0.09806579199222765,1.216231001928217
firearm_suicide_rate,or,broad,2010,2017,7,2,42,1.6135595915962326,1.0519646169874848
firearm_suicide_rate,or,broad,2010,2018,8,2,42,2.295575961454074,0.34311043834154353
firearm_suicide_rate,or,broad,2010,2019,9,2,42,1.223666815276293,1.2393187862368644
firearm_suicide_rate,or,broad,2010,2020,10,2,42,2.8528665607360324,1.5801685291069731
firearm_suicide_rate,or,broad,2010,2021,11,2,42,3.079659636783766,2.0041477569634005
firearm_suicide_rate,or,broad,2010,2022,12,2,42,0.13968626395171624,0.23819972409399578
firearm_suicide_rate,or,broad,2010,2023,13,2,42,1.8424535947282785,0.33792629635951127
firearm_suicide_rate,or,broad,2018,1999,-19,2,42,0.46586371752104094,0.5829691436429
firearm_suicide_rate,or,broad,2018,2000,-18,2,42,0.5620629864765707,0.5779505044175332
firearm_suicide_rate,or,broad,2018,2001,-17,2,42,0.12988629210628044,0.804677187026742
firearm_suicide_rate,or,broad,2018,2002,-16,2,42,0.9588537711256557,0.26168225897515784
firearm_suicide_rate,or,broad,2018,2003,-15,2,42,-0.15022702427858237,1.0266639158456456
firearm_suicide_rate,or,broad,2018,2004,-14,2,42,1.1059915665765252,0.319443760831658
firearm_suicide_rate,or,broad,2018,2005,-13,2,42,-0.8708228076949549,0.899176556755387
firearm_suicide_rate,or,broad,2018,2006,-12,2,42,0.08261501981160801,0.6325275543007939
firearm_suicide_rate,or,broad,2018,2007,-11,2,42,0.14714843519986065,0.7004301804360576
firearm_suicide_rate,or,broad,2018,2008,-10,2,42,0.09065743008182059,0.8295418248059233
firearm_suicide_rate,or,broad,2018,2009,-9,2,42,1.4978943367468458,0.23537291040348612
firearm_suicide_rate,or,broad,2018,2010,-8,2,42,1.6046014042298204,0.43209693191151116
firearm_suicide_rate,or,broad,2018,2011,-7,2,42,1.9028661835971197,0.6037260226467543
firearm_suicide_rate,or,broad,2018,2012,-6,2,42,0.09462944131266737,0.6586220518767135
firearm_suicide_rate,or,broad,2018,2013,-5,2,42,0.5402742794589436,0.21064496141071995
firearm_suicide_rate,or,broad,2018,2014,-4,2,42,0.39845329343718405,0.17994959336494995
firearm_suicide_rate,or,broad,2018,2015,-3,2,42,0.2986138491591904,0.19283770630656707
firearm_suicide_rate,or,broad,2018,2016,-2,2,42,0.9559072670209985,0.4469786659881486
