outcome,spec,control_rule,tier,event_time,att,se,n_cohorts,total_treated_states
firearm_homicide_rate,or,broad,all,-5,0.2259526138095237,0.081685402659297,4,6
firearm_homicide_rate,or,broad,all,-4,-0.021668049511904736,0.13702701224549596,4,6
firearm_homicide_rate,or,broad,all,-3,-0.27651936437698416,0.11103765809952043,4,6
firearm_homicide_rate,or,broad,all,-2,-0.5795172303178473,0.06828085743897146,4,6
firearm_homicide_rate,or,broad,all,0,-0.2093704187222223,0.07538094448743002,4,6
firearm_homicide_rate,or,broad,all,1,-0.134212856952381,0.09764700584594431,3,5
firearm_homicide_rate,or,broad,all,2,-0.661544846048316,0.25293681249182454,3,5
firearm_homicide_rate,or,broad,all,3,-0.5151027580959642,0.09863686616848509,3,4
firearm_homicide_rate,or,broad,all,4,-0.16766665202380976,0.11529345588644575,3,5
firearm_homicide_rate,or,broad,all,5,-0.5481150238928574,0.25369644970837296,2,4
firearm_homicide_rate,or,strict,all,-5,0.3577978055118055,0.09068159697139452,4,6
firearm_homicide_rate,or,strict,all,-4,0.1049857376927083,0.14618402661632535,4,6
firearm_homicide_rate,or,strict,all,-3,-0.2185836274659722,0.11796279213459313,4,6
firearm_homicide_rate,or,strict,all,-2,-0.5089746812481406,0.06871151787968918,4,6
firearm_homicide_rate,or,strict,all,0,-0.18381525478888894,0.08061367512861801,4,6
firearm_homicide_rate,or,strict,all,1,-0.15858544433958338,0.10457023998841397,3,5
firearm_homicide_rate,or,strict,all,2,-0.7262224648423925,0.26298328940610305,3,5
firearm_homicide_rate,or,strict,all,3,-0.6325447689738242,0.10116881302023413,3,4
firearm_homicide_rate,or,strict,all,4,-0.3388142960475001,0.13217927174046792,3,5
firearm_homicide_rate,or,strict,all,5,-0.652582943147917,0.26988560923852456,2,4
firearm_homicide_rate,ra,broad,expanded,-5,0.07827689520811637,0.22484947248513423,4,5
firearm_homicide_rate,ra,broad,expanded,-4,0.2955268273516825,0.175078341852062,4,5
firearm_homicide_rate,ra,broad,expanded,-3,-0.3872986943819877,0.14890247785446237,4,5
