outcome,spec,control_rule,tier,att_overall_post,se_overall_post,z,att_pretrends_avg,se_pretrends_avg,z_pretrends,n_post_cells,n_pre_cells
firearm_homicide_rate,or,broad,all,-0.6204420344358758,0.06831005316100669,-9.082733883598287,-0.16293800759930313,0.05150275726925084,-3.163675427074338,26,16
firearm_homicide_rate,or,strict,all,-0.7310249074353482,0.07344488775319324,-9.953380416236863,-0.06619369137739972,0.05490299097303637,-1.2056481842657418,26,16
firearm_homicide_rate,ra,broad,expanded,-0.7915529075727142,0.09689261169488603,-8.16938354459169,-0.0848076191566649,0.08704109887384152,-0.9743399411763648,26,16
firearm_homicide_rate,ra,broad,headline,-0.3665393117295388,0.09021811746391854,-4.0628126814564824,-0.16029818815764585,0.06704287344814225,-2.3909802774434588,26,16
firearm_homicide_rate,ra,broad,minimal,-0.5437080859574234,0.0534699897892189,-10.168471849363447,-0.33104638639180617,0.04484646771984309,-7.381771702954635,26,16
firearm_homicide_rate,ra,strict,expanded,-0.5499103626570379,0.09319352483591917,-5.900735739153933,0.12438290672838914,0.080209215937548,1.5507308639600141,26,16
firearm_homicide_rate,ra,strict,headline,-0.2630205818639422,0.08931134634687012,-2.944985073256145,-0.20634444052513679,0.06485726120984789,-3.181516405040637,26,16
firearm_homicide_rate,ra,strict,minimal,-0.5281360985600874,0.056110684663889014,-9.412398043682728,-0.4030032326618094,0.04552050442088354,-8.853224229143708,26,16
firearm_suicide_rate,or,broad,all,0.6899218217360946,0.1684714191080021,4.095186147234896,0.21052485541142618,0.19317054843752454,1.0898393006297975,26,16
firearm_suicide_rate,or,strict,all,0.5823983242466825,0.16912683889954533,3.443559449441399,0.3073471606610154,0.19373986338970425,1.5863909227745874,26,16
firearm_suicide_rate,ra,broad,expanded,-0.8157310386233996,0.16095691391787426,-5.068008691068801,-1.6517663459544807,0.31501792183328564,-5.243404363605165,26,16
firearm_suicide_rate,ra,broad,headline,-0.9724772532785879,0.1583549582409375,-6.141122855142692,-1.458450222824995,0.3105089189026515,-4.69696724969835,26,16
