policy,spec_name,outcome,outcome_label,outcome_stratum,bandwidth_km,donut_km,fe,cluster,covariates,drop_spillover_pairs,beta,se,z,n,n_counties,n_pairs,n_treated_post,n_straddling_pair_years
age21_handgun,headline,county_violent_crime_rate,"County violent crime rate (per 100,000)",primary,100,0,pair_year,state,,0,-31.284080648566377,30.204793341936004,-1.0357323188545675,31248,1953,101,6349,594
age21_handgun,headline,county_murder_rate,"County murder rate (per 100,000)",primary,100,0,pair_year,state,,0,-0.4642493706442676,0.3433207684560841,-1.3522321202180696,31248,1953,101,6349,594
age21_handgun,headline,county_property_crime_rate,"County property crime rate (per 100,000)",primary,100,0,pair_year,state,,0,-269.0219050902259,75.95545633716124,-3.5418377831350982,31248,1953,101,6349,594
age21_handgun,headline,county_burglary_rate,"County burglary rate (per 100,000) [placebo]",primary,100,0,pair_year,state,,0,-56.51548529669202,12.826712694342463,-4.406077117609375,31248,1953,101,6349,594
age21_handgun,headline,county_motor_vehicle_theft_rate,"County motor vehicle theft rate (per 100,000) [placebo]",primary,100,0,pair_year,state,,0,-23.558103469029383,5.909201702443777,-3.9866812228269044,31248,1953,101,6349,594
age21_handgun,headline,state_firearm_suicide_rate,"State firearm suicide rate (per 100,000)",secondary,100,0,pair_year,state,,0,-0.18905706051431131,0.2364012449687027,-0.7997295468530239,29295,1953,101,5898,553
age21_handgun,headline,state_total_suicide_rate,"State total suicide rate (per 100,000)",secondary,100,0,pair_year,state,,0,-0.01099115317635264,0.5900126522916601,-0.01862867369650812,29295,1953,101,5898,553
age21_handgun,headline,state_nonfirearm_suicide_rate,"State non-firearm suicide rate (per 100,000) [substitution]",secondary,100,0,pair_year,state,,0,0.17806590733795796,0.3650059607841329,0.48784383398951503,29295,1953,101,5898,553
age21_handgun,headline,state_firearm_homicide_rate,"State firearm homicide rate (per 100,000)",secondary,100,0,pair_year,state,,0,-0.8196488386983132,0.4209662736282272,-1.9470653352676397,29271,1953,101,5884,552
age21_handgun,bw_50km,county_violent_crime_rate,"County violent crime rate (per 100,000)",primary,50,0,pair_year,state,,0,-52.59196015476329,42.243411225101106,-1.244974272426017,14416,901,88,3302,496
age21_handgun,bw_50km,county_murder_rate,"County murder rate (per 100,000)",primary,50,0,pair_year,state,,0,0.13080926176792268,0.7766311525660744,0.16843164394798554,14416,901,88,3302,496
age21_handgun,bw_50km,county_property_crime_rate,"County property crime rate (per 100,000)",primary,50,0,pair_year,state,,0,-216.77474609250325,78.99863086102214,-2.74403168421821,14416,901,88,3302,496
age21_handgun,bw_50km,county_burglary_rate,"County burglary rate (per 100,000) [placebo]",primary,50,0,pair_year,state,,0,-99.5489112112205,17.121395311727493,-5.814298974980932,14416,901,88,3302,496
age21_handgun,bw_50km,county_motor_vehicle_theft_rate,"County motor vehicle theft rate (per 100,000) [placebo]",primary,50,0,pair_year,state,,0,-43.81805919793414,13.321652692981768,-3.289235968523542,14416,901,88,3302,496
age21_handgun,bw_50km,state_firearm_suicide_rate,"State firearm suicide rate (per 100,000)",secondary,50,0,pair_year,state,,0,-0.1448959109885175,0.2634759143042095,-0.5499398735218756,13515,901,88,3075,464
age21_handgun,bw_50km,state_total_suicide_rate,"State total suicide rate (per 100,000)",secondary,50,0,pair_year,state,,0,0.17972628024480833,0.6145274476362849,0.29246257581513496,13515,901,88,3075,464
age21_handgun,bw_50km,state_nonfirearm_suicide_rate,"State non-firearm suicide rate (per 100,000) [substitution]",secondary,50,0,pair_year,state,,0,0.3246221912333261,0.3696686556404068,0.8781436734768787,13515,901,88,3075,464
age21_handgun,bw_50km,state_firearm_homicide_rate,"State firearm homicide rate (per 100,000)",secondary,50,0,pair_year,state,,0,-0.5942779511606762,0.3798726264611398,-1.564413726508587,13499,901,88,3065,463
age21_handgun,bw_200km,county_violent_crime_rate,"County violent crime rate (per 100,000)",primary,200,0,pair_year,state,,0,-28.04798814447855,27.027199926646166,-1.0377689224412028,45008,2813,105,8741,594
age21_handgun,bw_200km,county_murder_rate,"County murder rate (per 100,000)",primary,200,0,pair_year,state,,0,-0.3150063630649901,0.2802632674744044,-1.1239659264079573,45008,2813,105,8741,594
age21_handgun,bw_200km,county_property_crime_rate,"County property crime rate (per 100,000)",primary,200,0,pair_year,state,,0,-188.59782002688362,59.790283260262086,-3.1543222367074786,45008,2813,105,8741,594
age21_handgun,bw_200km,county_burglary_rate,"County burglary rate (per 100,000) [placebo]",primary,200,0,pair_year,state,,0,-46.12662447941063,16.889190341488018,-2.731132964148159,45008,2813,105,8741,594
age21_handgun,bw_200km,county_motor_vehicle_theft_rate,"County motor vehicle theft rate (per 100,000) [placebo]",primary,200,0,pair_year,state,,0,-20.63318594632757,5.301902410243537,-3.891657060013635,45008,2813,105,8741,594
age21_handgun,bw_200km,state_firearm_suicide_rate,"State firearm suicide rate (per 100,000)",secondary,200,0,pair_year,state,,0,-0.24878157502571815,0.21179295714338298,-1.1746451741419053,42195,2813,105,8095,553
age21_handgun,bw_200km,state_total_suicide_rate,"State total suicide rate (per 100,000)",secondary,200,0,pair_year,state,,0,-0.1723881005156056,0.5604438763612577,-0.30759208510735087,42195,2813,105,8095,553
age21_handgun,bw_200km,state_nonfirearm_suicide_rate,"State non-firearm suicide rate (per 100,000) [substitution]",secondary,200,0,pair_year,state,,0,0.07639347451011326,0.3615263820411459,0.21130815980510875,42195,2813,105,8095,553
age21_handgun,bw_200km,state_firearm_homicide_rate,"State firearm homicide rate (per 100,000)",secondary,200,0,pair_year,state,,0,-0.8413782650912413,0.41868486085171347,-2.009574130241203,42171,2813,105,8081,552
age21_handgun,donut_10km,county_violent_crime_rate,"County violent crime rate (per 100,000)",primary,100,10,pair_year,state,,0,-31.727471743595267,30.3875116572501,-1.0440957489859315,31104,1944,101,6263,594
age21_handgun,donut_10km,county_murder_rate,"County murder rate (per 100,000)",primary,100,10,pair_year,state,,0,-0.4705505546814196,0.34606767375874115,-1.3597067578448858,31104,1944,101,6263,594
