outcome,year,event_time,y_treated,y_synthetic,effect
firearm_suicide_rate,2006,-12,6.782794521293082,6.841608874399707,-0.05881435310662564
firearm_suicide_rate,2007,-11,7.035137278047309,7.261996356035778,-0.22685907798846827
firearm_suicide_rate,2008,-10,7.622075976329553,7.660731961023939,-0.038655984694385914
firearm_suicide_rate,2009,-9,7.940459928485153,7.607944757727916,0.3325151707572376
firearm_suicide_rate,2010,-8,7.733503676073636,7.5909841415102886,0.14251953456334743
firearm_suicide_rate,2011,-7,7.818426951387541,7.74665044180325,0.07177650958429105
firearm_suicide_rate,2012,-6,8.023784360432948,7.807749231087102,0.21603512934584668
firearm_suicide_rate,2013,-5,8.009058521362093,7.986192755601711,0.022865765760381684
firearm_suicide_rate,2014,-4,7.731247364376051,7.728800014384638,0.0024473499914128283
firearm_suicide_rate,2015,-3,8.04093596099939,8.077066616950447,-0.03613065595105702
firearm_suicide_rate,2016,-2,8.11160678268108,8.23067565547547,-0.11906887279439005
firearm_suicide_rate,2017,-1,8.210861401803244,8.533138894272389,-0.3222774924691443
firearm_suicide_rate,2018,0,8.77492596596371,8.899425524502995,-0.1244995585392843
firearm_suicide_rate,2019,1,8.418019086461483,8.56052547494697,-0.14250638848548824
firearm_suicide_rate,2020,2,7.960130513011546,8.669726051628853,-0.7095955386173074
firearm_suicide_rate,2021,3,8.831094282970339,9.609397558426606,-0.7783032754562669
firearm_suicide_rate,2022,4,8.883204273661319,9.587106121305675,-0.7039018476443566
firearm_suicide_rate,2023,5,9.163990816275389,9.639743607835602,-0.4757527915602129
firearm_homicide_rate,2006,-12,4.438943766,4.725898923398886,-0.2869551573988858
firearm_homicide_rate,2007,-11,5.12293875,4.839737087450683,0.28320166254931767
firearm_homicide_rate,2008,-10,4.83404389,4.579978037677779,0.25406585232222145
firearm_homicide_rate,2009,-9,4.337044689,4.402664213204708,-0.06561952420470796
firearm_homicide_rate,2010,-8,4.079502971,4.04545174844242,0.034051222557580196
firearm_homicide_rate,2011,-7,4.287016657,4.271236953960816,0.015779703039183524
firearm_homicide_rate,2012,-6,4.462259431,4.476088171278552,-0.01382874027855241
firearm_homicide_rate,2013,-5,4.173302525,4.2372622991221505,-0.06395977412215004
firearm_homicide_rate,2014,-4,4.111937805,3.9301197318141883,0.1818180731858119
firearm_homicide_rate,2015,-3,4.341118801,4.358583369172148,-0.01746456817214792
firearm_homicide_rate,2016,-2,4.812627948,4.881695706242411,-0.06906775824241063
firearm_homicide_rate,2017,-1,4.512876232,4.728757530237216,-0.2158812982372158
firearm_homicide_rate,2018,0,4.586999823,4.6861866511323695,-0.09918682813236934
firearm_homicide_rate,2019,1,4.7165118,4.951815101705886,-0.2353033017058861
firearm_homicide_rate,2020,2,5.645711063,6.96357479831192,-1.3178637353119198
firearm_homicide_rate,2021,3,5.26751,7.516806735946171,-2.2492967359461717
firearm_homicide_rate,2022,4,5.22804,7.084255347144034,-1.8562153471440341
firearm_homicide_rate,2023,5,4.6453,6.68728119961942,-2.0419811996194204
homicide_rate,2006,-12,6.241055776575289,6.354309028944932,-0.11325325236964368
homicide_rate,2007,-11,6.585852810134631,6.502195589147016,0.08365722098761541
homicide_rate,2008,-10,6.372644767611251,6.203232908022297,0.169411859588954
homicide_rate,2009,-9,5.486037871786278,5.492183429514851,-0.006145557728572726
homicide_rate,2010,-8,5.239239215753304,5.206361599201857,0.03287761655144639
homicide_rate,2011,-7,5.156621369101839,5.2988854421931855,-0.14226407309134625
homicide_rate,2012,-6,5.222364826539592,5.077637571682682,0.1447272548569103
homicide_rate,2013,-5,4.959104985630075,4.838121395821813,0.12098358980826251
homicide_rate,2014,-4,4.933292788565853,4.902575601061505,0.030717187504348153
homicide_rate,2015,-3,5.142032216091409,5.210852768936867,-0.06882055284545796
homicide_rate,2016,-2,5.378429129804538,5.432101478870997,-0.05367234906645901
homicide_rate,2017,-1,5.038897235671464,5.2193983960288115,-0.18050116035734742
homicide_rate,2018,0,5.21080531795868,4.780219411517862,0.4305859064408182
homicide_rate,2019,1,5.220533577615841,5.380545349773945,-0.16001177215810358
homicide_rate,2020,2,5.935588648430575,6.976262138978237,-1.040673490547662
homicide_rate,2021,3,4.292638070733605,6.6162819106933854,-2.3236438399597805
homicide_rate,2022,4,5.372036450908151,6.769911875419886,-1.397875424511735
homicide_rate,2023,5,4.824301978077323,6.14513215054535,-1.3208301724680265
motor_vehicle_theft_rate,2006,-12,422.63390464330126,431.3264959947232,-8.692591351421925
motor_vehicle_theft_rate,2007,-11,403.4245777123235,396.3454063286964,7.079171383627113
motor_vehicle_theft_rate,2008,-10,346.5398393962574,341.2587977479224,5.281041648334963
motor_vehicle_theft_rate,2009,-9,271.11384208270067,258.9197310116609,12.1941110710398
motor_vehicle_theft_rate,2010,-8,220.0905130329924,226.31437523512773,-6.2238622021353365
motor_vehicle_theft_rate,2011,-7,207.6326171394146,208.58691338249656,-0.9542962430819557
