outcome,donor,weight
firearm_suicide_rate,GA,0.03133880018687189
firearm_suicide_rate,MN,0.18601899027322893
firearm_suicide_rate,MS,0.17581588892822023
firearm_suicide_rate,NC,0.1746538719770436
firearm_suicide_rate,NV,0.12480426269405571
firearm_suicide_rate,OK,0.044790250199047685
firearm_suicide_rate,SD,0.002554041725408159
firearm_suicide_rate,TX,0.26002389401610615
firearm_homicide_rate,AZ,0.04059891408358657
firearm_homicide_rate,LA,0.15933283983443913
firearm_homicide_rate,ME,0.22221541639390888
firearm_homicide_rate,MI,0.22707366262491188
firearm_homicide_rate,MS,0.03866510752571591
firearm_homicide_rate,NC,0.20827077451412182
firearm_homicide_rate,SD,0.10384328502331237
homicide_rate,AZ,0.23381380504352048
homicide_rate,GA,0.16059248998056086
homicide_rate,ME,0.0744497179687844
homicide_rate,MI,0.08422897549815707
homicide_rate,MS,0.15303264677952286
homicide_rate,ND,0.0015335076048453994
homicide_rate,NM,0.07452782157990494
homicide_rate,SD,0.2178210355447011
motor_vehicle_theft_rate,AZ,0.13619197586995946
motor_vehicle_theft_rate,GA,0.07389218200171328
motor_vehicle_theft_rate,LA,0.2875971572035741
motor_vehicle_theft_rate,NC,0.4034713569967779
motor_vehicle_theft_rate,NM,0.02274579871075054
motor_vehicle_theft_rate,WI,0.07607235110604318
