outcome,year,event_time,y_treated,y_synthetic,effect
firearm_suicide_rate,2006,-12,6.892041775389961,7.5676618901440476,-0.6756201147540866
firearm_suicide_rate,2007,-11,6.921484610159451,7.67010946910982,-0.748624858950369
firearm_suicide_rate,2008,-10,7.082266969272619,7.793962051036295,-0.7116950817636756
firearm_suicide_rate,2009,-9,9.48919197117859,8.533450296551855,0.9557416746267346
firearm_suicide_rate,2010,-8,10.547494890058347,8.977566421175343,1.5699284688830044
firearm_suicide_rate,2011,-7,11.174415059280271,9.590813890859032,1.5836011684212394
firearm_suicide_rate,2012,-6,7.987080099231482,9.333381524682604,-1.3463014254511219
firearm_suicide_rate,2013,-5,9.41544452069004,9.54266610342833,-0.1272215827382901
firearm_suicide_rate,2014,-4,9.416466367254955,9.723788015334256,-0.3073216480793004
firearm_suicide_rate,2015,-3,9.424287827334268,10.119729492569745,-0.6954416652354762
firearm_suicide_rate,2016,-2,11.0471762456892,10.70176749680061,0.3454087488885911
firearm_suicide_rate,2017,-1,9.941361998662726,10.180731781743216,-0.23936978308048928
firearm_suicide_rate,2018,0,11.176770200814628,10.628237825812374,0.5485323750022548
firearm_suicide_rate,2019,1,9.455294885005983,10.448192630917934,-0.9928977459119501
firearm_suicide_rate,2020,2,11.069276021220926,11.025817431052113,0.043458590168812705
firearm_suicide_rate,2021,3,11.433692310069372,11.852987338449088,-0.41929502837971633
firearm_suicide_rate,2022,4,10.645815268876266,11.47093296280918,-0.8251176939329135
firearm_suicide_rate,2023,5,10.48237419609439,12.10142584268138,-1.619051646586989
homicide_rate,2006,-12,2.243920578033941,2.059785971971237,0.18413460606270382
homicide_rate,2007,-11,2.092541858885416,2.098049719891387,-0.005507861005971115
homicide_rate,2008,-10,2.7363304199462397,1.9986507531113666,0.7376796668348731
homicide_rate,2009,-9,1.2866700977869274,1.6347818882131957,-0.3481117904262683
homicide_rate,2010,-8,1.1183734376722494,1.536750239066548,-0.41837680139429856
homicide_rate,2011,-7,1.7555283182677086,1.820593305378782,-0.06506498711107334
homicide_rate,2012,-6,1.2780512274883258,1.7738836804886202,-0.49583245300029444
homicide_rate,2013,-5,1.5952652527298978,1.8401504192218265,-0.2448851664919287
homicide_rate,2014,-4,1.595489232840912,1.932700420364709,-0.33721118752379686
homicide_rate,2015,-3,1.5972195601896215,2.0449730859840836,-0.44775352579446204
homicide_rate,2016,-2,2.2459148413261167,2.2794714248222525,-0.03355658349613577
homicide_rate,2017,-1,2.722068772266923,2.0446151208297514,0.6774536514371716
homicide_rate,2018,0,1.7618097309556375,2.001707996074941,-0.23989826511930334
homicide_rate,2019,1,1.7626905708874026,2.266256970886347,-0.5035663999989446
homicide_rate,2020,2,2.245940062276709,2.3742985615479077,-0.12835849927119858
homicide_rate,2021,3,1.3910957506661803,2.050874466930928,-0.6597787162647477
homicide_rate,2022,4,3.3999728002175984,2.8563690732802236,0.5436037269373748
homicide_rate,2023,5,2.6205935490235976,2.4132126780337213,0.20738087098987634
motor_vehicle_theft_rate,2006,-12,99.37362559864596,279.4259597855436,-180.05233418689767
motor_vehicle_theft_rate,2007,-11,104.46612818589496,260.96816491424494,-156.50203672835
motor_vehicle_theft_rate,2008,-10,94.32291918167624,223.78750868509016,-129.46458950341392
motor_vehicle_theft_rate,2009,-9,72.2143592382913,190.9752084908699,-118.76084925257861
motor_vehicle_theft_rate,2010,-8,70.13799130544535,171.82655012562577,-101.68855882018042
motor_vehicle_theft_rate,2011,-7,84.26535927685,171.19180217461013,-86.92644289776013
motor_vehicle_theft_rate,2012,-6,73.48794558057874,172.05403762764558,-98.56609204706685
motor_vehicle_theft_rate,2013,-5,53.76043901699755,177.72936312927186,-123.96892411227431
motor_vehicle_theft_rate,2014,-4,40.52542651415917,179.02490924482422,-138.49948273066505
motor_vehicle_theft_rate,2015,-3,31.305503379716587,195.4044809764183,-164.09897759670173
motor_vehicle_theft_rate,2016,-2,29.517737914571818,220.77693687262695,-191.25919895805512
motor_vehicle_theft_rate,2017,-1,36.02738080941516,221.61042546065332,-185.58304465123814
motor_vehicle_theft_rate,2018,0,42.283433542935306,211.98916892065944,-169.70573537772412
motor_vehicle_theft_rate,2019,1,48.71435759543367,204.116448075907,-155.4020904804733
motor_vehicle_theft_rate,2020,2,42.35201260293224,231.607091577158,-189.25507897422577
motor_vehicle_theft_rate,2021,3,73.88264097982602,231.71754259845346,-157.83490161862744
motor_vehicle_theft_rate,2022,4,97.20831324258496,230.27600391971225,-133.0676906771273
motor_vehicle_theft_rate,2023,5,92.49153702436226,230.99906623553917,-138.50752921117692
