outcome,year,event_time,y_treated,y_synthetic,effect
firearm_suicide_rate,2007,-12,6.3848628352130286,6.541603898521168,-0.15674106330813942
firearm_suicide_rate,2008,-11,6.7030842127250505,6.6653533820826265,0.037730830642423996
firearm_suicide_rate,2009,-10,7.052614756921128,6.696085467040019,0.35652928988110855
firearm_suicide_rate,2010,-9,6.900100229904202,6.910844996414898,-0.010744766510696557
firearm_suicide_rate,2011,-8,7.247397452254293,7.048531518386995,0.19886593386729778
firearm_suicide_rate,2012,-7,7.669988104993872,7.386662749239124,0.28332535575474793
firearm_suicide_rate,2013,-6,6.928301120319201,7.263035392694175,-0.3347342723749742
firearm_suicide_rate,2014,-5,7.802841593818903,7.457378958756249,0.3454626350626544
firearm_suicide_rate,2015,-4,7.4891731241608674,7.59533749810468,-0.1061643739438125
firearm_suicide_rate,2016,-3,7.066410537870472,7.531047150667936,-0.46463661279746393
firearm_suicide_rate,2017,-2,8.628438767048761,8.63782517141757,-0.009386404368807888
firearm_suicide_rate,2018,-1,7.948945212127357,8.078247192672515,-0.12930198054515873
firearm_suicide_rate,2019,0,8.365186483907259,8.150097558541198,0.21508892536606083
firearm_suicide_rate,2020,1,8.03263798590311,8.140216683606376,-0.107578697703266
firearm_suicide_rate,2021,2,7.967705610711075,9.683889022411357,-1.7161834117002819
firearm_suicide_rate,2022,3,8.532069611937096,9.204862622988859,-0.6727930110517626
firearm_suicide_rate,2023,4,8.857982110948772,9.258449640041114,-0.4004675290923423
firearm_homicide_rate,2007,-12,1.917004822,1.9519492124413853,-0.03494439044138531
firearm_homicide_rate,2008,-11,1.939161036,1.8394062324990552,0.09975480350094479
firearm_homicide_rate,2009,-10,1.770656471,1.7874067940237899,-0.01675032302378998
firearm_homicide_rate,2010,-9,1.695283246,1.651518080832852,0.04376516516714801
firearm_homicide_rate,2011,-8,1.288426214,1.5560251928936777,-0.2675989788936777
firearm_homicide_rate,2012,-7,1.841377106,1.6517002902244606,0.1896768157755393
firearm_homicide_rate,2013,-6,1.663939814,1.660030357348813,0.0039094566511868045
firearm_homicide_rate,2014,-5,1.699348441,1.6844656910396003,0.014882749960399622
firearm_homicide_rate,2015,-4,2.259303624,2.231710296156882,0.027593327843117965
firearm_homicide_rate,2016,-3,2.003293085,2.094598157269269,-0.09130507226926898
firearm_homicide_rate,2017,-2,2.228000621,2.2433195435868147,-0.015318922586814665
firearm_homicide_rate,2018,-1,2.295772156,2.264180655974002,0.03159150002599809
firearm_homicide_rate,2019,0,2.166806546,2.2796145617895984,-0.11280801578959831
firearm_homicide_rate,2020,1,2.742534976,3.2791297713611476,-0.5365947953611476
firearm_homicide_rate,2021,2,3.28006,3.311771394735093,-0.03171139473509266
firearm_homicide_rate,2022,3,4.01585,3.4669947680102906,0.5488552319897098
firearm_homicide_rate,2023,4,4.03445,2.7345972709026753,1.2998527290973243
homicide_rate,2007,-12,2.689990637595804,2.756578141361343,-0.06658750376553879
homicide_rate,2008,-11,2.946914016072744,3.011154794004684,-0.06424077793194005
homicide_rate,2009,-10,2.851057029393648,2.673479925221062,0.177577104172586
homicide_rate,2010,-9,2.2838668535285,2.4311556174074163,-0.1472887638789162
homicide_rate,2011,-8,2.388884972550539,2.6333716565296146,-0.24448668397907536
homicide_rate,2012,-7,3.147062978096151,2.8892975622981525,0.2577654157979987
homicide_rate,2013,-6,2.394697136773916,2.504754553584443,-0.11005741681052683
homicide_rate,2014,-5,2.520116333100482,2.5707471422938686,-0.05063080919338647
homicide_rate,2015,-4,3.044569423864117,2.936249482720976,0.10831994114314103
homicide_rate,2016,-3,2.678227820771346,2.871741378588135,-0.19351355781678903
homicide_rate,2017,-2,3.043593961940531,2.9989085824886947,0.04468537945183604
homicide_rate,2018,-1,3.136684065073436,2.958480886841001,0.17820317823243492
homicide_rate,2019,0,2.6924002340943503,3.0062474733273654,-0.31384723923301516
homicide_rate,2020,1,3.912336624202001,3.937581119982878,-0.025244495780877063
homicide_rate,2021,2,4.276074202160128,3.654236793671969,0.621837408488159
homicide_rate,2022,3,5.137567356719026,4.026510017765484,1.1110573389535414
homicide_rate,2023,4,4.810800629222178,4.66814853531443,0.14265209390774825
motor_vehicle_theft_rate,2007,-12,589.3243856617933,631.7508438994296,-42.426458237636325
motor_vehicle_theft_rate,2008,-11,444.8465955661312,468.98586311341927,-24.139267547288057
motor_vehicle_theft_rate,2009,-10,356.3371119842682,380.7056067371225,-24.368494752854303
motor_vehicle_theft_rate,2010,-9,381.7913524495955,322.8848631366996,58.90648931289587
motor_vehicle_theft_rate,2011,-8,363.7553682129103,318.5766320701203,45.17873614279
motor_vehicle_theft_rate,2012,-7,386.6826736634917,330.2966132100157,56.38606045347598
motor_vehicle_theft_rate,2013,-6,407.60039588502127,324.614988281982,82.98540760303928
motor_vehicle_theft_rate,2014,-5,432.6530057484137,320.74322966578853,111.90977608262517
motor_vehicle_theft_rate,2015,-4,376.6188240979066,348.8793786983385,27.739445399568126
motor_vehicle_theft_rate,2016,-3,443.9265621690843,409.0797805634888,34.84678160559554
motor_vehicle_theft_rate,2017,-2,395.4652066034676,400.4085509099629,-4.943344306495305
motor_vehicle_theft_rate,2018,-1,370.56732380640864,383.0005428601162,-12.433219053707546
motor_vehicle_theft_rate,2019,0,325.5177551318462,364.64204840931006,-39.12429327746389
motor_vehicle_theft_rate,2020,1,356.1266151711316,362.9255113686046,-6.7988961974729705
motor_vehicle_theft_rate,2021,2,460.09783296052257,420.2973170999946,39.80051586052798
motor_vehicle_theft_rate,2022,3,640.9115277506985,429.9669301819251,210.94459756877342
