outcome,donor,weight
firearm_suicide_rate,GA,0.10973424205817163
firearm_suicide_rate,IL,0.4702525062391665
firearm_suicide_rate,KS,0.009902535909758453
firearm_suicide_rate,MS,0.1497207872372722
firearm_suicide_rate,MT,0.1256456370508709
firearm_suicide_rate,OR,0.13474429150472877
firearm_homicide_rate,ID,0.2014814418803537
firearm_homicide_rate,IN,0.0076041372821784815
firearm_homicide_rate,MI,0.06636267727890437
firearm_homicide_rate,MN,0.2502965261365132
firearm_homicide_rate,MO,0.037976781819587815
firearm_homicide_rate,MT,0.246800425348482
firearm_homicide_rate,SD,0.1182581305991951
firearm_homicide_rate,TX,0.03178076944462673
firearm_homicide_rate,WI,0.039439110210156315
homicide_rate,AR,0.044361485707303354
homicide_rate,KY,0.12998703166545417
homicide_rate,ME,0.4186718132116176
homicide_rate,MN,0.16718146197380668
homicide_rate,MT,0.08170185348659838
homicide_rate,ND,0.11826515159182277
homicide_rate,TN,0.03983120236339176
motor_vehicle_theft_rate,ND,0.00010035840237027763
motor_vehicle_theft_rate,NM,0.11599701398104832
motor_vehicle_theft_rate,NV,0.49828745801945157
motor_vehicle_theft_rate,OK,0.38515817103416133
