outcome,donor,weight
firearm_suicide_rate,ID,0.12539882320053747
firearm_suicide_rate,KY,0.3413053788097704
firearm_suicide_rate,LA,0.029948698711466586
firearm_suicide_rate,MT,0.18154317290235103
firearm_suicide_rate,NM,0.3218039263752647
firearm_homicide_rate,AK,0.21074771512577817
firearm_homicide_rate,AR,0.13620748564241336
firearm_homicide_rate,ND,0.012279383306395275
firearm_homicide_rate,NM,0.18357658369814797
firearm_homicide_rate,OR,0.4571888322272386
homicide_rate,AR,0.05255364166049278
homicide_rate,KS,0.0663428575981937
homicide_rate,ME,0.07951498379461039
homicide_rate,ND,0.4218055049550381
homicide_rate,NM,0.12899701277102138
homicide_rate,NV,0.12683574157805058
homicide_rate,SD,0.12395025764255761
motor_vehicle_theft_rate,AK,0.007034895356862461
motor_vehicle_theft_rate,AL,0.016494156398389633
motor_vehicle_theft_rate,AR,0.03439146726080816
motor_vehicle_theft_rate,AZ,0.0014032578563804175
motor_vehicle_theft_rate,GA,0.0035722382753619617
motor_vehicle_theft_rate,ID,0.11615502054008135
motor_vehicle_theft_rate,IL,0.002187963195595624
motor_vehicle_theft_rate,IN,0.0057817394930485076
motor_vehicle_theft_rate,KS,0.008944868629948833
motor_vehicle_theft_rate,KY,0.021564426920272457
motor_vehicle_theft_rate,LA,0.010603537847396165
motor_vehicle_theft_rate,ME,0.024971154028115537
motor_vehicle_theft_rate,MI,0.031137798104949974
motor_vehicle_theft_rate,MN,0.003970517161415989
motor_vehicle_theft_rate,MS,0.04505721016710578
motor_vehicle_theft_rate,MT,0.04152413788551108
motor_vehicle_theft_rate,NC,0.0835714726644743
motor_vehicle_theft_rate,ND,0.09030257764436878
motor_vehicle_theft_rate,NH,0.053232364375498345
motor_vehicle_theft_rate,NM,0.040955368204053495
motor_vehicle_theft_rate,NV,0.016196991173156573
motor_vehicle_theft_rate,OK,0.017023163675785453
motor_vehicle_theft_rate,OR,0.019693335150609358
motor_vehicle_theft_rate,PA,0.027979095303947273
motor_vehicle_theft_rate,SD,0.07204749468507192
motor_vehicle_theft_rate,TN,0.026310033896161277
motor_vehicle_theft_rate,TX,0.04044506707210233
motor_vehicle_theft_rate,UT,0.12117862526063557
motor_vehicle_theft_rate,VA,0.0011462196821196231
motor_vehicle_theft_rate,WI,0.015123802090772034
