outcome,year,event_time,y_treated,y_synthetic,effect
firearm_suicide_rate,1999,-11,12.863375031086491,10.671139148260766,2.1922358828257256
firearm_suicide_rate,2000,-10,10.125926015934157,12.511978720534213,-2.386052704600056
firearm_suicide_rate,2001,-9,12.265769053665757,13.445048431261451,-1.1792793775956945
firearm_suicide_rate,2002,-8,16.371971185330715,12.765947628751372,3.606023556579343
firearm_suicide_rate,2003,-7,14.869357822174376,12.661117855490824,2.2082399666835517
firearm_suicide_rate,2004,-6,9.450121079676332,11.78925276458469,-2.3391316849083577
firearm_suicide_rate,2005,-5,10.948897973867329,13.838343194411317,-2.8894452205439887
firearm_suicide_rate,2006,-4,13.9804739380665,10.926377489370289,3.054096448696212
firearm_suicide_rate,2007,-3,12.814872903238149,12.56769606153376,0.24717684170438936
firearm_suicide_rate,2008,-2,16.332875261889207,14.015505142157568,2.3173701197316383
firearm_suicide_rate,2009,-1,15.066051775773056,13.20728384437426,1.8587679313987966
firearm_suicide_rate,2010,0,14.726077221419878,14.072478037333923,0.6535991840859552
firearm_suicide_rate,2011,1,14.784619771260813,14.462894104629369,0.3217256666314441
firearm_suicide_rate,2012,2,17.69567600952097,14.398485478765405,3.2971905307555645
firearm_suicide_rate,2013,3,15.2748267422742,14.447737073434116,0.8270896688400846
firearm_suicide_rate,2014,4,13.35266616793888,14.410646140129494,-1.0579799721906138
firearm_suicide_rate,2015,5,16.208644496653342,16.19072983370255,0.017914662950790472
firearm_suicide_rate,2016,6,14.859069412349424,15.096764290052437,-0.23769487770301367
firearm_suicide_rate,2017,7,17.08914839077186,18.648072763715003,-1.5589243729431423
firearm_suicide_rate,2018,8,18.69362703098469,14.686283041838736,4.007343989145953
firearm_suicide_rate,2019,9,19.69731788188175,15.649962079834445,4.047355802047306
firearm_suicide_rate,2020,10,21.9807393771208,17.09835887750278,4.882380499618019
firearm_suicide_rate,2021,11,23.63552298338957,20.4004694089044,3.235053574485171
firearm_suicide_rate,2022,12,17.87009130929348,18.337647686346966,-0.4675563770534872
firearm_suicide_rate,2023,13,19.8267890686024,17.373914078599046,2.4528749900033553
firearm_homicide_rate,1999,-11,1.02090278,1.6440925955938392,-0.6231898155938393
firearm_homicide_rate,2000,-10,1.012592602,1.0433029756792298,-0.030710373679229797
firearm_homicide_rate,2001,-9,1.60862545,1.6371188125389275,-0.028493362538927647
firearm_homicide_rate,2002,-8,1.597265481,1.2960094282088415,0.3012560527911585
firearm_homicide_rate,2003,-7,1.38780673,1.4978707805693374,-0.11006405056933732
firearm_homicide_rate,2004,-6,0.984387612,1.2323875153504038,-0.24799990335040378
firearm_homicide_rate,2005,-5,2.150676388,1.760254457189011,0.39042193081098886
firearm_homicide_rate,2006,-4,0.970866246,1.1513203703865553,-0.18045412438655528
firearm_homicide_rate,2007,-3,1.530134078,1.4789066519088059,0.05122742609119402
firearm_homicide_rate,2008,-2,0.750936794,1.1658992099960117,-0.4149624159960117
firearm_homicide_rate,2009,-1,1.837323387,1.3209189778064,0.5164044091936
firearm_homicide_rate,2010,0,0.887113086,1.0348880682130646,-0.1477749822130645
firearm_homicide_rate,2011,1,2.112088539,1.0876475545873088,1.0244409844126914
firearm_homicide_rate,2012,2,1.040922118,1.3550456884219997,-0.3141235704219998
firearm_homicide_rate,2013,3,1.544645401,1.1195069184848023,0.4251384825151976
firearm_homicide_rate,2014,4,1.54069225,1.4093037489269542,0.13138850107304578
firearm_homicide_rate,2015,5,2.218025036,2.1286930377981523,0.08933199820184745
firearm_homicide_rate,2016,6,1.878732914,2.0772417825861824,-0.19850886858618244
firearm_homicide_rate,2017,7,1.208323624,1.8394859707834847,-0.6311623467834848
firearm_homicide_rate,2018,8,2.250158809,2.0975233375970044,0.15263547140299583
firearm_homicide_rate,2019,9,2.764535843,1.7154605855848035,1.0490752574151965
firearm_homicide_rate,2020,10,3.091041475,3.1455755085127586,-0.05453403351275865
firearm_homicide_rate,2021,11,1.72522,3.343568722509304,-1.6183487225093038
firearm_homicide_rate,2022,12,2.40559,3.379386282617336,-0.9737962826173359
firearm_homicide_rate,2023,13,1.70921,2.3557567513311692,-0.6465467513311693
homicide_rate,1999,-11,2.293568417145884,2.511865788425888,-0.21829737128000382
homicide_rate,2000,-10,2.430222243824198,2.035718415004016,0.39450382882018165
homicide_rate,2001,-9,1.822770043381927,2.4929659597394744,-0.6701959163575475
homicide_rate,2002,-8,3.007036465328869,2.7137730322730045,0.29326343305586455
