outcome,spec,tier,att,se,z,n,n_clusters
firearm_suicide_rate,unweighted,all,-0.05032995823435058,0.14992081782854097,-0.33571027001674403,1254,38
firearm_suicide_rate,ra,minimal,-0.1645424686709973,0.14632813697136982,-1.1244759352276266,1254,38
firearm_suicide_rate,eb,minimal,-0.05032995823435058,0.14992081782854097,-0.33571027001674403,1254,38
firearm_suicide_rate,eb,headline,-0.05032995823435058,0.14992081782854097,-0.33571027001674403,1254,38
firearm_suicide_rate,eb,expanded,-0.05032995823435058,0.14992081782854097,-0.33571027001674403,1254,38
nonfirearm_suicide_rate,unweighted,all,0.20236157549700487,0.27960445594613303,0.7237423123757036,1254,38
nonfirearm_suicide_rate,ra,minimal,0.2652285905347628,0.2718934093683713,0.9754873836438647,1254,38
nonfirearm_suicide_rate,eb,minimal,0.20236157549700487,0.27960445594613303,0.7237423123757036,1254,38
nonfirearm_suicide_rate,eb,headline,0.20236157549700487,0.27960445594613303,0.7237423123757036,1254,38
nonfirearm_suicide_rate,eb,expanded,0.20236157549700487,0.27960445594613303,0.7237423123757036,1254,38
total_suicide_rate,unweighted,all,0.15203161726265427,0.41283312803383476,0.36826409253230796,1254,38
total_suicide_rate,ra,minimal,0.10068612186376533,0.37085275216413893,0.271498920464265,1254,38
total_suicide_rate,eb,minimal,0.15203161726265427,0.41283312803383476,0.36826409253230796,1254,38
total_suicide_rate,eb,headline,0.15203161726265427,0.41283312803383476,0.36826409253230796,1254,38
total_suicide_rate,eb,expanded,0.15203161726265427,0.41283312803383476,0.36826409253230796,1254,38
firearm_homicide_rate,unweighted,all,-0.4193471287089665,0.3230758596194625,-1.297983480421279,1250,38
firearm_homicide_rate,ra,minimal,-0.2048932267903501,0.28119693014359404,-0.7286467412205417,1250,38
firearm_homicide_rate,eb,minimal,-0.4193471287089665,0.3230758596194625,-1.297983480421279,1250,38
firearm_homicide_rate,eb,headline,-0.4193471287089665,0.3230758596194625,-1.297983480421279,1250,38
firearm_homicide_rate,eb,expanded,-0.4193471287089665,0.3230758596194625,-1.297983480421279,1250,38
homicide_rate,unweighted,all,-0.2645153344672725,0.31285753383189624,-0.8454817476423667,1254,38
homicide_rate,ra,minimal,-0.2785626579602724,0.32559796859626183,-0.8555417564833989,1254,38
homicide_rate,eb,minimal,-0.2645153344672725,0.31285753383189624,-0.8454817476423667,1254,38
homicide_rate,eb,headline,-0.2645153344672725,0.31285753383189624,-0.8454817476423667,1254,38
homicide_rate,eb,expanded,-0.2645153344672725,0.31285753383189624,-0.8454817476423667,1254,38
motor_vehicle_theft_rate,unweighted,all,14.589127536508448,22.485560857049958,0.6488220431439352,1254,38
motor_vehicle_theft_rate,ra,minimal,-11.62141598959378,21.242923999313145,-0.5470723328845661,1254,38
motor_vehicle_theft_rate,eb,minimal,14.589127536508448,22.485560857049958,0.6488220431439352,1254,38
motor_vehicle_theft_rate,eb,headline,14.589127536508448,22.485560857049958,0.6488220431439352,1254,38
motor_vehicle_theft_rate,eb,expanded,14.589127536508448,22.485560857049958,0.6488220431439352,1254,38
