event_time,beta,se,z,n,omitted,outcome,spec
-5,-0.2563438456178855,0.603077489158393,-0.42505954910639854,1254,False,firearm_suicide_rate,unweighted
-4,0.12739419300852917,0.10501483232904674,1.2131066648695907,1254,False,firearm_suicide_rate,unweighted
-3,-0.08495122723109921,0.3355972883966434,-0.25313442679159887,1254,False,firearm_suicide_rate,unweighted
-2,0.5970342992157485,0.4275717874149266,1.3963369819729736,1254,False,firearm_suicide_rate,unweighted
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,unweighted
0,0.4557083070508805,0.14413175733720993,3.1617480801590983,1254,False,firearm_suicide_rate,unweighted
1,-0.13698434817957658,0.16728711137000607,-0.8188577533423614,1254,False,firearm_suicide_rate,unweighted
2,0.22945951465196818,0.6560262864965495,0.3497718298414176,1254,False,firearm_suicide_rate,unweighted
3,-0.08145576480397942,0.2231332512911487,-0.36505435354273724,1254,False,firearm_suicide_rate,unweighted
4,-0.6204298462577627,0.39031054785912667,-1.5895800143266743,1254,False,firearm_suicide_rate,unweighted
5,-0.1134522200117339,0.2509435796780559,-0.4521025011171261,1254,False,firearm_suicide_rate,unweighted
-5,-0.17669898199375295,0.5915555902384805,-0.2987022435584089,1254,False,firearm_suicide_rate,ra
-4,0.17186530745268722,0.13064036663854783,1.3155605106972748,1254,False,firearm_suicide_rate,ra
-3,-0.049732916432569746,0.33368033268241554,-0.14904359520614502,1254,False,firearm_suicide_rate,ra
-2,0.5982552734026026,0.4212611880894201,1.420152841793753,1254,False,firearm_suicide_rate,ra
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,ra
0,0.4303593227138142,0.14698857112120298,2.927842072557812,1254,False,firearm_suicide_rate,ra
1,-0.17720826968314668,0.14800772722938876,-1.197290661780798,1254,False,firearm_suicide_rate,ra
2,0.18627692652098887,0.6449197769821127,0.28883736112523556,1254,False,firearm_suicide_rate,ra
3,-0.09946881313857947,0.24131130849976837,-0.41220120912267544,1254,False,firearm_suicide_rate,ra
4,-0.655268418492494,0.412686341034194,-1.5878122276845608,1254,False,firearm_suicide_rate,ra
5,-0.12165437302542789,0.23237369149910056,-0.5235290287837888,1254,False,firearm_suicide_rate,ra
-5,-0.6056823041267887,0.6745850050160316,-0.8978591276460327,1254,False,firearm_suicide_rate,eb
-4,0.21128549463727592,0.40906132345074003,0.5165130080128911,1254,False,firearm_suicide_rate,eb
-3,0.17127640187071877,0.3645124653315714,0.4698780375450827,1254,False,firearm_suicide_rate,eb
-2,0.7543933099732074,0.5755453283209478,1.310745258195418,1254,False,firearm_suicide_rate,eb
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,eb
0,0.49887139372944683,0.16990151370869763,2.9362386646229655,1254,False,firearm_suicide_rate,eb
1,-0.08521009209864379,0.26435987432232916,-0.32232611820184437,1254,False,firearm_suicide_rate,eb
2,0.40058233198218485,0.6624793435966722,0.6046714299156558,1254,False,firearm_suicide_rate,eb
3,-0.1737799506682745,0.2489911742698315,-0.6979361866053507,1254,False,firearm_suicide_rate,eb
4,-0.7871362383846878,0.42342971422408554,-1.8589537104807983,1254,False,firearm_suicide_rate,eb
5,-0.4725198731718876,0.3046030310431733,-1.551264514846257,1254,False,firearm_suicide_rate,eb
-5,-0.023498392659798892,0.2500930930823833,-0.09395858306274085,1254,False,nonfirearm_suicide_rate,unweighted
-4,0.8467260228478101,0.30978587157908555,2.7332622321726783,1254,False,nonfirearm_suicide_rate,unweighted
-3,-0.19400063120269137,0.4155803286323147,-0.4668186096323479,1254,False,nonfirearm_suicide_rate,unweighted
-2,-0.16340688341297843,0.224480790965122,-0.7279325892894206,1254,False,nonfirearm_suicide_rate,unweighted
-1,0.0,0.0,0.0,0,True,nonfirearm_suicide_rate,unweighted
0,-0.3999438264267462,0.3357238849720959,-1.1912879730317312,1254,False,nonfirearm_suicide_rate,unweighted
1,-0.008007260072950786,0.21691404860277522,-0.03691443742131297,1254,False,nonfirearm_suicide_rate,unweighted
2,0.8639181373105254,0.7809012873731859,1.10630901918038,1254,False,nonfirearm_suicide_rate,unweighted
3,-0.10974478902750368,0.556910392549714,-0.19706004861043608,1254,False,nonfirearm_suicide_rate,unweighted
4,-0.032963406546904515,0.5208231867314362,-0.06329097357161668,1254,False,nonfirearm_suicide_rate,unweighted
5,0.49989779438097753,0.3582312819118965,1.3954610320824035,1254,False,nonfirearm_suicide_rate,unweighted
-5,-0.15942882413866677,0.24452353265814694,-0.6519978768732834,1254,False,nonfirearm_suicide_rate,ra
-4,0.778457268572434,0.33630467808196285,2.3147381505728313,1254,False,nonfirearm_suicide_rate,ra
-3,-0.24741153067232557,0.39772150682305996,-0.6220722953822939,1254,False,nonfirearm_suicide_rate,ra
-2,-0.17251582460999793,0.2244857189855403,-0.7684935388745603,1254,False,nonfirearm_suicide_rate,ra
-1,0.0,0.0,0.0,0,True,nonfirearm_suicide_rate,ra
0,-0.36764867855497796,0.3255086822051438,-1.1294589012629668,1254,False,nonfirearm_suicide_rate,ra
1,0.04751125628639403,0.2319225936293486,0.20485824836162803,1254,False,nonfirearm_suicide_rate,ra
2,0.93999570818234,0.7858284590346116,1.1961843547090703,1254,False,nonfirearm_suicide_rate,ra
3,-0.08191047582749907,0.5340994398807853,-0.15336184558774682,1254,False,nonfirearm_suicide_rate,ra
4,0.03461389793772961,0.4875532340175948,0.07099511504107972,1254,False,nonfirearm_suicide_rate,ra
5,0.5479240064121185,0.3638523141990875,1.5058967197122548,1254,False,nonfirearm_suicide_rate,ra
-5,-0.22135777973575857,0.3859899667433735,-0.5734806570320231,1254,False,nonfirearm_suicide_rate,eb
-4,0.7240681337540715,0.3352083968285653,2.1600536878089596,1254,False,nonfirearm_suicide_rate,eb
-3,-0.1236279607216014,0.42994605090833404,-0.28754296140275354,1254,False,nonfirearm_suicide_rate,eb
-2,0.09429905148192262,0.263708927898952,0.35758763358234175,1254,False,nonfirearm_suicide_rate,eb
-1,0.0,0.0,0.0,0,True,nonfirearm_suicide_rate,eb
0,-0.2550695213202264,0.36773416509042334,-0.6936247581388217,1254,False,nonfirearm_suicide_rate,eb
1,0.08966232051389852,0.3254551659715896,0.27549822491287645,1254,False,nonfirearm_suicide_rate,eb
2,0.7915049425517626,0.8301663176917552,0.9534293619048663,1254,False,nonfirearm_suicide_rate,eb
3,-0.1380005324903312,0.6111557033666006,-0.225802576544969,1254,False,nonfirearm_suicide_rate,eb
4,-0.016360628836522447,0.5649554947930632,-0.0289591463173841,1254,False,nonfirearm_suicide_rate,eb
5,0.42136304344938713,0.383811909416033,1.0978373341527832,1254,False,nonfirearm_suicide_rate,eb
-5,-0.27984223827768434,0.7310891350094846,-0.3827744455182662,1254,False,total_suicide_rate,unweighted
-4,0.9741202158563399,0.32871910983344976,2.963381764905277,1254,False,total_suicide_rate,unweighted
-3,-0.2789518584337912,0.6328065426273872,-0.4408169632311233,1254,False,total_suicide_rate,unweighted
-2,0.43362741580277053,0.3736306293678658,1.1605778052415334,1254,False,total_suicide_rate,unweighted
-1,0.0,0.0,0.0,0,True,total_suicide_rate,unweighted
0,0.05576448062413465,0.33721394814830596,0.16536825042482986,1254,False,total_suicide_rate,unweighted
1,-0.14499160825252658,0.36973233018493573,-0.39215290742901354,1254,False,total_suicide_rate,unweighted
2,1.0933776519624945,1.3432356645746937,0.8139879552026998,1254,False,total_suicide_rate,unweighted
3,-0.19120055383148296,0.6556120246980002,-0.29163674037180326,1254,False,total_suicide_rate,unweighted
4,-0.6533932528046663,0.8508602012914426,-0.7679208074522004,1254,False,total_suicide_rate,unweighted
5,0.3864455743692434,0.5326232922009566,0.7255513981980327,1254,False,total_suicide_rate,unweighted
-5,-0.3361278061324198,0.7172932342115975,-0.46860585057918447,1254,False,total_suicide_rate,ra
-4,0.9503225760251222,0.3378869072723306,2.812546315265124,1254,False,total_suicide_rate,ra
-3,-0.2971444471048959,0.6277712811103356,-0.47333233622815324,1254,False,total_suicide_rate,ra
-2,0.42573944879260517,0.38565033061264303,1.1039519870663062,1254,False,total_suicide_rate,ra
-1,0.0,0.0,0.0,0,True,total_suicide_rate,ra
0,0.06271064415883655,0.3329942205019491,0.18832352124402557,1254,False,total_suicide_rate,ra
1,-0.12969701339675188,0.3697196397091679,-0.35079827920089746,1254,False,total_suicide_rate,ra
2,1.12627263470333,1.3364979585861643,0.8427043434430499,1254,False,total_suicide_rate,ra
3,-0.18137928896607838,0.651044174514294,-0.278597514679238,1254,False,total_suicide_rate,ra
4,-0.6206545205547634,0.8539948521424972,-0.7267661145704439,1254,False,total_suicide_rate,ra
5,0.42626963338669044,0.5497157613909591,0.7754364406581504,1254,False,total_suicide_rate,ra
-5,-0.827040083862548,0.8543837018502349,-0.9679960913012828,1254,False,total_suicide_rate,eb
-4,0.9353536283913471,0.457548201418102,2.0442734240728275,1254,False,total_suicide_rate,eb
-3,0.047648441149117426,0.6460839011454625,0.0737496183771798,1254,False,total_suicide_rate,eb
-2,0.8486923614551304,0.6375781128172779,1.3311190337212144,1254,False,total_suicide_rate,eb
-1,0.0,0.0,0.0,0,True,total_suicide_rate,eb
0,0.24380187240922055,0.3919463539300786,0.62202867806933,1254,False,total_suicide_rate,eb
