outcome,spec,control_rule,tier,g_cohort,t_year,event_time,n_treated,n_control,att,se
firearm_suicide_rate,or,broad,all,2013,1999,-14,1,45,1.0887463701038627,
firearm_suicide_rate,or,broad,all,2013,2000,-13,1,45,1.099558720585579,
firearm_suicide_rate,or,broad,all,2013,2001,-12,1,45,0.5846079688858561,
firearm_suicide_rate,or,broad,all,2013,2002,-11,1,45,0.5458768652353035,
firearm_suicide_rate,or,broad,all,2013,2003,-10,1,45,0.8713003726113353,
firearm_suicide_rate,or,broad,all,2013,2004,-9,1,45,1.0998229665510793,
firearm_suicide_rate,or,broad,all,2013,2005,-8,1,45,0.39799720055232135,
firearm_suicide_rate,or,broad,all,2013,2006,-7,1,45,0.8677706371463791,
firearm_suicide_rate,or,broad,all,2013,2007,-6,1,45,0.7023374925680828,
firearm_suicide_rate,or,broad,all,2013,2008,-5,1,45,0.7722926946457844,
firearm_suicide_rate,or,broad,all,2013,2009,-4,1,45,0.4810939412680484,
firearm_suicide_rate,or,broad,all,2013,2010,-3,1,45,-0.42423382634076423,
firearm_suicide_rate,or,broad,all,2013,2011,-2,1,45,-0.1617319804372539,
firearm_suicide_rate,or,broad,all,2013,2013,0,1,45,-0.5004881757288049,
firearm_suicide_rate,or,broad,all,2013,2014,1,1,45,-0.15365882600645328,
firearm_suicide_rate,or,broad,all,2013,2015,2,1,45,-1.0619688669586593,
firearm_suicide_rate,or,broad,all,2013,2016,3,1,45,-1.1617940650103313,
firearm_suicide_rate,or,broad,all,2013,2017,4,1,45,-1.3559813182130878,
firearm_suicide_rate,or,broad,all,2013,2018,5,1,45,-1.3935862983922245,
firearm_suicide_rate,or,broad,all,2013,2019,6,1,45,-1.2191175352234358,
firearm_suicide_rate,or,broad,all,2013,2020,7,1,45,-1.517964382337469,
firearm_suicide_rate,or,broad,all,2013,2021,8,1,45,-1.6900499401329951,
firearm_suicide_rate,or,broad,all,2013,2022,9,1,45,-2.2050504341905075,
firearm_suicide_rate,or,broad,all,2013,2023,10,1,45,-2.219210933427397,
firearm_suicide_rate,or,broad,all,2022,1999,-23,1,45,1.3394127885181701,
firearm_suicide_rate,or,broad,all,2022,2000,-22,1,45,0.7234887355035111,
firearm_suicide_rate,or,broad,all,2022,2001,-21,1,45,2.2818199669380492,
firearm_suicide_rate,or,broad,all,2022,2002,-20,1,45,0.08779926080348854,
firearm_suicide_rate,or,broad,all,2022,2003,-19,1,45,0.7669801674626,
firearm_suicide_rate,or,broad,all,2022,2004,-18,1,45,1.1275307054654014,
firearm_suicide_rate,or,broad,all,2022,2005,-17,1,45,0.5770794111991697,
firearm_suicide_rate,or,broad,all,2022,2006,-16,1,45,0.6957183713580695,
firearm_suicide_rate,or,broad,all,2022,2007,-15,1,45,1.0195716188568964,
firearm_suicide_rate,or,broad,all,2022,2008,-14,1,45,-0.05518047609674204,
firearm_suicide_rate,or,broad,all,2022,2009,-13,1,45,-0.5021768928965393,
firearm_suicide_rate,or,broad,all,2022,2010,-12,1,45,-0.33558988417125324,
firearm_suicide_rate,or,broad,all,2022,2011,-11,1,45,-0.09799066925354216,
firearm_suicide_rate,or,broad,all,2022,2012,-10,1,45,-0.4614156785485348,
firearm_suicide_rate,or,broad,all,2022,2013,-9,1,45,0.7909810891205742,
firearm_suicide_rate,or,broad,all,2022,2014,-8,1,45,0.6624619320094987,
firearm_suicide_rate,or,broad,all,2022,2015,-7,1,45,-0.16494933104149756,
firearm_suicide_rate,or,broad,all,2022,2016,-6,1,45,0.6385666422446961,
firearm_suicide_rate,or,broad,all,2022,2017,-5,1,45,-1.4908809002628862,
firearm_suicide_rate,or,broad,all,2022,2018,-4,1,45,-0.6537143949834332,
firearm_suicide_rate,or,broad,all,2022,2019,-3,1,45,-1.8857987655012596,
firearm_suicide_rate,or,broad,all,2022,2020,-2,1,45,-0.9044355262480326,
firearm_suicide_rate,or,broad,all,2022,2022,0,1,45,-0.1536044904587449,
firearm_suicide_rate,or,broad,all,2022,2023,1,1,45,-0.035937465140144814,
firearm_suicide_rate,or,broad,all,2023,1999,-24,2,45,1.9361293389663523,0.3766697716113778
firearm_suicide_rate,or,broad,all,2023,2000,-23,2,45,1.1225552431113441,0.2919768913847588
firearm_suicide_rate,or,broad,all,2023,2001,-22,2,45,1.369741957319826,0.3476177886226819
firearm_suicide_rate,or,broad,all,2023,2002,-21,2,45,1.2988680290074015,0.2518412246972941
firearm_suicide_rate,or,broad,all,2023,2003,-20,2,45,1.243550539165515,0.35006066483921616
firearm_suicide_rate,or,broad,all,2023,2004,-19,2,45,1.087107111164591,0.3417959670978985
firearm_suicide_rate,or,broad,all,2023,2005,-18,2,45,0.8617346952648011,0.2296119275787969
firearm_suicide_rate,or,broad,all,2023,2006,-17,2,45,0.7878978910706684,0.2440465360340152
firearm_suicide_rate,or,broad,all,2023,2007,-16,2,45,0.9983476996000347,0.24492463239506657
firearm_suicide_rate,or,broad,all,2023,2008,-15,2,45,0.7580030361762351,0.249111689655564
firearm_suicide_rate,or,broad,all,2023,2009,-14,2,45,0.7479472299467582,0.34963567195208684
firearm_suicide_rate,or,broad,all,2023,2010,-13,2,45,0.508256986598772,0.2365798442048387
firearm_suicide_rate,or,broad,all,2023,2011,-12,2,45,0.7060148463076541,0.2696995794691758
firearm_suicide_rate,or,broad,all,2023,2012,-11,2,45,0.7207257836767527,0.30097119717727916
firearm_suicide_rate,or,broad,all,2023,2013,-10,2,45,0.15916687684332786,0.18426613788647564
firearm_suicide_rate,or,broad,all,2023,2014,-9,2,45,0.7869965136698722,0.24894534951070227
firearm_suicide_rate,or,broad,all,2023,2015,-8,2,45,0.14997809333422096,0.23177550262217878
firearm_suicide_rate,or,broad,all,2023,2016,-7,2,45,-0.21904121806300014,0.16257405836121122
firearm_suicide_rate,or,broad,all,2023,2017,-6,2,45,0.33918071486234713,0.3683820428692869
firearm_suicide_rate,or,broad,all,2023,2018,-5,2,45,0.03264584577391716,0.18478049032505842
firearm_suicide_rate,or,broad,all,2023,2019,-4,2,45,0.26639040087592736,0.3614749909294116
firearm_suicide_rate,or,broad,all,2023,2020,-3,2,45,-0.14862355248240067,0.2632481229802816
firearm_suicide_rate,or,broad,all,2023,2021,-2,2,45,-0.5351959990420453,0.22831387364845918
firearm_suicide_rate,or,broad,all,2023,2023,0,2,45,0.24129991836694178,0.14929623977871317
nonfirearm_suicide_rate,or,broad,all,2013,1999,-14,1,45,0.4368664400803284,
nonfirearm_suicide_rate,or,broad,all,2013,2000,-13,1,45,1.0902298887371478,
nonfirearm_suicide_rate,or,broad,all,2013,2001,-12,1,45,0.7907661246134223,
nonfirearm_suicide_rate,or,broad,all,2013,2002,-11,1,45,0.8543286215550303,
nonfirearm_suicide_rate,or,broad,all,2013,2003,-10,1,45,0.8834893985340422,
nonfirearm_suicide_rate,or,broad,all,2013,2004,-9,1,45,0.47514905764737136,
nonfirearm_suicide_rate,or,broad,all,2013,2005,-8,1,45,0.5621192730695419,
nonfirearm_suicide_rate,or,broad,all,2013,2006,-7,1,45,0.24334083310150878,
nonfirearm_suicide_rate,or,broad,all,2013,2007,-6,1,45,0.5785263567900656,
nonfirearm_suicide_rate,or,broad,all,2013,2008,-5,1,45,-0.23235913738007075,
nonfirearm_suicide_rate,or,broad,all,2013,2009,-4,1,45,0.639085896973291,
nonfirearm_suicide_rate,or,broad,all,2013,2010,-3,1,45,-0.15653426611800023,
nonfirearm_suicide_rate,or,broad,all,2013,2011,-2,1,45,0.304904165732112,
nonfirearm_suicide_rate,or,broad,all,2013,2013,0,1,45,0.10689557153051575,
nonfirearm_suicide_rate,or,broad,all,2013,2014,1,1,45,-0.1586178984399268,
nonfirearm_suicide_rate,or,broad,all,2013,2015,2,1,45,-0.8464668151311268,
nonfirearm_suicide_rate,or,broad,all,2013,2016,3,1,45,-0.3107375296929692,
nonfirearm_suicide_rate,or,broad,all,2013,2017,4,1,45,-0.47424533756926657,
nonfirearm_suicide_rate,or,broad,all,2013,2018,5,1,45,0.09924897447337533,
nonfirearm_suicide_rate,or,broad,all,2013,2019,6,1,45,0.07929391382415463,
nonfirearm_suicide_rate,or,broad,all,2013,2020,7,1,45,-0.4206823418945507,
nonfirearm_suicide_rate,or,broad,all,2013,2021,8,1,45,-0.7514099090108095,
nonfirearm_suicide_rate,or,broad,all,2013,2022,9,1,45,-0.4486084072807993,
nonfirearm_suicide_rate,or,broad,all,2013,2023,10,1,45,-0.17867301404810781,
nonfirearm_suicide_rate,or,broad,all,2022,1999,-23,1,45,1.897382697627914,
nonfirearm_suicide_rate,or,broad,all,2022,2000,-22,1,45,1.825284457962666,
nonfirearm_suicide_rate,or,broad,all,2022,2001,-21,1,45,3.0315805716496715,
nonfirearm_suicide_rate,or,broad,all,2022,2002,-20,1,45,0.4985972035741346,
nonfirearm_suicide_rate,or,broad,all,2022,2003,-19,1,45,2.316399640289407,
nonfirearm_suicide_rate,or,broad,all,2022,2004,-18,1,45,1.418027680775543,
nonfirearm_suicide_rate,or,broad,all,2022,2005,-17,1,45,0.6189165154049348,
nonfirearm_suicide_rate,or,broad,all,2022,2006,-16,1,45,1.1247407535496703,
nonfirearm_suicide_rate,or,broad,all,2022,2007,-15,1,45,0.8709415279569934,
nonfirearm_suicide_rate,or,broad,all,2022,2008,-14,1,45,2.9236928343986612,
nonfirearm_suicide_rate,or,broad,all,2022,2009,-13,1,45,2.904870867447398,
nonfirearm_suicide_rate,or,broad,all,2022,2010,-12,1,45,1.7086691921608788,
nonfirearm_suicide_rate,or,broad,all,2022,2011,-11,1,45,1.1201799888376947,
nonfirearm_suicide_rate,or,broad,all,2022,2012,-10,1,45,3.061956140054434,
nonfirearm_suicide_rate,or,broad,all,2022,2013,-9,1,45,1.257405221351222,
nonfirearm_suicide_rate,or,broad,all,2022,2014,-8,1,45,1.213006007350224,
nonfirearm_suicide_rate,or,broad,all,2022,2015,-7,1,45,0.7907665519804974,
nonfirearm_suicide_rate,or,broad,all,2022,2016,-6,1,45,-0.50812776728743,
nonfirearm_suicide_rate,or,broad,all,2022,2017,-5,1,45,-0.22883564568629566,
nonfirearm_suicide_rate,or,broad,all,2022,2018,-4,1,45,-0.8700205491528787,
nonfirearm_suicide_rate,or,broad,all,2022,2019,-3,1,45,0.15465028179008056,
nonfirearm_suicide_rate,or,broad,all,2022,2020,-2,1,45,0.7151780270396605,
nonfirearm_suicide_rate,or,broad,all,2022,2022,0,1,45,-0.7373931118614773,
nonfirearm_suicide_rate,or,broad,all,2022,2023,1,1,45,0.7410101339649892,
nonfirearm_suicide_rate,or,broad,all,2023,1999,-24,2,45,0.9246441791195843,0.5068577313570231
nonfirearm_suicide_rate,or,broad,all,2023,2000,-23,2,45,0.7484473134990828,0.25207802990039924
nonfirearm_suicide_rate,or,broad,all,2023,2001,-22,2,45,0.40170810182985317,0.25571635404425447
nonfirearm_suicide_rate,or,broad,all,2023,2002,-21,2,45,0.9472506234585407,0.19192415344019031
nonfirearm_suicide_rate,or,broad,all,2023,2003,-20,2,45,0.4099340442840709,0.22370176062051472
nonfirearm_suicide_rate,or,broad,all,2023,2004,-19,2,45,0.549502325231672,0.34782693138817816
nonfirearm_suicide_rate,or,broad,all,2023,2005,-18,2,45,0.7506535499206857,0.33591078909530725
