outcome,spec,control_rule,tier,event_time,att,se,n_cohorts,total_treated_states
firearm_homicide_rate,or,broad,all,-5,0.05502713914651147,0.16743364883114933,3,4
firearm_homicide_rate,or,broad,all,-4,-0.5800415217062018,0.1347244174839579,3,4
firearm_homicide_rate,or,broad,all,-3,-0.39661429597390196,0.3458032469032241,3,4
firearm_homicide_rate,or,broad,all,-2,0.040913374055943016,0.3980260335409119,3,4
firearm_homicide_rate,or,broad,all,0,-0.752178427810853,0.19163218808529986,3,4
firearm_homicide_rate,or,broad,all,1,-1.8974420774984497,0.0,2,2
firearm_homicide_rate,or,broad,all,2,1.9183373225111113,0.0,1,1
firearm_homicide_rate,or,broad,all,3,1.4050244198444446,0.0,1,1
firearm_homicide_rate,or,broad,all,4,1.6376606351333334,0.0,1,1
firearm_homicide_rate,or,broad,all,5,1.2310551674444445,0.0,1,1
firearm_homicide_rate,or,strict,all,-5,0.1247230888039399,0.17167548156572024,3,4
firearm_homicide_rate,or,strict,all,-4,-0.5283404041560354,0.13895754641841246,3,4
firearm_homicide_rate,or,strict,all,-3,-0.36030918293355235,0.34821600402284125,3,4
firearm_homicide_rate,or,strict,all,-2,0.04938069142620376,0.39562276401801816,3,4
firearm_homicide_rate,or,strict,all,0,-0.7479764735525332,0.19273078970957355,3,4
firearm_homicide_rate,or,strict,all,1,-1.9027908868439654,0.0,2,2
firearm_homicide_rate,or,strict,all,2,1.849137615317073,0.0,1,1
firearm_homicide_rate,or,strict,all,3,1.2965479414146341,0.0,1,1
firearm_homicide_rate,or,strict,all,4,1.5309704140243903,0.0,1,1
firearm_homicide_rate,or,strict,all,5,1.0952172169512198,0.0,1,1
firearm_homicide_rate,ra,broad,expanded,-5,1.0318203439368998,0.0,3,1
firearm_homicide_rate,ra,broad,expanded,-4,0.07247690940641571,0.0,3,1
firearm_homicide_rate,ra,broad,expanded,-3,-0.24862267938429405,0.0,3,1
firearm_homicide_rate,ra,broad,expanded,-2,-1.034442779797506,0.0,3,1
firearm_homicide_rate,ra,broad,expanded,0,-0.46505290247435516,0.0,3,1
firearm_homicide_rate,ra,broad,expanded,1,-1.5984734154174662,0.0,2,1
firearm_homicide_rate,ra,broad,expanded,2,1.678293592460328,0.0,1,1
firearm_homicide_rate,ra,broad,expanded,3,0.5857845131434514,0.0,1,1
firearm_homicide_rate,ra,broad,expanded,4,1.3786767936434448,0.0,1,1
firearm_homicide_rate,ra,broad,expanded,5,0.501696630023861,0.0,1,1
firearm_homicide_rate,ra,broad,headline,-5,0.7187229190976394,0.0,3,1
firearm_homicide_rate,ra,broad,headline,-4,0.5520113919357814,0.0,3,1
firearm_homicide_rate,ra,broad,headline,-3,-0.04777614778441991,0.0,3,1
firearm_homicide_rate,ra,broad,headline,-2,-0.6541558651030253,0.0,3,1
firearm_homicide_rate,ra,broad,headline,0,-0.4396121150230526,0.0,3,1
firearm_homicide_rate,ra,broad,headline,1,-1.4989453749771315,0.0,2,1
firearm_homicide_rate,ra,broad,headline,2,1.5100699899201189,0.0,1,1
firearm_homicide_rate,ra,broad,headline,3,1.1012309933913784,0.0,1,1
firearm_homicide_rate,ra,broad,headline,4,1.9019773621573157,0.0,1,1
firearm_homicide_rate,ra,broad,headline,5,1.2417910431231831,0.0,1,1
firearm_homicide_rate,ra,broad,minimal,-5,0.020506660602998994,0.09315350109481565,3,4
firearm_homicide_rate,ra,broad,minimal,-4,-0.6727524451152063,0.10428697788800981,3,4
firearm_homicide_rate,ra,broad,minimal,-3,-0.4475274752447952,0.1675638119461286,3,4
firearm_homicide_rate,ra,broad,minimal,-2,0.35850247759158604,0.1429249721432516,3,4
firearm_homicide_rate,ra,broad,minimal,0,-0.8800025211430954,0.08514001898697005,3,4
firearm_homicide_rate,ra,broad,minimal,1,-2.4572043486276316,0.0,2,2
firearm_homicide_rate,ra,broad,minimal,2,1.4516423792016424,0.0,1,1
firearm_homicide_rate,ra,broad,minimal,3,1.1199942295843464,0.0,1,1
firearm_homicide_rate,ra,broad,minimal,4,1.4416105353728241,0.0,1,1
firearm_homicide_rate,ra,broad,minimal,5,0.9340635072942425,0.0,1,1
firearm_homicide_rate,ra,strict,expanded,-5,0.8771154879678449,0.0,3,1
firearm_homicide_rate,ra,strict,expanded,-4,-0.04592336987080359,0.0,3,1
firearm_homicide_rate,ra,strict,expanded,-3,-0.20540585692590707,0.0,3,1
firearm_homicide_rate,ra,strict,expanded,-2,-0.9031408578948172,0.0,3,1
firearm_homicide_rate,ra,strict,expanded,0,-0.43823110808067456,0.0,3,1
firearm_homicide_rate,ra,strict,expanded,1,-1.390775401519918,0.0,2,1
firearm_homicide_rate,ra,strict,expanded,2,1.746198026636288,0.0,1,1
firearm_homicide_rate,ra,strict,expanded,3,0.5969429132828201,0.0,1,1
firearm_homicide_rate,ra,strict,expanded,4,1.4815768392320041,0.0,1,1
firearm_homicide_rate,ra,strict,expanded,5,0.5222357320056994,0.0,1,1
firearm_homicide_rate,ra,strict,headline,-5,0.34668348989523023,0.0,3,1
firearm_homicide_rate,ra,strict,headline,-4,0.10727094476546661,0.0,3,1
firearm_homicide_rate,ra,strict,headline,-3,-0.2236521729077683,0.0,3,1
firearm_homicide_rate,ra,strict,headline,-2,-0.647131053569532,0.0,3,1
firearm_homicide_rate,ra,strict,headline,0,-0.5180207958371895,0.0,3,1
firearm_homicide_rate,ra,strict,headline,1,-1.3717724116622474,0.0,2,1
firearm_homicide_rate,ra,strict,headline,2,1.4957075025666295,0.0,1,1
firearm_homicide_rate,ra,strict,headline,3,0.9760701061902695,0.0,1,1
firearm_homicide_rate,ra,strict,headline,4,1.8342067764129997,0.0,1,1
firearm_homicide_rate,ra,strict,headline,5,0.9514713602576879,0.0,1,1
firearm_homicide_rate,ra,strict,minimal,-5,0.14611044287620745,0.12545941260502397,3,4
firearm_homicide_rate,ra,strict,minimal,-4,-0.5692169947829542,0.1318911500359621,3,4
firearm_homicide_rate,ra,strict,minimal,-3,-0.5337045494883222,0.18537231625454298,3,4
firearm_homicide_rate,ra,strict,minimal,-2,0.269514900843694,0.1457800698581349,3,4
firearm_homicide_rate,ra,strict,minimal,0,-0.8065719404598501,0.09278123024839477,3,4
firearm_homicide_rate,ra,strict,minimal,1,-2.5405167614406987,0.0,2,2
firearm_homicide_rate,ra,strict,minimal,2,1.20672129216137,0.0,1,1
firearm_homicide_rate,ra,strict,minimal,3,0.9372347487419228,0.0,1,1
firearm_homicide_rate,ra,strict,minimal,4,1.3898030773323644,0.0,1,1
firearm_homicide_rate,ra,strict,minimal,5,0.4945751399088565,0.0,1,1
firearm_suicide_rate,or,broad,all,-5,-0.16332412851731687,0.09239024516252921,3,4
firearm_suicide_rate,or,broad,all,-4,0.09004008700911748,0.1807374954647058,3,4
firearm_suicide_rate,or,broad,all,-3,-0.6518199242017063,0.1316240614901408,3,4
firearm_suicide_rate,or,broad,all,-2,-0.5341398761923443,0.11415693682422959,3,4
firearm_suicide_rate,or,broad,all,0,-0.04287320736341656,0.07464811988935659,3,4
firearm_suicide_rate,or,broad,all,1,-0.09479814557329905,0.0,2,2
firearm_suicide_rate,or,broad,all,2,-1.0619688669586593,0.0,1,1
firearm_suicide_rate,or,broad,all,3,-1.1617940650103313,0.0,1,1
firearm_suicide_rate,or,broad,all,4,-1.3559813182130878,0.0,1,1
firearm_suicide_rate,or,broad,all,5,-1.3935862983922245,0.0,1,1
firearm_suicide_rate,or,strict,all,-5,-0.09529119674408457,0.09893399713282752,3,4
firearm_suicide_rate,or,strict,all,-4,0.1540263803739551,0.18736260410009445,3,4
firearm_suicide_rate,or,strict,all,-3,-0.6064443553173078,0.13828871009918234,3,4
firearm_suicide_rate,or,strict,all,-2,-0.5325789254158497,0.12075593849261039,3,4
firearm_suicide_rate,or,strict,all,0,-0.05138470925375385,0.08234379551518436,3,4
firearm_suicide_rate,or,strict,all,1,-0.08624571775430727,0.0,2,2
firearm_suicide_rate,or,strict,all,2,-1.123509135585194,0.0,1,1
firearm_suicide_rate,or,strict,all,3,-1.2331066035709926,0.0,1,1
firearm_suicide_rate,or,strict,all,4,-1.4656213868690415,0.0,1,1
firearm_suicide_rate,or,strict,all,5,-1.4899300073742003,0.0,1,1
firearm_suicide_rate,ra,broad,expanded,-5,0.39776032235214664,0.0,3,1
firearm_suicide_rate,ra,broad,expanded,-4,0.6428282915825125,0.0,3,1
firearm_suicide_rate,ra,broad,expanded,-3,-1.0906523204220604,0.0,3,1
firearm_suicide_rate,ra,broad,expanded,-2,-0.7038588468259759,0.0,3,1
firearm_suicide_rate,ra,broad,expanded,0,-0.015281786210487702,0.0,3,1
firearm_suicide_rate,ra,broad,expanded,1,-0.33104219757216846,0.0,2,1
firearm_suicide_rate,ra,broad,expanded,2,-0.49107562939775296,0.0,1,1
firearm_suicide_rate,ra,broad,expanded,3,-0.9145352056094787,0.0,1,1
firearm_suicide_rate,ra,broad,expanded,4,-0.23567639961207365,0.0,1,1
firearm_suicide_rate,ra,broad,expanded,5,-1.8713815060975962,0.0,1,1
firearm_suicide_rate,ra,broad,headline,-5,0.3545457918947368,0.0,3,1
firearm_suicide_rate,ra,broad,headline,-4,0.5367025933858306,0.0,3,1
firearm_suicide_rate,ra,broad,headline,-3,-1.3006516958371481,0.0,3,1
firearm_suicide_rate,ra,broad,headline,-2,-0.8683739926336538,0.0,3,1
firearm_suicide_rate,ra,broad,headline,0,0.010400475791716934,0.0,3,1
firearm_suicide_rate,ra,broad,headline,1,-0.4522313554393855,0.0,2,1
firearm_suicide_rate,ra,broad,headline,2,-0.6408330229233519,0.0,1,1
firearm_suicide_rate,ra,broad,headline,3,-1.18624363550337,0.0,1,1
firearm_suicide_rate,ra,broad,headline,4,-0.1526190893314454,0.0,1,1
firearm_suicide_rate,ra,broad,headline,5,-1.9344133980738059,0.0,1,1
firearm_suicide_rate,ra,broad,minimal,-5,-0.48932476708264916,0.10959618979453192,3,4
firearm_suicide_rate,ra,broad,minimal,-4,-0.6277732804856905,0.090350472652802,3,4
firearm_suicide_rate,ra,broad,minimal,-3,-1.2251761942410255,0.11168862290326381,3,4
firearm_suicide_rate,ra,broad,minimal,-2,-0.8439481859173801,0.13253666445502313,3,4
firearm_suicide_rate,ra,broad,minimal,0,-0.019163242360790256,0.0595930398891785,3,4
firearm_suicide_rate,ra,broad,minimal,1,-0.40087601626037456,0.0,2,2
firearm_suicide_rate,ra,broad,minimal,2,-0.04448306521461376,0.0,1,1
firearm_suicide_rate,ra,broad,minimal,3,-0.739169734287092,0.0,1,1
firearm_suicide_rate,ra,broad,minimal,4,0.23479095053948207,0.0,1,1
firearm_suicide_rate,ra,broad,minimal,5,-0.5485658444164123,0.0,1,1
firearm_suicide_rate,ra,strict,expanded,-5,0.3214349301726873,0.0,3,1
firearm_suicide_rate,ra,strict,expanded,-4,0.30447239632058576,0.0,3,1
firearm_suicide_rate,ra,strict,expanded,-3,-0.922184687065053,0.0,3,1
firearm_suicide_rate,ra,strict,expanded,-2,-0.9717670923935408,0.0,3,1
firearm_suicide_rate,ra,strict,expanded,0,0.009277836432839415,0.0,3,1
firearm_suicide_rate,ra,strict,expanded,1,0.2831707062650146,0.0,2,1
firearm_suicide_rate,ra,strict,expanded,2,-0.4459550093407625,0.0,1,1
firearm_suicide_rate,ra,strict,expanded,3,-0.8036255701680339,0.0,1,1
firearm_suicide_rate,ra,strict,expanded,4,0.3457954007827144,0.0,1,1
firearm_suicide_rate,ra,strict,expanded,5,-1.5868661068947647,0.0,1,1
firearm_suicide_rate,ra,strict,headline,-5,0.3009976888034053,0.0,3,1
firearm_suicide_rate,ra,strict,headline,-4,0.26574604852394146,0.0,3,1
firearm_suicide_rate,ra,strict,headline,-3,-0.9944473738695055,0.0,3,1
firearm_suicide_rate,ra,strict,headline,-2,-1.039077945044562,0.0,3,1
firearm_suicide_rate,ra,strict,headline,0,0.042745108540611365,0.0,3,1
firearm_suicide_rate,ra,strict,headline,1,0.24349261590832655,0.0,2,1
firearm_suicide_rate,ra,strict,headline,2,-0.49225748652417456,0.0,1,1
firearm_suicide_rate,ra,strict,headline,3,-0.9019960122745113,0.0,1,1
firearm_suicide_rate,ra,strict,headline,4,0.3666364923767118,0.0,1,1
firearm_suicide_rate,ra,strict,headline,5,-1.6283732038385683,0.0,1,1
firearm_suicide_rate,ra,strict,minimal,-5,-0.6369287219385049,0.17692944025987942,3,4
firearm_suicide_rate,ra,strict,minimal,-4,-1.0653574735713445,0.15430416867724392,3,4
firearm_suicide_rate,ra,strict,minimal,-3,-1.428648993239336,0.19148140073973555,3,4
firearm_suicide_rate,ra,strict,minimal,-2,-1.043967302255845,0.18780069964255278,3,4
firearm_suicide_rate,ra,strict,minimal,0,-0.09751787990463989,0.12409339099043286,3,4
firearm_suicide_rate,ra,strict,minimal,1,-0.40675603740304,0.0,2,2
firearm_suicide_rate,ra,strict,minimal,2,0.031164361522084683,0.0,1,1
firearm_suicide_rate,ra,strict,minimal,3,-0.9723852984984305,0.0,1,1
firearm_suicide_rate,ra,strict,minimal,4,0.45975837878697057,0.0,1,1
firearm_suicide_rate,ra,strict,minimal,5,-0.6901868689338544,0.0,1,1
homicide_rate,or,broad,all,-5,-0.28080336289676927,0.2282986571567533,3,4
homicide_rate,or,broad,all,-4,-0.8271210954235484,0.23733061312526058,3,4
homicide_rate,or,broad,all,-3,-0.56055224063345,0.44734878527327804,3,4
homicide_rate,or,broad,all,-2,-0.37324857516739185,0.36560881427755193,3,4
homicide_rate,or,broad,all,0,-1.3589983154483536,0.18371126890336012,3,4
homicide_rate,or,broad,all,1,-2.4879320699677843,0.0,2,2
homicide_rate,or,broad,all,2,2.2141278735788967,0.0,1,1
homicide_rate,or,broad,all,3,1.808119095569014,0.0,1,1
