event_time,beta,se,z,n,omitted,outcome,outcome_label,policy
-5,25.71476356484457,8.051200293441076,3.193904340672427,31248,False,county_violent_crime_rate,"County violent crime rate (per 100,000)",assault_weapons_ban
-4,25.10976538369483,10.322672163432065,2.4324869555235757,31248,False,county_violent_crime_rate,"County violent crime rate (per 100,000)",assault_weapons_ban
-3,-13.849324540943929,13.883087729272013,-0.9975680346485966,31248,False,county_violent_crime_rate,"County violent crime rate (per 100,000)",assault_weapons_ban
-2,-96.40505430915982,22.34108346089732,-4.315146777813781,31248,False,county_violent_crime_rate,"County violent crime rate (per 100,000)",assault_weapons_ban
-1,0.0,0.0,0.0,0,True,county_violent_crime_rate,"County violent crime rate (per 100,000)",assault_weapons_ban
0,-12.332864680439522,13.087464494642035,-0.9423417870962367,31248,False,county_violent_crime_rate,"County violent crime rate (per 100,000)",assault_weapons_ban
1,9.830000962266073,10.968538322589591,0.8961997189745226,31248,False,county_violent_crime_rate,"County violent crime rate (per 100,000)",assault_weapons_ban
2,-12.63212741791146,8.909682918937902,-1.4177976402573595,31248,False,county_violent_crime_rate,"County violent crime rate (per 100,000)",assault_weapons_ban
3,4.327503933965169,3.811684114643504,1.1353259619127458,31248,False,county_violent_crime_rate,"County violent crime rate (per 100,000)",assault_weapons_ban
4,14.729562192819488,2.5995728429380054,5.666147125991791,31248,False,county_violent_crime_rate,"County violent crime rate (per 100,000)",assault_weapons_ban
5,36.11649748439479,7.213082605687266,5.0070821947773325,31248,False,county_violent_crime_rate,"County violent crime rate (per 100,000)",assault_weapons_ban
-5,-2.6658717498676383,1.077014238379907,-2.4752428100465615,31248,False,county_murder_rate,"County murder rate (per 100,000)",assault_weapons_ban
-4,-1.2764259380464604,0.9244538515226269,-1.3807351615703864,31248,False,county_murder_rate,"County murder rate (per 100,000)",assault_weapons_ban
-3,-1.8053491899627765,1.3162377038132838,-1.3715981427461648,31248,False,county_murder_rate,"County murder rate (per 100,000)",assault_weapons_ban
-2,-3.1205862557946387,1.1762833847725023,-2.6529204579372445,31248,False,county_murder_rate,"County murder rate (per 100,000)",assault_weapons_ban
-1,0.0,0.0,0.0,0,True,county_murder_rate,"County murder rate (per 100,000)",assault_weapons_ban
0,-2.134965868162048,1.1355693047247606,-1.8800841650783446,31248,False,county_murder_rate,"County murder rate (per 100,000)",assault_weapons_ban
1,-1.5695120212007208,0.9451162561062484,-1.6606549840406923,31248,False,county_murder_rate,"County murder rate (per 100,000)",assault_weapons_ban
2,-0.48298449051411124,0.4979336867972366,-0.96997753580546,31248,False,county_murder_rate,"County murder rate (per 100,000)",assault_weapons_ban
3,-0.5936836130365096,0.2890715607276343,-2.053760015485866,31248,False,county_murder_rate,"County murder rate (per 100,000)",assault_weapons_ban
4,0.9178643406334775,0.22229002711227097,4.129129644533698,31248,False,county_murder_rate,"County murder rate (per 100,000)",assault_weapons_ban
5,0.612830106039136,0.1656442861191072,3.69967549377754,31248,False,county_murder_rate,"County murder rate (per 100,000)",assault_weapons_ban
-5,105.70341477718098,73.91575199120831,1.4300526197684298,31248,False,county_property_crime_rate,"County property crime rate (per 100,000)",assault_weapons_ban
-4,117.46142583361645,68.37617645150021,1.7178706375448298,31248,False,county_property_crime_rate,"County property crime rate (per 100,000)",assault_weapons_ban
-3,-10.047006340481438,56.07172612809647,-0.17918132781446647,31248,False,county_property_crime_rate,"County property crime rate (per 100,000)",assault_weapons_ban
-2,-296.98499367854595,77.16173744502002,-3.8488634848347782,31248,False,county_property_crime_rate,"County property crime rate (per 100,000)",assault_weapons_ban
-1,0.0,0.0,0.0,0,True,county_property_crime_rate,"County property crime rate (per 100,000)",assault_weapons_ban
0,41.02124867857746,43.47787023395011,0.9434971965702594,31248,False,county_property_crime_rate,"County property crime rate (per 100,000)",assault_weapons_ban
1,128.1304340331684,61.504240613890275,2.083278043176605,31248,False,county_property_crime_rate,"County property crime rate (per 100,000)",assault_weapons_ban
2,68.7630760555952,25.97592025676136,2.647185369215038,31248,False,county_property_crime_rate,"County property crime rate (per 100,000)",assault_weapons_ban
