policy,spec_name,outcome,outcome_label,outcome_stratum,bandwidth_km,donut_km,fe,cluster,covariates,drop_spillover_pairs,beta,se,z,n,n_counties,n_pairs,n_treated_post,n_straddling_pair_years
assault_weapons_ban,headline,county_violent_crime_rate,"County violent crime rate (per 100,000)",primary,100,0,pair_year,state,,0,-15.628679952547362,10.745883538650986,-1.4543876170194705,31248,1953,101,1805,263
assault_weapons_ban,headline,county_murder_rate,"County murder rate (per 100,000)",primary,100,0,pair_year,state,,0,-2.190051252334318,0.9613584194248349,-2.278079858752982,31248,1953,101,1805,263
assault_weapons_ban,headline,county_property_crime_rate,"County property crime rate (per 100,000)",primary,100,0,pair_year,state,,0,7.472734021473011,74.99151081575629,0.09964773265913364,31248,1953,101,1805,263
assault_weapons_ban,headline,county_burglary_rate,"County burglary rate (per 100,000) [placebo]",primary,100,0,pair_year,state,,0,21.806106823373657,26.778033938548038,0.8143281494607005,31248,1953,101,1805,263
assault_weapons_ban,headline,county_motor_vehicle_theft_rate,"County motor vehicle theft rate (per 100,000) [placebo]",primary,100,0,pair_year,state,,0,11.117696380918858,6.194586354204333,1.7947439498318007,31248,1953,101,1805,263
assault_weapons_ban,headline,state_firearm_suicide_rate,"State firearm suicide rate (per 100,000)",secondary,100,0,pair_year,state,,0,-0.6609121382811888,0.13699985109920435,-4.824181435077685,29295,1953,101,1598,240
assault_weapons_ban,headline,state_total_suicide_rate,"State total suicide rate (per 100,000)",secondary,100,0,pair_year,state,,0,-0.47391578156437403,0.35210467390939104,-1.3459514078655181,29295,1953,101,1598,240
assault_weapons_ban,headline,state_nonfirearm_suicide_rate,"State non-firearm suicide rate (per 100,000) [substitution]",secondary,100,0,pair_year,state,,0,0.1869963567168144,0.24449713229855244,0.7648202453698943,29295,1953,101,1598,240
assault_weapons_ban,headline,state_firearm_homicide_rate,"State firearm homicide rate (per 100,000)",secondary,100,0,pair_year,state,,0,0.5435902514006725,0.18510568047578577,2.936648135289296,29271,1953,101,1598,240
assault_weapons_ban,bw_50km,county_violent_crime_rate,"County violent crime rate (per 100,000)",primary,50,0,pair_year,state,,0,-23.527586969843124,12.943194959691214,-1.8177572881436703,14416,901,88,1053,231
assault_weapons_ban,bw_50km,county_murder_rate,"County murder rate (per 100,000)",primary,50,0,pair_year,state,,0,-0.8455300920462371,0.20693356064417678,-4.085997889439161,14416,901,88,1053,231
assault_weapons_ban,bw_50km,county_property_crime_rate,"County property crime rate (per 100,000)",primary,50,0,pair_year,state,,0,31.355997554820835,68.56681664023878,0.45730572150289106,14416,901,88,1053,231
assault_weapons_ban,bw_50km,county_burglary_rate,"County burglary rate (per 100,000) [placebo]",primary,50,0,pair_year,state,,0,23.972480987409583,27.800279827401447,0.8623107801879397,14416,901,88,1053,231
assault_weapons_ban,bw_50km,county_motor_vehicle_theft_rate,"County motor vehicle theft rate (per 100,000) [placebo]",primary,50,0,pair_year,state,,0,4.421937000869353,7.641154204303888,0.5787001390939988,14416,901,88,1053,231
assault_weapons_ban,bw_50km,state_firearm_suicide_rate,"State firearm suicide rate (per 100,000)",secondary,50,0,pair_year,state,,0,-0.6477369892601608,0.1510470964400256,-4.28831142422754,13515,901,88,935,210
assault_weapons_ban,bw_50km,state_total_suicide_rate,"State total suicide rate (per 100,000)",secondary,50,0,pair_year,state,,0,-0.5182430496151601,0.3711928450349845,-1.3961558164363763,13515,901,88,935,210
assault_weapons_ban,bw_50km,state_nonfirearm_suicide_rate,"State non-firearm suicide rate (per 100,000) [substitution]",secondary,50,0,pair_year,state,,0,0.1294939396450008,0.2390012735958459,0.5418127598097099,13515,901,88,935,210
assault_weapons_ban,bw_50km,state_firearm_homicide_rate,"State firearm homicide rate (per 100,000)",secondary,50,0,pair_year,state,,0,0.5631653686328859,0.16916132265201747,3.329161535295961,13499,901,88,935,210
assault_weapons_ban,bw_200km,county_violent_crime_rate,"County violent crime rate (per 100,000)",primary,200,0,pair_year,state,,0,-13.832026176913297,9.851307275289852,-1.4040802697940737,45008,2813,105,2527,263
assault_weapons_ban,bw_200km,county_murder_rate,"County murder rate (per 100,000)",primary,200,0,pair_year,state,,0,-1.6868783820565374,0.843333666083846,-2.0002502566864493,45008,2813,105,2527,263
assault_weapons_ban,bw_200km,county_property_crime_rate,"County property crime rate (per 100,000)",primary,200,0,pair_year,state,,0,13.30170041110412,76.79742474569859,0.17320503200661225,45008,2813,105,2527,263
assault_weapons_ban,bw_200km,county_burglary_rate,"County burglary rate (per 100,000) [placebo]",primary,200,0,pair_year,state,,0,17.34733241839754,27.75936991319489,0.6249180897348758,45008,2813,105,2527,263
assault_weapons_ban,bw_200km,county_motor_vehicle_theft_rate,"County motor vehicle theft rate (per 100,000) [placebo]",primary,200,0,pair_year,state,,0,18.762802624731737,5.664714800637579,3.312223701468595,45008,2813,105,2527,263
assault_weapons_ban,bw_200km,state_firearm_suicide_rate,"State firearm suicide rate (per 100,000)",secondary,200,0,pair_year,state,,0,-0.6392012580288788,0.13302088493325562,-4.8052699269712695,42195,2813,105,2246,240
assault_weapons_ban,bw_200km,state_total_suicide_rate,"State total suicide rate (per 100,000)",secondary,200,0,pair_year,state,,0,-0.42657158136457546,0.3335361257917082,-1.2789366679607217,42195,2813,105,2246,240
assault_weapons_ban,bw_200km,state_nonfirearm_suicide_rate,"State non-firearm suicide rate (per 100,000) [substitution]",secondary,200,0,pair_year,state,,0,0.21262967666430346,0.24559593237432317,0.8657703513599955,42195,2813,105,2246,240
assault_weapons_ban,bw_200km,state_firearm_homicide_rate,"State firearm homicide rate (per 100,000)",secondary,200,0,pair_year,state,,0,0.513771844913498,0.17431388102225004,2.94739490567546,42171,2813,105,2246,240
assault_weapons_ban,donut_10km,county_violent_crime_rate,"County violent crime rate (per 100,000)",primary,100,10,pair_year,state,,0,-16.132150531830746,10.719536692307365,-1.5049298299811429,31104,1944,101,1769,263
assault_weapons_ban,donut_10km,county_murder_rate,"County murder rate (per 100,000)",primary,100,10,pair_year,state,,0,-2.2247815806389473,0.9702222008867558,-2.2930639791643186,31104,1944,101,1769,263
assault_weapons_ban,donut_10km,county_property_crime_rate,"County property crime rate (per 100,000)",primary,100,10,pair_year,state,,0,-4.994827210830861,78.1127955891691,-0.0639437773690874,31104,1944,101,1769,263
assault_weapons_ban,donut_10km,county_burglary_rate,"County burglary rate (per 100,000) [placebo]",primary,100,10,pair_year,state,,0,16.790132088931664,27.264364852035804,0.6158270027580695,31104,1944,101,1769,263
assault_weapons_ban,donut_10km,county_motor_vehicle_theft_rate,"County motor vehicle theft rate (per 100,000) [placebo]",primary,100,10,pair_year,state,,0,9.279317140002053,6.094611985599847,1.5225443657327038,31104,1944,101,1769,263
assault_weapons_ban,donut_10km,state_firearm_suicide_rate,"State firearm suicide rate (per 100,000)",secondary,100,10,pair_year,state,,0,-0.6599630606490731,0.1373976177103404,-4.80330788587905,29160,1944,101,1566,240
assault_weapons_ban,donut_10km,state_total_suicide_rate,"State total suicide rate (per 100,000)",secondary,100,10,pair_year,state,,0,-0.473191509377536,0.352610941563506,-1.3419649069293365,29160,1944,101,1566,240
assault_weapons_ban,donut_10km,state_nonfirearm_suicide_rate,"State non-firearm suicide rate (per 100,000) [substitution]",secondary,100,10,pair_year,state,,0,0.18677155127153705,0.24568077776399347,0.7602204493627663,29160,1944,101,1566,240
assault_weapons_ban,donut_10km,state_firearm_homicide_rate,"State firearm homicide rate (per 100,000)",secondary,100,10,pair_year,state,,0,0.5391371231498772,0.18672612111851802,2.8873149611868083,29136,1944,101,1566,240
