outcome,donor,weight
firearm_homicide_rate,AL,0.18877793977713267
firearm_homicide_rate,AZ,0.46924464528388876
firearm_homicide_rate,LA,0.21087528777865536
firearm_homicide_rate,NV,0.13110212716022393
homicide_rate,LA,0.2736173973520008
homicide_rate,NM,0.1530015033200197
homicide_rate,NV,0.5733810993264865
motor_vehicle_theft_rate,AZ,0.24858179702230065
motor_vehicle_theft_rate,GA,0.3946359005910458
motor_vehicle_theft_rate,HI,0.09162225098779192
motor_vehicle_theft_rate,LA,0.11357860552575133
motor_vehicle_theft_rate,OR,0.1514289239646486
