outcome,spec,att,se,z,n,n_clusters
firearm_suicide_rate,unweighted,-0.26120315610964506,0.5171420632919651,-0.5050897512511499,1014,45
firearm_suicide_rate,ra,-0.25789708556099794,0.5088589472155245,-0.5068144855705308,1014,45
firearm_suicide_rate,eb,-0.036434320068040385,0.8993872161816819,-0.040510160042880154,1014,45
nonfirearm_suicide_rate,unweighted,-0.08480729998179058,0.1859458901109033,-0.45608590720240794,1014,45
nonfirearm_suicide_rate,ra,-0.10483914620124966,0.2028629089806735,-0.5167980027893495,1014,45
nonfirearm_suicide_rate,eb,-0.6396752317880258,0.14127806244574426,-4.527774664475481,1014,45
total_suicide_rate,unweighted,-0.34601045609143627,0.6750170811366355,-0.512595111680437,1014,45
total_suicide_rate,ra,-0.36273623176224834,0.6889576010744168,-0.5265000795354718,1014,45
total_suicide_rate,eb,-0.6761095518560659,0.9719049720381415,-0.6956539695832862,1014,45
firearm_homicide_rate,unweighted,-0.383379985023241,0.6451287202255374,-0.5942689776533451,1010,45
firearm_homicide_rate,ra,-0.2788904142994856,0.6166823884478755,-0.45224319605011476,1010,45
firearm_homicide_rate,eb,-1.4173662396075928,0.4069044951468812,-3.483289706829026,1010,45
homicide_rate,unweighted,-0.583073966038541,0.6399173237220872,-0.9111707785110175,1014,45
homicide_rate,ra,-0.4214227359823487,0.664190376547962,-0.6344908792154372,1014,45
homicide_rate,eb,-1.9035078301651398,0.4540064992185954,-4.192688504330501,1014,45
motor_vehicle_theft_rate,unweighted,4.871406610304987,62.13470533694582,0.07840073569011372,1014,45
motor_vehicle_theft_rate,ra,8.392702805837846,59.975395978540135,0.13993576313928546,1014,45
motor_vehicle_theft_rate,eb,-27.743919812723224,127.66015476975149,-0.2173263839665736,1014,45
