event_time,beta,se,z,n,omitted,outcome,spec,tier
-5,0.2292919209334328,0.4260086614625633,0.5382330024611072,1014,False,firearm_suicide_rate,unweighted,all
-4,0.5199359645097028,0.24240209085231101,2.1449318472524466,1014,False,firearm_suicide_rate,unweighted,all
-3,-0.3701104967244206,0.2868650656427744,-1.290190201079798,1014,False,firearm_suicide_rate,unweighted,all
-2,-0.27687530315549125,0.2727288788953405,-1.0152034660830398,1014,False,firearm_suicide_rate,unweighted,all
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,unweighted,all
0,0.27925233703151026,0.14731754907484076,1.8955809323819495,1014,False,firearm_suicide_rate,unweighted,all
1,0.5493669335314525,0.16389447525287953,3.3519551692258793,1014,False,firearm_suicide_rate,unweighted,all
2,-0.7179522959598468,0.09978878960108353,-7.194718954202558,1014,False,firearm_suicide_rate,unweighted,all
3,-0.838509510744225,0.10026603707218762,-8.36284683457202,1014,False,firearm_suicide_rate,unweighted,all
4,-1.0942757723720793,0.1703310345170216,-6.424406306665891,1014,False,firearm_suicide_rate,unweighted,all
5,-1.1210152549277534,0.13927167083477798,-8.049126202109303,1014,False,firearm_suicide_rate,unweighted,all
-5,0.07720226633193415,0.4620624164100789,0.16708189973931442,1014,False,firearm_suicide_rate,ra,minimal
-4,0.3801463547715119,0.2609894361022447,1.4565583973390652,1014,False,firearm_suicide_rate,ra,minimal
-3,-0.5223576111474795,0.337406760887859,-1.5481539545115726,1014,False,firearm_suicide_rate,ra,minimal
-2,-0.20222017947083723,0.22656206827138833,-0.8925597343532675,1014,False,firearm_suicide_rate,ra,minimal
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,ra,minimal
0,0.36089251356235064,0.18861869963813407,1.9133442986020195,1014,False,firearm_suicide_rate,ra,minimal
1,0.7738005749103196,0.27400975375015507,2.8239891621371953,1014,False,firearm_suicide_rate,ra,minimal
2,-0.6351473439172786,0.12060174461970635,-5.266485538166049,1014,False,firearm_suicide_rate,ra,minimal
3,-0.6633054638282583,0.13383000309044557,-4.956328540020882,1014,False,firearm_suicide_rate,ra,minimal
4,-0.9660217414488043,0.1537211958424637,-6.284245553481129,1014,False,firearm_suicide_rate,ra,minimal
5,-1.0240306081842114,0.17629484906311932,-5.8086246627522,1014,False,firearm_suicide_rate,ra,minimal
-5,0.2292919209334328,0.4260086614625633,0.5382330024611072,1014,False,firearm_suicide_rate,eb,minimal
-4,0.5199359645097028,0.24240209085231101,2.1449318472524466,1014,False,firearm_suicide_rate,eb,minimal
-3,-0.3701104967244206,0.2868650656427744,-1.290190201079798,1014,False,firearm_suicide_rate,eb,minimal
-2,-0.27687530315549125,0.2727288788953405,-1.0152034660830398,1014,False,firearm_suicide_rate,eb,minimal
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,eb,minimal
0,0.27925233703151026,0.14731754907484076,1.8955809323819495,1014,False,firearm_suicide_rate,eb,minimal
1,0.5493669335314525,0.16389447525287953,3.3519551692258793,1014,False,firearm_suicide_rate,eb,minimal
2,-0.7179522959598468,0.09978878960108353,-7.194718954202558,1014,False,firearm_suicide_rate,eb,minimal
3,-0.838509510744225,0.10026603707218762,-8.36284683457202,1014,False,firearm_suicide_rate,eb,minimal
4,-1.0942757723720793,0.1703310345170216,-6.424406306665891,1014,False,firearm_suicide_rate,eb,minimal
5,-1.1210152549277534,0.13927167083477798,-8.049126202109303,1014,False,firearm_suicide_rate,eb,minimal
-5,0.2292919209334328,0.4260086614625633,0.5382330024611072,1014,False,firearm_suicide_rate,eb,headline
-4,0.5199359645097028,0.24240209085231101,2.1449318472524466,1014,False,firearm_suicide_rate,eb,headline
-3,-0.3701104967244206,0.2868650656427744,-1.290190201079798,1014,False,firearm_suicide_rate,eb,headline
-2,-0.27687530315549125,0.2727288788953405,-1.0152034660830398,1014,False,firearm_suicide_rate,eb,headline
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,eb,headline
0,0.27925233703151026,0.14731754907484076,1.8955809323819495,1014,False,firearm_suicide_rate,eb,headline
1,0.5493669335314525,0.16389447525287953,3.3519551692258793,1014,False,firearm_suicide_rate,eb,headline
2,-0.7179522959598468,0.09978878960108353,-7.194718954202558,1014,False,firearm_suicide_rate,eb,headline
3,-0.838509510744225,0.10026603707218762,-8.36284683457202,1014,False,firearm_suicide_rate,eb,headline
4,-1.0942757723720793,0.1703310345170216,-6.424406306665891,1014,False,firearm_suicide_rate,eb,headline
5,-1.1210152549277534,0.13927167083477798,-8.049126202109303,1014,False,firearm_suicide_rate,eb,headline
-5,0.2292919209334328,0.4260086614625633,0.5382330024611072,1014,False,firearm_suicide_rate,eb,expanded
-4,0.5199359645097028,0.24240209085231101,2.1449318472524466,1014,False,firearm_suicide_rate,eb,expanded
-3,-0.3701104967244206,0.2868650656427744,-1.290190201079798,1014,False,firearm_suicide_rate,eb,expanded
