outcome,spec,control_rule,g_cohort,t_year,event_time,n_treated,n_control,att,se
firearm_suicide_rate,or,broad,2013,1999,-14,2,41,-0.18610586419073294,1.124576311283243
firearm_suicide_rate,or,broad,2013,2000,-13,2,41,0.2045855924920652,0.8859285627211456
firearm_suicide_rate,or,broad,2013,2001,-12,2,41,0.6138260682885768,0.6032343403327465
firearm_suicide_rate,or,broad,2013,2002,-11,2,41,-0.25614621943717486,0.4237207802452327
firearm_suicide_rate,or,broad,2013,2003,-10,2,41,-0.2982117179467598,0.6199558039675795
firearm_suicide_rate,or,broad,2013,2004,-9,2,41,0.46923472447367476,0.5723389494061495
firearm_suicide_rate,or,broad,2013,2005,-8,2,41,0.21936311568525957,0.7069827663855989
firearm_suicide_rate,or,broad,2013,2006,-7,2,41,-0.3872593202808059,0.5787831842312583
firearm_suicide_rate,or,broad,2013,2007,-6,2,41,-0.3012624234157908,0.4835678701449694
firearm_suicide_rate,or,broad,2013,2008,-5,2,41,-0.5024849837622876,0.8675305056431621
firearm_suicide_rate,or,broad,2013,2009,-4,2,41,-0.06179769320425832,0.3053969055055579
firearm_suicide_rate,or,broad,2013,2010,-3,2,41,-0.4666232204435105,0.6347261412230554
firearm_suicide_rate,or,broad,2013,2011,-2,2,41,-0.4278836238325634,0.598117467374721
firearm_suicide_rate,or,broad,2013,2013,0,2,41,-0.9730060834763283,0.22252634491023562
firearm_suicide_rate,or,broad,2013,2014,1,2,41,-0.07125635783910925,0.268247467418601
firearm_suicide_rate,or,broad,2013,2015,2,2,41,-0.7636900684452881,0.16264942869013524
firearm_suicide_rate,or,broad,2013,2016,3,2,41,-0.26941865644559426,0.3267742641370184
firearm_suicide_rate,or,broad,2013,2017,4,2,41,-1.1424947701638035,0.2278950817431329
firearm_suicide_rate,or,broad,2013,2018,5,2,41,-0.2791907415918944,0.3330080614497703
firearm_suicide_rate,or,broad,2013,2019,6,2,41,-0.4575566888301723,0.2867523184632515
firearm_suicide_rate,or,broad,2013,2020,7,2,41,-0.8429905263001343,0.4074404040715033
firearm_suicide_rate,or,broad,2013,2021,8,2,41,-0.7106960510434213,0.8432263701286218
firearm_suicide_rate,or,broad,2013,2022,9,2,41,-0.9493224064653434,0.3868526621042294
firearm_suicide_rate,or,broad,2013,2023,10,2,41,-0.9706318726797991,0.7247908641646548
firearm_suicide_rate,or,broad,2018,1999,-19,1,41,0.11254924775189812,
firearm_suicide_rate,or,broad,2018,2000,-18,1,41,0.19570215193230833,
firearm_suicide_rate,or,broad,2018,2001,-17,1,41,-0.652799649572211,
firearm_suicide_rate,or,broad,2018,2002,-16,1,41,1.0359825838841337,
firearm_suicide_rate,or,broad,2018,2003,-15,1,41,-1.430995163209814,
firearm_suicide_rate,or,broad,2018,2004,-14,1,41,1.6375571301291507,
firearm_suicide_rate,or,broad,2018,2005,-13,1,41,-1.8261755462350768,
firearm_suicide_rate,or,broad,2018,2006,-12,1,41,-0.5257517938512435,
firearm_suicide_rate,or,broad,2018,2007,-11,1,41,-0.56715602328044,
firearm_suicide_rate,or,broad,2018,2008,-10,1,41,-0.8952621568759151,
firearm_suicide_rate,or,broad,2018,2009,-9,1,41,1.5870665930475227,
firearm_suicide_rate,or,broad,2018,2010,-8,1,41,2.29578741911381,
firearm_suicide_rate,or,broad,2018,2011,-7,1,41,2.8666556061721473,
firearm_suicide_rate,or,broad,2018,2012,-6,1,41,-0.6970223370942321,
firearm_suicide_rate,or,broad,2018,2013,-5,1,41,0.5213383733436492,
firearm_suicide_rate,or,broad,2018,2014,-4,1,41,0.5746062395319391,
firearm_suicide_rate,or,broad,2018,2015,-3,1,41,0.25414148691173855,
firearm_suicide_rate,or,broad,2018,2016,-2,1,41,1.7069512261755837,
firearm_suicide_rate,or,broad,2018,2018,0,1,41,1.3251893078379098,
firearm_suicide_rate,or,broad,2018,2019,1,1,41,-0.2756823838382878,
firearm_suicide_rate,or,broad,2018,2020,2,1,41,1.0626376771011863,
firearm_suicide_rate,or,broad,2018,2021,3,1,41,0.6237241647969433,
firearm_suicide_rate,or,broad,2018,2022,4,1,41,-0.03381899085068152,
firearm_suicide_rate,or,broad,2018,2023,5,1,41,-0.13524835582193506,
firearm_suicide_rate,or,broad,2022,1999,-23,3,41,2.6471862813919267,0.630847259163179
firearm_suicide_rate,or,broad,2022,2000,-22,3,41,1.7814375766819106,0.5560477122914702
firearm_suicide_rate,or,broad,2022,2001,-21,3,41,2.211237887269175,0.3751416019388656
firearm_suicide_rate,or,broad,2022,2002,-20,3,41,1.7000557641313911,0.6791905901660253
firearm_suicide_rate,or,broad,2022,2003,-19,3,41,1.397229733399988,0.5026719141679863
firearm_suicide_rate,or,broad,2022,2004,-18,3,41,1.890457057776414,0.4679391581330813
firearm_suicide_rate,or,broad,2022,2005,-17,3,41,1.2800641591567385,0.43275041864734975
firearm_suicide_rate,or,broad,2022,2006,-16,3,41,1.674473360011582,0.5535496175226654
firearm_suicide_rate,or,broad,2022,2007,-15,3,41,1.7088790924979527,0.43524282465804504
firearm_suicide_rate,or,broad,2022,2008,-14,3,41,1.0916064046211102,0.5236738669291042
firearm_suicide_rate,or,broad,2022,2009,-13,3,41,1.685627821136852,0.9530245747438765
firearm_suicide_rate,or,broad,2022,2010,-12,3,41,1.1344860165247954,0.6490422873487381
firearm_suicide_rate,or,broad,2022,2011,-11,3,41,0.9723222628183399,0.5042479725942355
firearm_suicide_rate,or,broad,2022,2012,-10,3,41,0.9095240053254543,0.5905742928472699
firearm_suicide_rate,or,broad,2022,2013,-9,3,41,1.193399327187449,0.36923203598706994
firearm_suicide_rate,or,broad,2022,2014,-8,3,41,1.032746354771219,0.4265919812904539
firearm_suicide_rate,or,broad,2022,2015,-7,3,41,1.0664793710483074,0.5763655128125311
firearm_suicide_rate,or,broad,2022,2016,-6,3,41,0.9351975179254074,0.36131723278085387
firearm_suicide_rate,or,broad,2022,2017,-5,3,41,0.24533014317606494,0.7625629929575025
firearm_suicide_rate,or,broad,2022,2018,-4,3,41,0.06197665970608268,0.4568325227672847
firearm_suicide_rate,or,broad,2022,2019,-3,3,41,0.176039242986894,0.8678441815991265
firearm_suicide_rate,or,broad,2022,2020,-2,3,41,0.11589131364042027,0.43986621833393946
firearm_suicide_rate,or,broad,2022,2022,0,3,41,-0.18165848033248785,0.45858325977745257
firearm_suicide_rate,or,broad,2022,2023,1,3,41,0.4671242068539973,0.31307388352998955
firearm_suicide_rate,or,broad,2023,1999,-24,1,41,1.727346120729261,
firearm_suicide_rate,or,broad,2023,2000,-23,1,41,1.2701764974537157,
firearm_suicide_rate,or,broad,2023,2001,-22,1,41,1.8447407436535372,
firearm_suicide_rate,or,broad,2023,2002,-21,1,41,1.2740539830033466,
firearm_suicide_rate,or,broad,2023,2003,-20,1,41,0.9275218990056273,
firearm_suicide_rate,or,broad,2023,2004,-19,1,41,0.9613837457259322,
firearm_suicide_rate,or,broad,2023,2005,-18,1,41,1.0262869473350258,
firearm_suicide_rate,or,broad,2023,2006,-17,1,41,0.8050459142509925,
firearm_suicide_rate,or,broad,2023,2007,-16,1,41,1.1263657719119737,
firearm_suicide_rate,or,broad,2023,2008,-15,1,41,0.7412383199354808,
firearm_suicide_rate,or,broad,2023,2009,-14,1,41,0.5354714079192933,
firearm_suicide_rate,or,broad,2023,2010,-13,1,41,0.5170037104036247,
firearm_suicide_rate,or,broad,2023,2011,-12,1,41,0.5982505877005195,
firearm_suicide_rate,or,broad,2023,2012,-11,1,41,0.44547764249360733,
firearm_suicide_rate,or,broad,2023,2013,-10,1,41,0.28001751379970297,
firearm_suicide_rate,or,broad,2023,2014,-9,1,41,0.619982503090067,
firearm_suicide_rate,or,broad,2023,2015,-8,1,41,0.0028300027783776383,
firearm_suicide_rate,or,broad,2023,2016,-7,1,41,-0.06374505176892664,
firearm_suicide_rate,or,broad,2023,2017,-6,1,41,-0.11043161964176484,
firearm_suicide_rate,or,broad,2023,2018,-5,1,41,-0.030486712655428794,
firearm_suicide_rate,or,broad,2023,2019,-4,1,41,-0.14572322506106783,
firearm_suicide_rate,or,broad,2023,2020,-3,1,41,-0.369015036772126,
firearm_suicide_rate,or,broad,2023,2021,-2,1,41,-0.3210442973296239,
firearm_suicide_rate,or,broad,2023,2023,0,1,41,0.14827303791586305,
nonfirearm_suicide_rate,or,broad,2013,1999,-14,2,41,-1.0848252647791128,0.49438752192186003
nonfirearm_suicide_rate,or,broad,2013,2000,-13,2,41,-0.754798392510446,0.8528189176668804
nonfirearm_suicide_rate,or,broad,2013,2001,-12,2,41,-0.7097886135534501,0.2022710226464369
nonfirearm_suicide_rate,or,broad,2013,2002,-11,2,41,-0.55711961878612,0.1933391803864873
nonfirearm_suicide_rate,or,broad,2013,2003,-10,2,41,-0.31834501338441745,0.14512269159742922
