outcome,spec,control_rule,tier,att_overall_post,se_overall_post,z,att_pretrends_avg,se_pretrends_avg,z_pretrends,n_post_cells,n_pre_cells
firearm_homicide_rate,or,broad,all,-0.998536554405201,0.2008988049386605,-4.970345914750859,0.01884477428064013,0.11220632975729765,0.16794751527299207,19,16
firearm_homicide_rate,or,strict,all,-1.03687978213024,0.20129271977293653,-5.151104239139237,0.06301619040598956,0.11355797920940391,0.5549252535551557,19,16
firearm_homicide_rate,ra,broad,expanded,-0.9856325613310855,0.0,,0.7886616573326191,0.0,,19,16
firearm_homicide_rate,ra,broad,headline,-1.0726765521753168,0.0,,0.19278712019582933,0.0,,19,16
firearm_homicide_rate,ra,broad,minimal,-0.678059986073352,0.09181422245341353,-7.385130189578191,-0.30771647980327993,0.09176175346754592,-3.3534285056149495,19,16
firearm_homicide_rate,ra,strict,expanded,-1.6326666168726485,0.0,,0.6131885820670341,0.0,,19,16
firearm_homicide_rate,ra,strict,headline,-1.4138774920455954,0.0,,0.08283870019344118,0.0,,19,16
firearm_homicide_rate,ra,strict,minimal,-0.8852076006219717,0.12686961678492015,-6.977301761087911,0.2562005268639463,0.13623230538754968,1.8806150724317152,19,16
firearm_suicide_rate,or,broad,all,-0.3225439088530357,0.09468296793844223,-3.406567367667819,0.03824646750670751,0.16773361594559222,0.22801909617875002,20,16
firearm_suicide_rate,or,strict,all,-0.385469683151966,0.09417901309162342,-4.092946724520846,0.08573529273348668,0.16861665164734402,0.5084627876065237,20,16
firearm_suicide_rate,ra,broad,expanded,-0.2330849916737922,0.10540925653532196,-2.211238361174542,-0.5100533931768116,0.2702664227238144,-1.887224421133645,20,16
firearm_suicide_rate,ra,broad,headline,-0.1693721722543592,0.10055441533195653,-1.68438324359221,-0.3940595699095293,0.29269021775448295,-1.346336659054584,20,16
firearm_suicide_rate,ra,broad,minimal,0.1322863994944705,0.0635069550672696,2.0830222351921366,-0.12840961942681206,0.1374326589973403,-0.9343457396782022,20,16
firearm_suicide_rate,ra,strict,expanded,0.5494250420849143,0.2322961576396937,2.3651921222782684,0.40720962568741415,0.4881269310485645,0.834228967479158,20,16
firearm_suicide_rate,ra,strict,headline,0.5435997210648901,0.20379160664610482,2.6674293903030093,0.4804291692365448,0.47206695908994767,1.0177140339639905,20,16
firearm_suicide_rate,ra,strict,minimal,-0.06437163579051469,0.095629712508578,-0.6731342602827604,-0.2554606009930528,0.17281313588186462,-1.478247586269635,20,16
homicide_rate,or,broad,all,-0.7261853869510391,0.20731158394755905,-3.502869319327244,-0.3816572684498091,0.1919019560358972,-1.9888138523112096,20,16
homicide_rate,or,strict,all,-0.7628311342309286,0.2064069095153102,-3.6957635576358734,-0.3556526514917422,0.19195634029198147,-1.8527788712306408,20,16
homicide_rate,ra,broad,expanded,-1.5416235860828318,0.0,,-1.0088177232725628,0.0,,20,16
homicide_rate,ra,broad,headline,-1.8291160296115958,0.0,,-1.6754327489954677,0.0,,20,16
homicide_rate,ra,broad,minimal,-0.6093078790283691,0.10488730912413975,-5.809166848843653,-0.699082862681232,0.14114040179471674,-4.953102398688229,20,16
homicide_rate,ra,strict,expanded,-2.738598961104404,0.0,,-1.5548153153159547,0.0,,20,16
homicide_rate,ra,strict,headline,-2.8811331191502054,0.0,,-1.9129931577025916,0.0,,20,16
homicide_rate,ra,strict,minimal,-0.9374142560085832,0.1392371406139987,-6.73250148541428,-0.012701166815532003,0.19851274145302078,-0.06398162013463407,20,16
motor_vehicle_theft_rate,or,broad,all,72.28071300286373,18.448480148269695,3.917976571617095,-25.144124403986837,5.977535596277108,-4.206436582267607,20,16
motor_vehicle_theft_rate,or,strict,all,70.47654021697197,18.3252569733388,3.8458691367606717,-24.157714453211543,6.016464829423289,-4.015267293688675,20,16
motor_vehicle_theft_rate,ra,broad,expanded,54.6751086543763,0.0,,41.390694789489736,0.0,,20,16
motor_vehicle_theft_rate,ra,broad,headline,48.735430664282354,0.0,,27.643397571427226,0.0,,20,16
motor_vehicle_theft_rate,ra,broad,minimal,73.37971100444531,7.3981081927009384,9.918712878089917,-28.923774941707972,4.790156800922731,-6.038168716342723,20,16
motor_vehicle_theft_rate,ra,strict,expanded,38.73369135600059,0.0,,81.53520698770004,0.0,,20,16
motor_vehicle_theft_rate,ra,strict,headline,33.326610317893866,0.0,,56.749658125124554,0.0,,20,16
motor_vehicle_theft_rate,ra,strict,minimal,45.66730541741701,9.986759906256019,4.572784951885104,2.085043682784957,6.729214248750341,0.30984950184520627,20,16
nonfirearm_suicide_rate,or,broad,all,0.18859413407423067,0.08008943049653118,2.3547942956392856,0.03494008851738506,0.08642971856476639,0.4042601213748323,20,16
nonfirearm_suicide_rate,or,strict,all,0.18171998494855773,0.08103245762935272,2.2425579855883893,0.06218830550265711,0.08752003499664887,0.710560793366208,20,16
nonfirearm_suicide_rate,ra,broad,expanded,0.3280273736800049,0.10268654593662846,3.1944532819561613,0.18101241405794002,0.1361597301570105,1.3294122560995703,20,16
nonfirearm_suicide_rate,ra,broad,headline,0.4938779008463594,0.11120487407321754,4.441153366364041,0.3010900763258075,0.1406451386539523,2.1407784101704284,20,16
