outcome,donor,weight
firearm_suicide_rate,AR,0.2859245259827977
firearm_suicide_rate,HI,0.10486685055279882
firearm_suicide_rate,ID,0.3239624989398224
firearm_suicide_rate,KS,0.20525933509837344
firearm_suicide_rate,MS,0.008853497722924139
firearm_suicide_rate,NM,0.04504149029975664
firearm_suicide_rate,OH,0.026091801403440643
firearm_homicide_rate,AZ,0.1302753061363412
firearm_homicide_rate,MN,0.03770306246651426
firearm_homicide_rate,ND,0.10100590215350481
firearm_homicide_rate,NM,0.15664952006496208
firearm_homicide_rate,OR,0.2826597321592957
firearm_homicide_rate,SD,0.21054325635086069
firearm_homicide_rate,WV,0.08116322066850477
homicide_rate,HI,0.0070119216396410285
homicide_rate,KS,0.03420267984424955
homicide_rate,KY,0.18840784823379708
homicide_rate,MS,0.06560893540590418
homicide_rate,NH,0.5008723360625125
homicide_rate,NM,0.03580598051272388
homicide_rate,NV,0.1447931792430997
homicide_rate,WV,0.02329711905803758
motor_vehicle_theft_rate,AK,0.00013130436663561139
motor_vehicle_theft_rate,AZ,0.11661642197696002
motor_vehicle_theft_rate,HI,0.12684191060807293
motor_vehicle_theft_rate,ID,0.2576706464917728
motor_vehicle_theft_rate,MN,0.0001326110129206024
motor_vehicle_theft_rate,NV,0.0028266230515014293
motor_vehicle_theft_rate,OH,0.00017262710093614232
motor_vehicle_theft_rate,OR,0.49470271028967416
motor_vehicle_theft_rate,TN,0.0001854306919279726
