outcome,year,event_time,y_treated,y_synthetic,effect
firearm_suicide_rate,2001,-12,3.3605040635935453,3.0336063690703954,0.3268976945231499
firearm_suicide_rate,2002,-11,2.4719029457688637,2.344763325750229,0.12713962001863477
firearm_suicide_rate,2003,-10,2.575837429348976,2.6519616135900517,-0.07612418424107581
firearm_suicide_rate,2004,-9,3.0244307754338613,2.951576749528433,0.07285402590542844
firearm_suicide_rate,2005,-8,3.2107621693104424,2.4376491373560705,0.773113031954372
firearm_suicide_rate,2006,-7,2.2540457982161084,2.231664562050402,0.02238123616570631
firearm_suicide_rate,2007,-6,2.22710217744922,2.5212427525408168,-0.29414057509159663
firearm_suicide_rate,2008,-5,3.1131720881558937,2.8531597960555186,0.26001229210037513
firearm_suicide_rate,2009,-4,2.643331074659039,3.2312288673475997,-0.5878977926885609
firearm_suicide_rate,2010,-3,3.0777004653203317,3.2695529133047394,-0.1918524479844077
firearm_suicide_rate,2011,-2,3.099944731616001,3.5860370496123766,-0.48609231799637564
firearm_suicide_rate,2012,-1,3.091623177369764,3.5515122214574966,-0.45988904408773257
firearm_suicide_rate,2013,0,2.55834130497653,2.9113296139001785,-0.35298830892364874
firearm_suicide_rate,2014,1,3.47543023741081,3.0216249725721833,0.4538052648386266
firearm_suicide_rate,2015,2,2.8962211554474298,3.6256165043088187,-0.7293953488613889
firearm_suicide_rate,2016,3,3.0756738801471406,3.422922999058979,-0.3472491189118383
firearm_suicide_rate,2017,4,3.037748342894344,2.9828418457385233,0.054906497155820855
firearm_suicide_rate,2018,5,3.5547693388548884,3.037976613357743,0.5167927254971456
firearm_suicide_rate,2019,6,3.309691477852975,3.6940994759994075,-0.38440799814643256
firearm_suicide_rate,2020,7,3.0643749265533997,3.273023865092596,-0.2086489385391963
firearm_suicide_rate,2021,8,3.382680730115591,4.015370178518233,-0.6326894484026422
firearm_suicide_rate,2022,9,3.648500176205975,4.1677586317581,-0.5192584555521251
firearm_suicide_rate,2023,10,3.074369829671676,4.321810793500575,-1.2474409638288986
firearm_homicide_rate,2001,-12,2.103967762,1.9935165856831756,0.11045117631682433
firearm_homicide_rate,2002,-11,1.657629034,1.9413592124276193,-0.2837301784276194
firearm_homicide_rate,2003,-10,1.620751641,1.8583993533275796,-0.23764771232757953
firearm_homicide_rate,2004,-9,1.843462568,2.0513843102529856,-0.20792174225298554
firearm_homicide_rate,2005,-8,1.892056278,2.0960377897938005,-0.20398151179380042
firearm_homicide_rate,2006,-7,2.624964727,2.4745840253114335,0.15038070168856654
firearm_homicide_rate,2007,-6,1.913023665,2.255068884179355,-0.34204521917935504
firearm_homicide_rate,2008,-5,2.484825428,2.593493330512387,-0.10866790251238667
firearm_homicide_rate,2009,-4,2.216987353,2.34154191364357,-0.12455456064357007
firearm_homicide_rate,2010,-3,2.741951324,2.393156990246779,0.3487943337532209
firearm_homicide_rate,2011,-2,2.681033281,2.466237449499787,0.21479583150021275
firearm_homicide_rate,2012,-1,3.175180561,2.6134549296506053,0.5617256313493946
firearm_homicide_rate,2013,0,1.835331806,2.399760599358306,-0.5644287933583063
firearm_homicide_rate,2014,1,1.61259963,2.3684549035954676,-0.7558552735954676
firearm_homicide_rate,2015,2,2.227862427,3.2674332571215916,-1.0395708301215918
firearm_homicide_rate,2016,3,1.53783694,3.188300469213611,-1.650463529213611
firearm_homicide_rate,2017,4,2.034455312,3.547632192381411,-1.513176880381411
firearm_homicide_rate,2018,5,1.511476727,3.095551233921809,-1.584074506921809
firearm_homicide_rate,2019,6,1.823135136,3.533220702802019,-1.7100855668020187
firearm_homicide_rate,2020,7,2.839466675,4.392918136383482,-1.553451461383482
firearm_homicide_rate,2021,8,3.21632,3.868177348051221,-0.6518573480512209
firearm_homicide_rate,2022,9,3.15098,4.031257281122199,-0.8802772811221993
firearm_homicide_rate,2023,10,2.85477,4.0442981222884535,-1.1895281222884537
homicide_rate,2001,-12,3.057122775797604,3.10742687811676,-0.05030410231915594
homicide_rate,2002,-11,2.428737516216883,2.6260138867291043,-0.19727637051222136
homicide_rate,2003,-10,3.211966870855989,3.0508838763363726,0.16108299451961638
homicide_rate,2004,-9,2.857987188215033,3.044343519929199,-0.18635633171416588
homicide_rate,2005,-8,2.9993992631761466,3.1205516608657997,-0.12115239768965314
homicide_rate,2006,-7,3.908914865260846,3.540369564772403,0.3685453004884427
homicide_rate,2007,-6,3.226442898099511,3.495400626450163,-0.2689577283506521
homicide_rate,2008,-5,3.7700799599686055,3.852360240874408,-0.08228028090580253
homicide_rate,2009,-4,3.0128289668156785,3.2467410632462257,-0.23391209643054722
homicide_rate,2010,-3,3.719761554893892,3.181601272839109,0.5381602820547826
homicide_rate,2011,-2,3.596603802307236,3.477068749103382,0.11953505320385416
homicide_rate,2012,-1,3.2574514201235325,3.2752168853950034,-0.017765465271470937
homicide_rate,2013,0,2.528240586262874,3.104391813316626,-0.5761512270537521
homicide_rate,2014,1,2.475824546938017,3.094390673649518,-0.6185661267115012
homicide_rate,2015,2,3.2359480351379326,3.469073678341372,-0.2331256432034392
homicide_rate,2016,3,2.201977040905208,3.4247529220765265,-1.2227758811713185
homicide_rate,2017,4,2.9379833682160568,3.5686775427484587,-0.630694174532402
homicide_rate,2018,5,2.4079383567780663,3.5568331958482813,-1.148894839070215
homicide_rate,2019,6,3.000542341017526,3.457749862347631,-0.4572075213301048
homicide_rate,2020,7,3.93589440107776,4.266360427441122,-0.3304660263633621
homicide_rate,2021,8,4.277803306603962,3.6858303792974243,0.5919729273065379
homicide_rate,2022,9,3.7504774275034096,4.315827013647233,-0.5653495861438236
homicide_rate,2023,10,3.7880628258454583,4.985187486169023,-1.1971246603235648
motor_vehicle_theft_rate,2001,-12,360.3911020840261,357.8675688023618,2.5235332816642995
motor_vehicle_theft_rate,2002,-11,334.8188147356132,337.40752194364205,-2.5887072080288362
motor_vehicle_theft_rate,2003,-10,326.0719939431482,326.3234135376514,-0.2514195945032043
motor_vehicle_theft_rate,2004,-9,320.4661034145516,319.94625231620114,0.5198510983504434
motor_vehicle_theft_rate,2005,-8,303.0535884098642,302.0035860068043,1.0500024030598638
motor_vehicle_theft_rate,2006,-7,293.59659827397155,296.18222797167033,-2.585629697698778
motor_vehicle_theft_rate,2007,-6,284.126843176887,284.23001084354195,-0.10316766665494015
motor_vehicle_theft_rate,2008,-5,253.9377342733399,252.6605130861444,1.2772211871955221
motor_vehicle_theft_rate,2009,-4,212.06336718313,209.6320582422011,2.4313089409288864
motor_vehicle_theft_rate,2010,-3,187.41445247627044,189.5110815165524,-2.096629040281954
motor_vehicle_theft_rate,2011,-2,185.96393303402527,186.8010524827252,-0.8371194486999229
motor_vehicle_theft_rate,2012,-1,180.3570111073525,179.56318644740858,0.7938246599439083
motor_vehicle_theft_rate,2013,0,173.39285163589668,174.60546563180773,-1.212613995911056
motor_vehicle_theft_rate,2014,1,170.08080089864086,176.35660749812652,-6.275806599485662
motor_vehicle_theft_rate,2015,2,179.26036270514098,179.42431714528684,-0.16395444014585792
motor_vehicle_theft_rate,2016,3,198.62390371506973,192.28262743751677,6.341276277552964
motor_vehicle_theft_rate,2017,4,204.8753735435997,198.0425901667905,6.8327833768092034
motor_vehicle_theft_rate,2018,5,201.3708449063704,205.88972528851104,-4.518880382140651
motor_vehicle_theft_rate,2019,6,168.03037109698144,199.82905029013975,-31.798679193158307
motor_vehicle_theft_rate,2020,7,236.7721617562636,212.84347809030731,23.9286836659563
motor_vehicle_theft_rate,2021,8,211.0750947671426,213.78230223879942,-2.7072074716568295
motor_vehicle_theft_rate,2022,9,197.50675982190745,227.3449366604372,-29.838176838529762
motor_vehicle_theft_rate,2023,10,293.32782142742445,261.986180906781,31.341640520643466
