outcome,donor,weight
firearm_suicide_rate,HI,0.8221602978932439
firearm_suicide_rate,IA,0.17783970210664007
firearm_homicide_rate,IA,0.22627978340864593
firearm_homicide_rate,ME,0.347455645929741
firearm_homicide_rate,MO,0.18890707376004343
firearm_homicide_rate,NE,0.06813937774809746
firearm_homicide_rate,OK,0.16921811915341642
homicide_rate,AZ,0.09722094105363278
homicide_rate,KS,0.10153868684645914
homicide_rate,ME,0.3993580009755052
homicide_rate,MO,0.12248479791444093
homicide_rate,MT,0.06535339724372803
homicide_rate,ND,0.10753961977950982
homicide_rate,NE,0.1065045561866566
motor_vehicle_theft_rate,AR,0.07643051379325007
motor_vehicle_theft_rate,FL,0.08339642484321023
motor_vehicle_theft_rate,KS,0.17132702126334218
motor_vehicle_theft_rate,LA,0.07922663085259209
motor_vehicle_theft_rate,NH,0.19984413637282525
motor_vehicle_theft_rate,TN,0.1173758710989139
motor_vehicle_theft_rate,TX,0.17955244021958203
motor_vehicle_theft_rate,VA,0.09284693975855393
