outcome,year,event_time,y_treated,y_synthetic,effect
firearm_suicide_rate,2006,-12,6.892041775389961,7.445190905295017,-0.5531491299050559
firearm_suicide_rate,2007,-11,6.921484610159451,7.50417412875451,-0.5826895185950587
firearm_suicide_rate,2008,-10,7.082266969272619,7.824690274221602,-0.742423304948983
firearm_suicide_rate,2009,-9,9.48919197117859,8.371277158042153,1.1179148131364371
firearm_suicide_rate,2010,-8,10.547494890058347,8.952966330132304,1.5945285599260437
firearm_suicide_rate,2011,-7,11.174415059280271,9.752706559501615,1.4217084997786564
firearm_suicide_rate,2012,-6,7.987080099231482,9.403183679170835,-1.416103579939353
firearm_suicide_rate,2013,-5,9.41544452069004,9.598809747545637,-0.18336522685559764
firearm_suicide_rate,2014,-4,9.416466367254955,9.552852612300768,-0.13638624504581287
firearm_suicide_rate,2015,-3,9.424287827334268,10.232367577844641,-0.8080797505103732
firearm_suicide_rate,2016,-2,11.0471762456892,10.809937631174995,0.23723861451420625
firearm_suicide_rate,2017,-1,9.941361998662726,9.941046331214727,0.00031566744799960134
firearm_suicide_rate,2018,0,11.176770200814628,10.276932685252193,0.8998375155624352
firearm_suicide_rate,2019,1,9.455294885005983,10.28284617292049,-0.8275512879145062
firearm_suicide_rate,2020,2,11.069276021220926,11.065859893654865,0.0034161275660604673
firearm_suicide_rate,2021,3,11.433692310069372,11.597459602738176,-0.16376729266880474
firearm_suicide_rate,2022,4,10.645815268876266,11.391344776804367,-0.7455295079281008
firearm_suicide_rate,2023,5,10.48237419609439,12.04921869513135,-1.566844499036959
homicide_rate,2006,-12,2.243920578033941,1.9739048162810091,0.27001576175293174
homicide_rate,2007,-11,2.092541858885416,1.8382558146394798,0.25428604424593604
homicide_rate,2008,-10,2.7363304199462397,2.237598648798052,0.4987317711481878
homicide_rate,2009,-9,1.2866700977869274,1.445735037118433,-0.15906493933150556
homicide_rate,2010,-8,1.1183734376722494,1.4662886522098324,-0.347915214537583
homicide_rate,2011,-7,1.7555283182677086,1.6657714055224597,0.08975691274524888
homicide_rate,2012,-6,1.2780512274883258,1.6735208228185052,-0.39546959533017945
homicide_rate,2013,-5,1.5952652527298978,1.68998256639164,-0.09471731366174208
homicide_rate,2014,-4,1.595489232840912,1.8331509136748967,-0.23766168083398465
homicide_rate,2015,-3,1.5972195601896215,2.017922827286542,-0.4207032670969204
homicide_rate,2016,-2,2.2459148413261167,2.390372149067359,-0.14445730774124232
homicide_rate,2017,-1,2.722068772266923,2.7087045750851226,0.013364197181800375
homicide_rate,2018,0,1.7618097309556375,2.249381828693736,-0.4875720977380984
homicide_rate,2019,1,1.7626905708874026,2.3086364518038134,-0.5459458809164108
homicide_rate,2020,2,2.245940062276709,2.9241266854735586,-0.6781866231968494
homicide_rate,2021,3,1.3910957506661803,2.1091020433754237,-0.7180062927092434
homicide_rate,2022,4,3.3999728002175984,2.1934227664137707,1.2065500338038277
homicide_rate,2023,5,2.6205935490235976,2.4913963095327607,0.12919723949083695
motor_vehicle_theft_rate,2006,-12,99.37362559864596,316.4617360375114,-217.08811043886544
motor_vehicle_theft_rate,2007,-11,104.46612818589496,297.9105208616862,-193.44439267579128
motor_vehicle_theft_rate,2008,-10,94.32291918167624,252.40522978190344,-158.0823106002272
motor_vehicle_theft_rate,2009,-9,72.2143592382913,214.51501276334815,-142.30065352505687
motor_vehicle_theft_rate,2010,-8,70.13799130544535,197.0772155571319,-126.93922425168654
motor_vehicle_theft_rate,2011,-7,84.26535927685,192.3170662923654,-108.0517070155154
motor_vehicle_theft_rate,2012,-6,73.48794558057874,194.08944288444013,-120.6014973038614
motor_vehicle_theft_rate,2013,-5,53.76043901699755,191.70094133794845,-137.94050232095088
motor_vehicle_theft_rate,2014,-4,40.52542651415917,193.6648506254966,-153.13942411133743
motor_vehicle_theft_rate,2015,-3,31.305503379716587,204.87454776011091,-173.56904438039433
motor_vehicle_theft_rate,2016,-2,29.517737914571818,235.47691605710088,-205.95917814252905
motor_vehicle_theft_rate,2017,-1,36.02738080941516,256.8199721018408,-220.79259129242564
motor_vehicle_theft_rate,2018,0,42.283433542935306,251.56671248667652,-209.2832789437412
motor_vehicle_theft_rate,2019,1,48.71435759543367,238.46049772970633,-189.74614013427265
motor_vehicle_theft_rate,2020,2,42.35201260293224,257.23087719042053,-214.8788645874883
motor_vehicle_theft_rate,2021,3,73.88264097982602,255.313822446104,-181.431181466278
motor_vehicle_theft_rate,2022,4,97.20831324258496,269.39797713122425,-172.1896638886393
motor_vehicle_theft_rate,2023,5,92.49153702436226,270.99047307083015,-178.4989360464679
