outcome,donor,weight
firearm_suicide_rate,GA,0.1260752496601616
firearm_suicide_rate,HI,0.09906626689889385
firearm_suicide_rate,OK,0.5381580049685101
firearm_suicide_rate,UT,0.23670047847065975
homicide_rate,AZ,0.03185523066863266
homicide_rate,HI,0.13074146393319805
homicide_rate,IA,0.526916109579248
homicide_rate,ID,0.14748730776946042
homicide_rate,NH,0.16299988804943621
motor_vehicle_theft_rate,AK,0.053125384417671305
motor_vehicle_theft_rate,AL,0.021827818052985812
motor_vehicle_theft_rate,AR,0.0024032587516614025
motor_vehicle_theft_rate,AZ,0.0027567840909230984
motor_vehicle_theft_rate,FL,0.06754287455404223
motor_vehicle_theft_rate,GA,0.025814829624804563
motor_vehicle_theft_rate,HI,0.004857121985270581
motor_vehicle_theft_rate,IA,0.01691726799997241
motor_vehicle_theft_rate,ID,0.0028141001720186722
motor_vehicle_theft_rate,IN,0.005415759304240254
motor_vehicle_theft_rate,KS,0.003441811498148121
motor_vehicle_theft_rate,KY,0.06306957403838807
motor_vehicle_theft_rate,LA,0.023033090642947167
motor_vehicle_theft_rate,ME,0.0025534866232065695
motor_vehicle_theft_rate,MI,0.0033619753614785265
motor_vehicle_theft_rate,MN,0.005548681767495657
motor_vehicle_theft_rate,MO,0.0896753541380483
motor_vehicle_theft_rate,MS,0.07566283429145414
motor_vehicle_theft_rate,MT,0.029901952282029628
motor_vehicle_theft_rate,NC,0.003372300921183114
motor_vehicle_theft_rate,ND,0.008805175000248728
motor_vehicle_theft_rate,NE,0.02051030955095088
motor_vehicle_theft_rate,NH,0.007652178092899232
motor_vehicle_theft_rate,NM,0.007618518802207713
motor_vehicle_theft_rate,NV,0.0018661627314392071
motor_vehicle_theft_rate,OH,0.07955744333418645
motor_vehicle_theft_rate,OK,0.041747484926862755
motor_vehicle_theft_rate,OR,0.08093717844170133
motor_vehicle_theft_rate,PA,0.012886641370116815
motor_vehicle_theft_rate,SC,0.012832034125974109
motor_vehicle_theft_rate,SD,0.07630821958223823
motor_vehicle_theft_rate,TN,0.015261695816524113
motor_vehicle_theft_rate,TX,0.0072779460987015465
motor_vehicle_theft_rate,UT,0.031000317951584422
motor_vehicle_theft_rate,VA,0.0031102905234567466
motor_vehicle_theft_rate,WI,0.01392444348344287
motor_vehicle_theft_rate,WV,0.05572043681828793
motor_vehicle_theft_rate,WY,0.019887262831207165
