outcome,spec,tier,att,se,z,n,n_clusters
firearm_suicide_rate,unweighted,all,-0.19543239896048795,0.2595657944584251,-0.7529204661509841,1390,45
firearm_suicide_rate,ra,minimal,-0.23098528131654125,0.32065916809167117,-0.7203451649026494,1390,45
firearm_suicide_rate,eb,minimal,-0.19543239896048795,0.2595657944584251,-0.7529204661509841,1390,45
firearm_suicide_rate,eb,headline,-0.19543239896048795,0.2595657944584251,-0.7529204661509841,1390,45
firearm_suicide_rate,eb,expanded,-0.19543239896048795,0.2595657944584251,-0.7529204661509841,1390,45
nonfirearm_suicide_rate,unweighted,all,0.15157652815229417,0.11535799937249253,1.3139663393680356,1390,45
nonfirearm_suicide_rate,ra,minimal,0.06818422161699214,0.13128161055829568,0.519373744175045,1390,45
nonfirearm_suicide_rate,eb,minimal,0.15157652815229417,0.11535799937249253,1.3139663393680356,1390,45
nonfirearm_suicide_rate,eb,headline,0.15157652815229417,0.11535799937249253,1.3139663393680356,1390,45
nonfirearm_suicide_rate,eb,expanded,0.15157652815229417,0.11535799937249253,1.3139663393680356,1390,45
total_suicide_rate,unweighted,all,-0.04385587080819337,0.2836423272474087,-0.15461680643291237,1390,45
total_suicide_rate,ra,minimal,-0.1628010596995486,0.4119602037257847,-0.3951863753517191,1390,45
total_suicide_rate,eb,minimal,-0.04385587080819337,0.2836423272474087,-0.15461680643291237,1390,45
total_suicide_rate,eb,headline,-0.04385587080819337,0.2836423272474087,-0.15461680643291237,1390,45
total_suicide_rate,eb,expanded,-0.04385587080819337,0.2836423272474087,-0.15461680643291237,1390,45
firearm_homicide_rate,unweighted,all,-0.8393488471958368,0.33994380832970167,-2.4690811440865446,1386,45
firearm_homicide_rate,ra,minimal,-0.9292740941726012,0.45208957529810007,-2.0555087861954213,1386,45
firearm_homicide_rate,eb,minimal,-0.8393488471958368,0.33994380832970167,-2.4690811440865446,1386,45
firearm_homicide_rate,eb,headline,-0.8393488471958368,0.33994380832970167,-2.4690811440865446,1386,45
firearm_homicide_rate,eb,expanded,-0.8393488471958368,0.33994380832970167,-2.4690811440865446,1386,45
homicide_rate,unweighted,all,-0.7659901918410453,0.33019369954452593,-2.319820738244441,1390,45
homicide_rate,ra,minimal,-0.7752801168224089,0.36573413711485075,-2.1197915046659954,1390,45
homicide_rate,eb,minimal,-0.7659901918410453,0.33019369954452593,-2.319820738244441,1390,45
homicide_rate,eb,headline,-0.7659901918410453,0.33019369954452593,-2.319820738244441,1390,45
homicide_rate,eb,expanded,-0.7659901918410453,0.33019369954452593,-2.319820738244441,1390,45
motor_vehicle_theft_rate,unweighted,all,48.27238123308348,30.2138478651949,1.597690616847623,1390,45
motor_vehicle_theft_rate,ra,minimal,43.629849479749616,28.97128562488739,1.5059687044840697,1390,45
motor_vehicle_theft_rate,eb,minimal,48.27238123308348,30.2138478651949,1.597690616847623,1390,45
motor_vehicle_theft_rate,eb,headline,48.27238123308348,30.2138478651949,1.597690616847623,1390,45
motor_vehicle_theft_rate,eb,expanded,48.27238123308348,30.2138478651949,1.597690616847623,1390,45
