outcome,spec,control_rule,tier,event_time,att,se,n_cohorts,total_treated_states
firearm_homicide_rate,or,broad,all,-5,-0.2763807554990478,0.17678510032914355,9,25
firearm_homicide_rate,or,broad,all,-4,-0.04827726566476182,0.17096170835222715,9,25
firearm_homicide_rate,or,broad,all,-3,-0.1886085271619049,0.13713428605531341,9,25
firearm_homicide_rate,or,broad,all,-2,0.09488822301333341,0.12240432515770698,9,25
firearm_homicide_rate,or,broad,all,0,0.0229750596514286,0.1335072958989911,9,25
firearm_homicide_rate,or,broad,all,1,0.09878116201515155,0.1373426909644649,8,22
firearm_homicide_rate,or,broad,all,2,0.28694754721804516,0.1718092643492966,7,19
firearm_homicide_rate,or,broad,all,3,0.36677090522344324,0.2721536059562515,6,13
firearm_homicide_rate,or,broad,all,4,0.12912776300396822,0.29383662272078503,6,12
firearm_homicide_rate,or,broad,all,5,0.4316060149190478,0.6177379523237039,5,10
firearm_homicide_rate,or,strict,all,-5,-0.04322218214690916,0.17737558730504993,9,25
firearm_homicide_rate,or,strict,all,-4,0.1646930789787273,0.1774569121411221,9,25
firearm_homicide_rate,or,strict,all,-3,-0.034021703269091014,0.14529496921309532,9,25
firearm_homicide_rate,or,strict,all,-2,0.1967634764716364,0.1348287923601932,9,25
firearm_homicide_rate,or,strict,all,0,-0.05756392875036355,0.14114542513274386,9,25
firearm_homicide_rate,or,strict,all,1,-0.1026678611739669,0.14335074941753798,8,22
firearm_homicide_rate,or,strict,all,2,0.04060152072416276,0.19210194603816091,7,19
firearm_homicide_rate,or,strict,all,3,0.10728615579055942,0.2723227759022262,6,13
firearm_homicide_rate,or,strict,all,4,-0.15764861779128797,0.3036163207380206,6,12
firearm_homicide_rate,or,strict,all,5,0.0757767070963637,0.6167014934228102,5,10
firearm_homicide_rate,ra,broad,expanded,-5,-0.23496086144841274,0.24749396920080005,9,12
firearm_homicide_rate,ra,broad,expanded,-4,0.026494343972222202,0.2492544848022803,9,12
firearm_homicide_rate,ra,broad,expanded,-3,-0.09917032460317468,0.21239549210296993,9,12
firearm_homicide_rate,ra,broad,expanded,-2,0.2712883403492063,0.1719541709076313,9,12
firearm_homicide_rate,ra,broad,expanded,0,0.32623112221031747,0.22143401793869089,9,12
firearm_homicide_rate,ra,broad,expanded,1,0.4686841284484128,0.18557187721974042,8,12
