outcome,spec,control_rule,g_cohort,t_year,event_time,n_treated_states,n_control_states,n_treated_counties,n_control_counties,att,se
county_violent_crime_rate,or,broad,2015,2009,-6,3,22,203,1061,14.06585531817565,26.32126156347293
county_violent_crime_rate,or,broad,2015,2010,-5,3,22,203,1061,1.9866642898259919,21.670815140134902
county_violent_crime_rate,or,broad,2015,2011,-4,3,22,203,1061,-0.42716123465526756,20.144635608039795
county_violent_crime_rate,or,broad,2015,2012,-3,3,22,203,1061,1.93167939711139,10.985079728694632
county_violent_crime_rate,or,broad,2015,2013,-2,3,22,203,1061,-9.16356246133867,5.145014711993884
county_violent_crime_rate,or,broad,2015,2015,0,3,22,203,1061,-17.381732953285994,4.050237949394451
county_violent_crime_rate,or,broad,2015,2016,1,3,22,203,1061,-37.10799902914127,8.312593340891635
county_violent_crime_rate,or,broad,2015,2017,2,3,22,203,1061,-37.89516782074931,6.723198105845656
county_violent_crime_rate,or,broad,2015,2018,3,3,22,203,1061,-33.77383850256892,7.426252288478399
county_violent_crime_rate,or,broad,2015,2019,4,3,22,203,1061,-29.391327351090045,7.398286791633462
county_violent_crime_rate,or,broad,2015,2020,5,3,22,203,1061,1.2530760025977905,11.43835377492955
county_violent_crime_rate,or,broad,2015,2021,6,3,22,203,1061,52.48171868701313,26.79024209905722
county_violent_crime_rate,or,broad,2015,2022,7,3,22,203,1061,10.323201084309467,16.277845863210157
county_violent_crime_rate,or,broad,2015,2023,8,3,22,203,1061,2.4041522681275076,11.404108865888514
county_violent_crime_rate,or,broad,2015,2024,9,3,22,203,1061,-5.486310252631623,17.238519714852757
county_violent_crime_rate,or,broad,2016,2009,-7,2,22,99,1061,-15.614756058318612,37.265651046149515
county_violent_crime_rate,or,broad,2016,2010,-6,2,22,99,1061,-32.497935491491056,27.379342179194985
county_violent_crime_rate,or,broad,2016,2011,-5,2,22,99,1061,-27.156413625535237,12.324177515232
county_violent_crime_rate,or,broad,2016,2012,-4,2,22,99,1061,-16.66138318746085,5.997942929959894
county_violent_crime_rate,or,broad,2016,2013,-3,2,22,99,1061,-21.555841014270626,15.578812218296667
county_violent_crime_rate,or,broad,2016,2014,-2,2,22,99,1061,-13.15320161946379,8.609049799751057
county_violent_crime_rate,or,broad,2016,2016,0,2,22,99,1061,-1.0472530284429755,4.72218341876616
county_violent_crime_rate,or,broad,2016,2017,1,2,22,99,1061,5.879885346632946,8.642965156721326
county_violent_crime_rate,or,broad,2016,2018,2,2,22,99,1061,-27.315723587196103,33.027857690932926
county_violent_crime_rate,or,broad,2016,2019,3,2,22,99,1061,-44.84316383249709,30.829196177518227
county_violent_crime_rate,or,broad,2016,2020,4,2,22,99,1061,-12.947539524474955,22.44642783550336
county_violent_crime_rate,or,broad,2016,2021,5,2,22,99,1061,28.857491048839577,40.571346952779294
county_violent_crime_rate,or,broad,2016,2022,6,2,22,99,1061,-1.036324290924945,42.610979544172714
county_violent_crime_rate,or,broad,2016,2023,7,2,22,99,1061,-31.560257343090367,28.45543880823798
county_violent_crime_rate,or,broad,2016,2024,8,2,22,99,1061,-26.353278921731906,32.10428455883281
county_violent_crime_rate,or,broad,2017,2009,-8,3,22,178,1061,-29.472721318313862,13.450230998318215
county_violent_crime_rate,or,broad,2017,2010,-7,3,22,178,1061,-31.160281944937207,14.289010287241556
county_violent_crime_rate,or,broad,2017,2011,-6,3,22,178,1061,-18.68070596457974,10.452398086234961
county_violent_crime_rate,or,broad,2017,2012,-5,3,22,178,1061,-22.587445840472522,9.496108665759877
county_violent_crime_rate,or,broad,2017,2013,-4,3,22,178,1061,-1.0317063722687276,19.35081068602069
county_violent_crime_rate,or,broad,2017,2014,-3,3,22,178,1061,5.211292892409395,16.84898241512335
county_violent_crime_rate,or,broad,2017,2015,-2,3,22,178,1061,7.204831936985423,4.603933155912887
county_violent_crime_rate,or,broad,2017,2017,0,3,22,178,1061,-9.167413753090566,12.688630446286249
county_violent_crime_rate,or,broad,2017,2018,1,3,22,178,1061,-20.76643287169836,5.115801221556344
county_violent_crime_rate,or,broad,2017,2019,2,3,22,178,1061,-22.71698092944425,6.4897400743312925
county_violent_crime_rate,or,broad,2017,2020,3,3,22,178,1061,6.441516074724981,29.37571502576146
county_violent_crime_rate,or,broad,2017,2021,4,3,22,178,1061,38.52722634187435,32.27015786972922
county_violent_crime_rate,or,broad,2017,2022,5,3,22,178,1061,-16.618430387287606,16.784540402172865
county_violent_crime_rate,or,broad,2017,2023,6,3,22,178,1061,-39.804291841403476,13.07599217727408
county_violent_crime_rate,or,broad,2017,2024,7,3,22,178,1061,-42.261684708110856,11.32822258192663
county_violent_crime_rate,or,broad,2019,2009,-10,3,22,263,1061,-25.47285837768389,43.569372451462776
county_violent_crime_rate,or,broad,2019,2010,-9,3,22,263,1061,-24.63866070068278,29.589749368306748
county_violent_crime_rate,or,broad,2019,2011,-8,3,22,263,1061,-16.62025281471557,30.434991510045858
county_violent_crime_rate,or,broad,2019,2012,-7,3,22,263,1061,-1.3289402966457642,10.693392631781649
county_violent_crime_rate,or,broad,2019,2013,-6,3,22,263,1061,-0.5516386682211625,10.680441973254421
