outcome,spec,control_rule,event_time,att,se,n_cohorts,total_treated_counties,total_treated_states
county_burglary_rate,or,broad,-5,6.179477669396135,14.393238558653797,8,2027,25
county_burglary_rate,or,broad,-4,-0.4372228453360929,13.362911605629888,8,2027,25
county_burglary_rate,or,broad,-3,-13.37380484704995,9.708350203890795,8,2027,25
county_burglary_rate,or,broad,-2,-10.247737337527575,7.196662584427656,8,2027,25
county_burglary_rate,or,broad,0,6.215342820670293,7.665624363065164,8,2027,25
county_burglary_rate,or,broad,1,-3.4265979684937085,7.503038032998135,7,1917,23
county_burglary_rate,or,broad,2,-8.76032035962508,8.841153903334163,6,1690,20
county_burglary_rate,or,broad,3,-15.791750888670272,11.385449031738867,5,1351,17
county_burglary_rate,or,broad,4,7.446534648245387,15.235799038819758,4,743,11
county_burglary_rate,or,broad,5,14.907651456021817,16.181693794717145,4,743,11
county_burglary_rate,or,strict,-5,13.54830985765452,14.526620261209924,8,2027,25
county_burglary_rate,or,strict,-4,6.204203380880006,13.518626300342065,8,2027,25
county_burglary_rate,or,strict,-3,-8.803626438724125,9.701709548394547,8,2027,25
county_burglary_rate,or,strict,-2,-6.9119561547753126,7.261640124168724,8,2027,25
county_burglary_rate,or,strict,0,4.656514806839623,6.316750934305449,8,2027,25
county_burglary_rate,or,strict,1,1.913911181510973,8.289366587315792,7,1917,23
county_burglary_rate,or,strict,2,-5.354336301776715,9.856461177633394,6,1690,20
county_burglary_rate,or,strict,3,-14.443312026231812,13.092956881666423,5,1351,17
county_burglary_rate,or,strict,4,3.25198991259927,16.933106846775022,4,743,11
county_burglary_rate,or,strict,5,8.696846428832389,17.717669210550405,4,743,11
county_burglary_rate,ra,broad,-5,20.655037459563733,6.454346400069345,8,2027,25
county_burglary_rate,ra,broad,-4,11.859273362446022,7.134945200006045,8,2027,25
county_burglary_rate,ra,broad,-3,-6.155226638799395,5.072323208577434,8,2027,25
county_burglary_rate,ra,broad,-2,-8.10870918154039,3.6791864362147364,8,2027,25
county_burglary_rate,ra,broad,0,4.957249463400328,3.749081396245517,8,2027,25
county_burglary_rate,ra,broad,1,0.10417050661997207,4.277063614012619,7,1917,23
county_burglary_rate,ra,broad,2,-9.05083461838415,5.2145033838558215,6,1690,20
county_burglary_rate,ra,broad,3,-16.161914993152383,5.670685901661033,5,1351,17
county_burglary_rate,ra,broad,4,-13.221006136514353,10.111413034107626,4,743,11
county_burglary_rate,ra,broad,5,2.2115267665743747,9.597895680076565,4,743,11
county_burglary_rate,ra,strict,-5,27.662218479669036,7.169404886593495,8,2027,25
county_burglary_rate,ra,strict,-4,17.578708966345875,8.297203256681277,8,2027,25
county_burglary_rate,ra,strict,-3,-3.174546824639524,5.5763102532914814,8,2027,25
county_burglary_rate,ra,strict,-2,-6.248973032186127,4.118622902156689,8,2027,25
county_burglary_rate,ra,strict,0,2.4756295461166924,3.505309834056324,8,2027,25
