event_time,beta,se,z,n,omitted,outcome,outcome_label,policy
-5,-0.16728784144284725,4.864715767521699,-0.034387999101553074,31248,False,county_violent_crime_rate,"County violent crime rate (per 100,000)",permitless_carry
-4,11.301506994365443,6.437036682120447,1.7557002627865363,31248,False,county_violent_crime_rate,"County violent crime rate (per 100,000)",permitless_carry
-3,-1.9684218813921455,5.729860325215534,-0.343537498240518,31248,False,county_violent_crime_rate,"County violent crime rate (per 100,000)",permitless_carry
-2,-9.174814069294538,5.388381413339315,-1.7027031617661,31248,False,county_violent_crime_rate,"County violent crime rate (per 100,000)",permitless_carry
-1,0.0,0.0,0.0,0,True,county_violent_crime_rate,"County violent crime rate (per 100,000)",permitless_carry
0,6.110518047814392,3.9754510085926644,1.5370628476132462,31248,False,county_violent_crime_rate,"County violent crime rate (per 100,000)",permitless_carry
1,3.8491385115901884,3.9961644877708995,0.96320822713113,31248,False,county_violent_crime_rate,"County violent crime rate (per 100,000)",permitless_carry
2,-1.6992883591971304,4.361512485609825,-0.3896098807016339,31248,False,county_violent_crime_rate,"County violent crime rate (per 100,000)",permitless_carry
3,-7.553526844340971,4.497522883831585,-1.6794860280746093,31248,False,county_violent_crime_rate,"County violent crime rate (per 100,000)",permitless_carry
4,10.846951856637123,8.866016378702318,1.223430162242126,31248,False,county_violent_crime_rate,"County violent crime rate (per 100,000)",permitless_carry
5,2.9968556260544164,8.741390736871395,0.34283510670831907,31248,False,county_violent_crime_rate,"County violent crime rate (per 100,000)",permitless_carry
-5,0.5186177948343477,0.21275347873684336,2.437646603540761,31248,False,county_murder_rate,"County murder rate (per 100,000)",permitless_carry
-4,0.36535227742884085,0.2516220203519466,1.451988490187856,31248,False,county_murder_rate,"County murder rate (per 100,000)",permitless_carry
-3,0.78832848157613,0.2132011319570304,3.6975811260468054,31248,False,county_murder_rate,"County murder rate (per 100,000)",permitless_carry
-2,0.14602513783411616,0.2105630042127479,0.6934985487126495,31248,False,county_murder_rate,"County murder rate (per 100,000)",permitless_carry
-1,0.0,0.0,0.0,0,True,county_murder_rate,"County murder rate (per 100,000)",permitless_carry
0,-2.9773346014769437,2.0382807036242405,-1.4607088200280676,31248,False,county_murder_rate,"County murder rate (per 100,000)",permitless_carry
1,-0.009676128869698326,0.23156170550434296,-0.04178639489903416,31248,False,county_murder_rate,"County murder rate (per 100,000)",permitless_carry
2,0.19457158034885533,0.29203238196245607,0.6662671414770353,31248,False,county_murder_rate,"County murder rate (per 100,000)",permitless_carry
